"","human_gene","nematode_gene"
"821","LGALS14","F49F1.18"
"822","LGALS1","F49F1.9"
"823","MOCS1","F49H6.5"
"824","PMM2","F52B11.2"
"825","MOK","F52B5.2"
"826","TSR3","F52C12.2"
"827","TP53RK","F52C12.6"
"828","AGK","F52C9.3"
"829","FAM43B","F52D10.2"
"830","CLEC4C","F52E1.2"
"831","PIP4P2","F52E1.9"
"832","CSKMT","F52F12.9"
"833","PRRC2A","F52G3.1"
"834","RAP1GAP","F53A10.2"
"835","FUT9","F53A2.11"
"836","DNLZ","F53A3.7"
"837","SAMD8","F53B1.2"
"838","SLCO4A1","F53B1.8"
"839","METAP2","F53B6.5"
"840","DECR1","F53C11.3"
"841","CSNK1A1L","F53C3.1"
"842","MTARC1","F53E10.1"
"843","CFL1","F53E2.2"
"844","AKR1C3","F53F1.2"
"845","AKR1C2","F53F1.3"
"846","NDUFV2","F53F4.10"
"847","C19orf47","F53F8.5"
"848","FAXC","F53G12.9"
"849","FBXL22","F53G2.1"
"850","DENND6B","F53H1.3"
"851","INTS12","F53H1.4"
"852","CKAP5","F54A3.2"
"853","RNF141","F54B11.5"
"854","SZT2","F54B3.1"
"855","DAPL1","F54B8.4"
"856","ARFIP1","F54C8.7"
"857","RAB3IL1","F54C9.11"
"858","KRI1","F54C9.9"
"859","RTL9","F54D1.6"
"860","D2HGDH","F54D5.12"
"861","GCDH","F54D5.7"
"862","TYRP1","F54E4.4"
"863","ABITRAM","F54F2.7"
"864","ELOC","F54F7.10"
"865","BAIAP3","F54G2.1"
"866","CSNK1A1L","F54H5.2"
"867","VAPB","F54H5.3"
"868","MCFD2","F55A11.1"
"869","PPP1R14B","F55C10.5"
"870","TEX2","F55C12.5"
"871","EPHX1","F55C9.6"
"872","MDN1","F55F10.1"
"873","DDX24","F55F8.2"
"874","PWP2","F55F8.3"
"875","EPHX1","F55G11.2"
"876","EPHX1","F55G11.4"
"877","EPHX1","F55G11.6"
"878","EPHX1","F55G11.7"
"879","EPHX1","F55G11.8"
"880","DLL1","F55H12.3"
"881","CYB561","F55H2.5"
"882","MTARC1","F56A11.5"
"883","SLC17A1","F56A4.10"
"884","SLC17A1","F56A4.12"
"885","GSTP1","F56A4.3"
"886","GSTP1","F56A4.4"
"887","CCDC134","F56A8.9"
"888","TIMM21","F56B3.11"
"889","REEP6","F56B3.6"
"890","GFER","F56C11.3"
"891","BTBD19","F56C3.9"
"892","BCAS3","F56C9.10"
"893","RNF14","F56D2.2"
"894","RNF14","F56D2.5"
"895","PSMC5","F56F11.4"
"896","C1GALT1C1","F56H6.1"
"897","MFSD8","F57A8.7"
"898","ABT1","F57B10.8"
"899","PNPO","F57B9.1"
"900","APMAP","F57C2.5"
"901","ZNF200","F57C9.4"
"902","ACOT9","F57F4.1"
"903","ECH1","F58A6.1"
"904","ESF1","F58B3.4"
"905","IFRD2","F58B3.6"
"906","GOLT1A","F58B6.1"
"907","VAPB","F58E6.5"
"908","ATP5F1D","F58F12.1"
"909","PPP1CC","F58G1.3"
"910","MFSD8","F58G11.4"
"911","SLC31A1","F58G6.3"
"912","SLC31A2","F58G6.9"
"913","ENOPH1","F58H1.3"
"914","CSNK1G1","F59A6.4"
"915","CCDC122","F59A6.5"
"916","SDS","F59A7.7"
"917","AMDHD2","F59B2.3"
"918","C8orf82","F59C6.12"
"919","NDUFB10","F59C6.5"
"920","DHRS1","F59E11.2"
"921","BRD8","F59E12.1"
"922","CSNK1A1L","F59E12.3"
"923","ARMC9","F59G1.4"
"924","FBXL2","H04D03.4"
"925","EIF4H","H05C05.1"
"926","FTSJ3","H06I04.3"
"927","GPR139","H09F14.1"
"928","RNF150","H10E21.5"
"929","SLC17A1","H11E01.2"
"930","EOGT","H12D21.10"
"931","ROGDI","H14A12.3"
"932","UPP2","H14E04.2"
"933","PPP1R3B","H18N23.2"
"934","DDX49","H20J04.4"
"935","TMEM222","H20J04.6"
"936","EID3","H21P03.2"
"937","UGT3A2","H23N18.4"
"938","FBXL20","H24K24.2"
"939","QPCT","H27A22.1"
"940","RBM25","H28G03.2"
"941","HDHD5","H32C10.1"
"942","USP2","H34C03.2"
"943","RPP30","H35B03.2"
"944","FAF2","H40L08.1"
"945","GOLT1B","H41C03.2"
"946","GCNT2","H41C03.3"
"947","OPA3","H43I07.1"
"948","ADAT2","JC8.4"
"949","HPF1","JC8.7"
"950","HDHD3","K01G5.10"
"951","DKC1","K01G5.5"
"952","FAM32A","K01G5.8"
"953","ARFGAP1","K02B12.7"
"954","NIPSNAP2","K02D10.1"
"955","STARD4","K02D3.2"
"956","RAB13","K02E10.1"
"957","STK33","K02E10.7"
"958","CTSK","K02E7.10"
"959","RECQL","K02F3.12"
"960","SLC25A12","K02F3.2"
"961","KCTD10","K02F6.5"
"962","KCTD10","K02F6.8"
"963","SLCO4A1","K02G10.5"
"964","CETN2","K03A1.4"
"965","SMARCD3","K03B8.4"
"966","MMP3","K03B8.6"
"967","FPGT","K03H1.13"
"968","SUSD2","K03H1.5"
"969","CSNK1A1L","K04C1.5"
"970","ATXN1L","K04F10.1"
"971","KATNIP","K04F10.2"
"972","FAM76B","K04F10.7"
"973","RASSF7","K05B2.2"
"974","ACOT1","K05B2.4"
"975","JAGN1","K05C4.2"
"976","FBXL20","K05C4.9"
"977","SLC22A5","K05F1.6"
"978","CSNK1A1L","K06H7.8"
"979","GADD45GIP1","K07A1.10"
"980","LSM10","K07A1.15"
"981","ACTMAP","K07A1.3"
"982","TCF25","K07A12.1"
"983","MOGAT1","K07B1.4"
"984","GPATCH3","K07B1.7"
"985","BBIP1","K07C11.10"
"986","MPPED2","K07C11.7"
"987","LIG3","K07C5.3"
"988","ANKRD18A","K07D4.2"
"989","ADI1","K07E1.1"
"990","MTHFD2","K07E3.4"
"991","CDC37","K07E8.6"
"992","RPUSD2","K07E8.7"
"993","TMEM144","K07F5.12"
"994","NOL8","K07F5.14"
"995","C19orf53","K07F5.15"
"996","TMEM167B","K07F5.22"
"997","SLC41A1","K07H8.2"
"998","HDHD2","K08B12.3"
"999","CST8","K08B4.7"
"1000","CNBP","K08D12.3"
"1001","EPHX1","K08D8.3"
"1002","EPHX1","K08D8.4"
"1003","EPHX1","K08D8.5"
"1004","EPHX1","K08D8.6"
"1005","ABHD14B","K08D9.4"
"1006","GLTPD2","K08E4.2"
"1007","LRRC20","K08E7.8"
"1008","SSR2","K08F4.3"
"1009","SLC2A1","K08F9.1"
"1010","CTBS","K08F9.3"
"1011","CSNK1A1L","K08H2.5"
"1012","ZBED6","K09A11.1"
"1013","ASPH","K09A9.6"
"1014","SLC2A4","K09C4.1"
"1015","SLC2A5","K09C4.2"
"1016","SLC2A1","K09C4.4"
"1017","SLC2A5","K09C4.5"
"1018","CSNK1G2","K09C6.2"
"1019","CSNK1A1L","K09C6.7"
"1020","CSNK1A1L","K09C6.8"
"1021","DNAI7","K09E2.2"
"1022","NDUFAF5","K09E4.3"
"1023","NAGLU","K09E4.4"
"1024","KRBOX1","K09F6.15"
"1025","KRBOX1","K09F6.6"
"1026","WDR83OS","K10B2.4"
"1027","ZNF706","K10B3.1"
"1028","EPX","K10B4.1"
"1029","VEPH1","K10B4.3"
"1030","TMEM98","K10C3.4"
"1031","EFL1","K10C3.5"
"1032","EPHX1","K10D11.2"
"1033","EPHX1","K10D11.3"
"1034","EPHX1","K10D11.4"
"1035","EPHX1","K10D11.5"
"1036","EPHX1","K10D11.6"
"1037","RDH14","K10H10.6"
"1038","CSNK1A1L","K11C4.1"
"1039","PAQR7","K11C4.2"
"1040","RCCD1","K11D2.1"
"1041","LMF2","K11G12.6"
"1042","SLC17A5","K11G9.5"
"1043","BOLA1","K11H12.1"
"1044","GHITM","K11H12.8"
"1045","PEPD","K12C11.1"
"1046","SLC31A2","K12C11.3"
"1047","SLC31A2","K12C11.6"
"1048","METTL27","K12D9.1"
"1049","TFPI2","K12G11.6"
"1050","BRIX1","K12H4.3"
"1051","DPP7","K12H4.7"
"1052","PHYHIP","M01B2.10"
"1053","PHYHIP","M01B2.12"
"1054","PHYHIP","M01B2.13"
"1055","ICMT","M01E11.1"
"1056","MTG2","M01E5.2"
"1057","TMEM245","M01F1.4"
"1058","RGP1","M01F1.9"
"1059","DXO","M01G12.14"
"1060","DXO","M01G12.7"
"1061","ERI3","M02B7.2"
"1062","FRRS1","M03A1.3"
"1063","FRRS1","M03A1.8"
"1064","STK32B","M03C11.1"
"1065","SMARCAD1","M03C11.8"
"1066","GPR139","M03F8.7"
"1067","THUMPD3","M04B2.2"
"1068","FOXRED1","M04B2.4"
"1069","PGPEP1","M04C9.1"
"1070","PGPEP1","M04C9.2"
"1071","PGPEP1","M04C9.3"
"1072","KRBOX1","M04C9.4"
"1073","P4HB","M04D5.1"
"1074","PDCD6","M04F3.4"
"1075","MTSS2","M04F3.5"
"1076","PLA2G15","M05B5.4"
"1077","CSNK1A1L","M05D6.1"
"1078","TCP11L1","M05D6.2"
"1079","PTGR2","M106.3"
"1080","CRCP","M106.7"
"1081","MARCHF5","M110.3"
"1082","YWHAG","M117.3"
"1083","LSM12","M142.5"
"1084","EEF1AKMT1","M142.8"
"1085","ZNF474","M153.4"
"1086","SLC17A5","M162.5"
"1087","ASNSD1","M18.3"
"1088","CRBN","M18.6"
"1089","TRAF3IP3","M4.1"
"1090","RABGGTA","M57.2"
"1091","FAM3C","M70.4"
"1092","GPAT3","M79.2"
"1093","INPP4B","R01H10.7"
"1094","PBLD","R02D1.2"
"1095","ERI3","R02D3.8"
"1096","DMAC2L","R02D5.8"
"1097","TEKT4","R02E12.4"
"1098","C1orf21","R02E12.5"
"1099","SLC38A6","R02F2.8"
"1100","IGHMBP2","R03D7.2"
"1101","RPA1","R03H10.6"
"1102","RPA1","R03H10.7"
"1103","RPS6KB2","R04A9.7"
"1104","AGA","R04B3.2"
"1105","SORD","R04B5.5"
"1106","SORD","R04B5.6"
"1107","ATP5ME","R04F11.2"
"1108","TIMM29","R04F11.5"
"1109","SMPD4","R05D11.9"
"1110","LMBR1L","R05D3.2"
"1111","TMEM200A","R05D7.3"
"1112","SNAPC1","R05F9.11"
"1113","PGM1","R05F9.6"
"1114","RASGEF1B","R05G6.10"
"1115","NOSIP","R05G6.4"
"1116","CRELD2","R05G6.9"
"1117","NXNL2","R05H5.3"
"1118","PSKH2","R06A10.4"
"1119","CSTF2","R06C1.4"
"1120","NTAQ1","R06C7.6"
"1121","RIC1","R06F6.8"
"1122","GCNT2","R07B7.6"
"1123","PLB1","R07B7.8"
"1124","PLB1","R07B7.9"
"1125","GCNT1","R07C3.3"
"1126","SLC25A31","R07E3.4"
"1127","UQCRQ","R07E4.3"
"1128","VMA21","R07E5.19"
"1129","VMA21","R07E5.7"
"1130","CYRIA","R07G3.8"
"1131","TUT1","R07H5.11"
"1132","PPP1CC","R08A2.2"
"1133","PPP1CC","R08C7.8"
"1134","FAM86B1","R08D7.4"
"1135","XYLB","R08D7.7"
"1136","CCDC22","R08E3.3"
"1137","METTL27","R08E5.1"
"1138","METTL27","R08E5.3"
"1139","GBA2","R08F11.1"
"1140","METTL27","R08F11.4"
"1141","CHI3L1","R09D1.14"
"1142","RTL9","R09E10.5"
"1143","CTSV","R09F10.1"
"1144","TTR","R09H10.3"
"1145","NAXD","R107.2"
"1146","SLC17A5","R10D12.1"
"1147","CCDC97","R10D12.13"
"1148","SYNRG","R10E11.6"
"1149","HACD4","R10E4.9"
"1150","OSCP1","R10F2.5"
"1151","CCDC50","R10H1.1"
"1152","TTI1","R10H10.7"
"1153","XPNPEP3","R119.2"
"1154","HPGD","R119.3"
"1155","PCMTD1","R119.5"
"1156","DCAF5","R11D1.1"
"1157","SLC23A3","R11E3.2"
"1158","GPR139","R11F4.2"
"1159","C2CD2L","R11G1.6"
"1160","SERINC1","R11H6.2"
"1161","ILF2","R11H6.5"
"1162","BLZF1","R12B2.2"
"1163","TMEM9","R12C12.6"
"1164","SDF2","R12E2.13"
"1165","CSNK1A1L","R13H9.5"
"1166","CSNK1A1L","R13H9.6"
"1167","TMEM177","R144.11"
"1168","TMEM177","R144.12"
"1169","COQ10B","R144.13"
"1170","TMEM144","R144.6"
"1171","PUDP","R151.10"
"1172","PRPS1","R151.2"
"1173","CRAMP1","R151.8"
"1174","CLPTM1","R166.2"
"1175","AMMECR1L","R166.3"
"1176","ASB8","R31.2"
"1177","ATP5MF","R53.4"
"1178","FTSJ1","R74.7"
"1179","SAPCD1","T01B6.1"
"1180","CHIT1","T01C4.8"
"1181","ADI1","T01D1.4"
"1182","FBXL19","T01E8.1"
"1183","DHDDS","T01G1.4"
"1184","PHAF1","T01G9.2"
"1185","TECPR1","T01H3.2"
"1186","SLC17A5","T01H3.3"
"1187","GRN","T02B11.8"
"1188","LONRF1","T02C1.1"
"1189","RNF168","T02C1.2"
"1190","ACAT1","T02G5.7"
"1191","RRP9","T02H6.1"
"1192","UQCRB","T02H6.11"
"1193","VMO1","T02H6.4"
"1194","VMO1","T02H6.7"
"1195","VMO1","T02H6.9"
"1196","SYS1","T03F1.12"
"1197","GNPDA2","T03F6.3"
"1198","REEP6","T03F6.6"
"1199","ZC2HC1B","T03G11.3"
"1200","PBLD","T04A11.1"
"1201","PBLD","T04A11.2"
"1202","PBLD","T04A11.4"
"1203","PBLD","T04A11.5"
"1204","GBE1","T04A8.7"
"1205","SLC12A9","T04B8.5"
"1206","ARHGAP10","T04C9.1"
"1207","GPT2","T04F3.1"
"1208","MCFD2","T04F3.4"
"1209","GPR180","T04F8.2"
"1210","AASDHPPT","T04G9.4"
"1211","GTPBP2","T04H1.2"
"1212","GPATCH11","T04H1.5"
"1213","SLC22A12","T05A1.5"
"1214","SHPRH","T05A12.4"
"1215","FUT9","T05A7.11"
"1216","CSNK1G1","T05A7.6"
"1217","WDR31","T05A8.5"
"1218","PLD3","T05C3.6"
"1219","KCTD10","T05E12.3"
"1220","EPHX1","T05E12.6"
"1221","ACOT1","T05E7.1"
"1222","WASHC5","T05E7.3"
"1223","NXN","T05F1.11"
"1224","DCAKD","T05G5.5"
"1225","USP47","T05H10.1"
"1226","URB1","T05H4.10"
"1227","LRRC46","T05H4.3"
"1228","CYB5R3","T05H4.4"
"1229","CPA2","T06A4.1"
"1230","CEP104","T06D8.2"
"1231","SARAF","T06D8.9"
"1232","WDR74","T06E6.1"
"1233","FKTN","T07A5.1"
"1234","STXBP2","T07A9.10"
"1235","RPS24","T07A9.14"
"1236","FKTN","T07D3.4"
"1237","ACOT9","T07D3.9"
"1238","MPPED2","T07D4.2"
"1239","PDRG1","T07D4.5"
"1240","TRNAU1AP","T07F10.3"
"1241","UBASH3B","T07F12.1"
"1242","PRADC1","T07F12.2"
"1243","MIER1","T07F8.4"
"1244","SLC23A3","T07G12.2"
"1245","SLC23A3","T07G12.4"
"1246","SLC23A3","T07G12.5"
"1247","DEPDC5","T08A11.1"
"1248","GOLT1B","T08B1.4"
"1249","TUT1","T08B2.4"
"1250","CHEK2","T08D2.7"
"1251","CKAP5","T08D2.8"
"1252","VPS13A","T08G11.1"
"1253","SAXO1","T08G11.3"
"1254","KCTD10","T08G3.13"
"1255","ARHGEF38","T09B4.2"
"1256","TOB1","T09B4.6"
"1257","AGXT2","T09B4.8"
"1258","NCEH1","T09B9.1"
"1259","CCDC6","T09B9.4"
"1260","B3GALT4","T09E11.10"
"1261","GCNT2","T09E11.6"
"1262","GCNT4","T09E11.9"
"1263","B3GALT4","T09F5.1"
"1264","GLYATL1B","T10B10.4"
"1265","TMEM53","T10B11.5"
"1266","TMEM53","T10B11.6"
"1267","GOLT1A","T10B5.7"
"1268","SLC17A2","T10C6.6"
"1269","TRAPPC2L","T10F2.5"
"1270","QSOX2","T10H10.2"
"1271","PHYHIP","T10H4.13"
"1272","PHYHIPL","T10H4.4"
"1273","ZNF200","T11F9.7"
"1274","SLC37A3","T11G6.2"
"1275","SLC17A1","T11G6.3"
"1276","SLC37A3","T11G6.4"
"1277","TASOR","T11G6.5"
"1278","PTPDC1","T12B3.1"
"1279","APMAP","T12G3.4"
"1280","HAVCR2","T13C5.10"
"1281","HAVCR2","T13C5.2"
"1282","HAVCR2","T13C5.3"
"1283","PLPP7","T13C5.6"
"1284","HAVCR2","T13C5.7"
"1285","HAVCR2","T13C5.9"
"1286","SUB1","T13F2.2"
"1287","NKAIN4","T13H5.6"
"1288","CLPTM1L","T13H5.8"
"1289","MRM3","T14B4.1"
"1290","ATP6AP2","T14B4.3"
"1291","HYOU1","T14G8.3"
"1292","SMTNL2","T15B12.1"
"1293","B3GALT4","T15D6.5"
"1294","BARD1","T16G1.9"
"1295","IPO13","T16G12.6"
"1296","MPV17","T18D3.9"
"1297","SLC66A2","T19A6.1"
"1298","TMEM144","T19A6.4"
"1299","AHNAK2","T19B10.5"
"1300","APRT","T19B4.3"
"1301","REEP2","T19C3.4"
"1302","PLTP","T19C3.5"
"1303","EPHX1","T19C9.8"
"1304","SLC17A1","T19D12.10"
"1305","CSNK1A1L","T19D12.5"
"1306","SLC17A1","T19D12.9"
"1307","PTP4A2","T19D2.2"
"1308","PLB1","T19D7.7"
"1309","UGT2B7","T19H12.12"
"1310","ANP32D","T19H12.2"
"1311","CHI3L1","T19H5.6"
"1312","NOC4L","T20B12.3"
"1313","CIAPIN1","T20B12.7"
"1314","CROT","T20B3.1"
"1315","HIGD1C","T20D3.6"
"1316","NGLY1","T20D4.3"
"1317","NXN","T20D4.7"
"1318","PYM1","T20G5.9"
"1319","NDUFS8","T20H4.5"
"1320","CCDC141","T21B6.3"
"1321","EPPIN","T21D12.7"
"1322","GOLT1B","T21H3.1"
"1323","RNF24","T22B2.1"
"1324","DDAH1","T22B7.3"
"1325","SGF29","T22B7.4"
"1326","ACOT9","T22B7.7"
"1327","UBR7","T22C1.1"
"1328","TXLNG","T22C1.6"
"1329","ZNF438","T22C8.3"
"1330","ZNF438","T22C8.4"
"1331","SLC17A1","T22F3.10"
"1332","SLC17A1","T22F3.11"
"1333","SLC17A5","T22F3.7"
"1334","SLC17A5","T22F3.8"
"1335","SLC22A1","T22F7.1"
"1336","GDE1","T22G5.1"
"1337","RRP36","T22H9.1"
"1338","PGAP2","T23B12.5"
"1339","SHKBP1","T23B12.6"
"1340","LTV1","T23D8.3"
"1341","TENT5C","T23F11.6"
"1342","C9orf78","T23G11.4"
"1343","UVRAG","T23G11.7"
"1344","SEC14L5","T23G5.2"
"1345","PINX1","T23G7.3"
"1346","ADAT2","T24A6.7"
"1347","GOLGA5","T24B1.1"
"1348","PRIM1","T24C4.5"
"1349","STK32B","T24D5.4"
"1350","SMARCD3","T24G10.2"
"1351","TMEM53","T24H10.4"
"1352","GSKIP","T24H7.3"
"1353","TEX264","T24H7.9"
"1354","HAVCR2","T25B2.1"
"1355","HAVCR2","T25B2.3"
"1356","GCAT","T25B9.1"
"1357","PPP1CC","T25B9.2"
"1358","PGD","T25B9.9"
"1359","CRELD2","T25C12.3"
"1360","MFSD14A","T25D3.4"
"1361","DHRS7B","T25G12.13"
"1362","KIAA1143","T25G3.1"
"1363","NMD3","T25G3.3"
"1364","AVL9","T26A5.6"
"1365","ZC3H8","T26A8.4"
"1366","ILVBL","T26C12.1"
"1367","SLC33A1","T26C5.3"
"1368","RWDD1","T26E3.4"
"1369","ATP5F1A","T26E3.7"
"1370","DDX47","T26G10.1"
"1371","NSMCE1","T27A3.7"
"1372","METAP2","T27A8.3"
"1373","GPR139","T27C5.10"
"1374","GCNT2","T27F6.1"
"1375","SMPD2","T27F6.6"
"1376","NXN","T28A11.13"
"1377","FBXL22","T28B4.1"
"1378","PSME4","T28B8.3"
"1379","PSME4","T28B8.4"
"1380","ANKRD50","T28D6.4"
"1381","DRG1","T28D6.6"
"1382","STARD10","T28D6.7"
"1383","COMMD4","T28F2.2"
"1384","CRB1","T28F3.8"
"1385","GCNT2","T28F3.9"
"1386","ARMC5","T28F4.4"
"1387","DAP","T28F4.5"
"1388","AASDHPPT","T28H10.1"
"1389","IRAK3","VY10G11R.1"
"1390","EPHX1","W01A11.1"
"1391","STC1","W01A8.8"
"1392","THBD","W01C8.5"
"1393","REEP5","W01D2.3"
"1394","MMP10","W01F3.2"
"1395","TRMT61A","W02A11.1"
"1396","GRIK5","W02A2.5"
"1397","PLB1","W02B12.1"
"1398","FKTN","W02B3.4"
"1399","FKTN","W02B3.7"
"1400","CCDC122","W02B8.2"
"1401","SDHAF4","W02D3.12"
"1402","TMEM144","W02D3.4"
"1403","YIPF6","W02D9.2"
"1404","ACER1","W02F12.2"
"1405","TREX2","W02F12.4"
"1406","THUMPD1","W02G9.3"
"1407","TKFC","W02H5.8"
"1408","DRAM1","W03A5.2"
"1409","MFSD1","W03C9.6"
"1410","PPP1CC","W03D8.2"
"1411","ACOT4","W03D8.8"
"1412","TPRKB","W03F8.4"
"1413","ZPR1","W03F9.1"
"1414","TMEM30A","W03G11.2"
"1415","FUCA2","W03G11.3"
"1416","PGPEP1L","W04E12.7"
"1417","PRPSAP2","W04G3.5"
"1418","NGLY1","W04G5.4"
"1419","NGLY1","W04G5.5"
"1420","NGLY1","W04G5.9"
"1421","SLC18A2","W05E10.1"
"1422","TMEM144","W06A7.4"
"1423","NAGK","W06B4.1"
"1424","NAGK","W06B4.2"
"1425","POLR3E","W06E11.1"
"1426","NLE1","W07E6.2"
"1427","SIGMAR1","W08F4.3"
"1428","CSNK1A1L","W09C3.1"
"1429","POLR3F","W09C3.4"
"1430","NSA2","W09C5.1"
"1431","PPTC7","W09D10.4"
"1432","AASDH","W09D6.1"
"1433","TECPR2","W09G3.6"
"1434","RCC1L","W09G3.7"
"1435","IER3IP1","W09G3.8"
"1436","GSTA3","W10C8.4"
"1437","CKMT1B","W10C8.5"
"1438","RCOR1","Y105C5A.1"
"1439","PHYHD1","Y105C5B.9"
"1440","BOLA3","Y105E8A.11"
"1441","RNF146","Y105E8A.14"
"1442","ERLEC1","Y105E8A.2"
"1443","GUSB","Y105E8B.9"
"1444","DNA2","Y106G6D.5"
"1445","MAPK14","Y106G6E.1"
"1446","MTHFS","Y106G6E.4"
"1447","OSTF1","Y106G6H.14"
"1448","TMEM256","Y106G6H.8"
"1449","DHX35","Y108F1.5"
"1450","NT5C3B","Y10G11A.1"
"1451","ZFP36L1","Y110A2AL.1"
"1452","ZFP36","Y110A2AL.10"
"1453","GOLT1A","Y110A7A.7"
"1454","WDR11","Y110A7A.9"
"1455","DYRK3","Y111B2A.1"
"1456","ZNF497","Y111B2A.10"
"1457","AAMP","Y111B2A.12"
"1458","CTSS","Y113G7B.15"
"1459","ZFP36L1","Y116A8C.19"
"1460","ZFP36L1","Y116A8C.20"
"1461","FN3KRP","Y116A8C.25"
"1462","ATPAF2","Y116A8C.27"
"1463","NDUFAF2","Y116A8C.30"
"1464","TMEM185B","Y116A8C.9"
"1465","TMEM26","Y119C1B.3"
"1466","LUC7L3","Y119D3B.12"
"1467","GFM2","Y119D3B.14"
"1468","MFSD11","Y11D7A.3"
"1469","PGAP2","Y11D7A.9"
"1470","SLC17A1","Y15E3A.4"
"1471","MLF2","Y17G7B.17"
"1472","MEPCE","Y17G7B.18"
"1473","HAGH","Y17G7B.3"
"1474","PPID","Y17G9B.4"
"1475","ECSIT","Y17G9B.5"
"1476","SGF29","Y17G9B.8"
"1477","SLC38A7","Y18D10A.23"
"1478","NAXE","Y18D10A.3"
"1479","PCYT1A","Y18H1A.11"
"1480","LENG1","Y18H1A.2"
"1481","SLC17A1","Y19D10A.11"
"1482","GALM","Y19D10A.16"
"1483","SLC17A2","Y19D10A.4"
"1484","SLC17A2","Y19D10A.5"
"1485","ASTL","Y19D10A.6"
"1486","SLC17A1","Y19D10A.8"
"1487","HSPE1","Y22D7AL.10"
"1488","FKTN","Y22D7AL.11"
"1489","LITAF","Y22D7AL.15"
"1490","UTP15","Y23H5B.5"
"1491","ZC3H12D","Y24D9B.1"
"1492","TATDN2","Y24F12A.1"
"1493","YIPF1","Y25C1A.7"
"1494","ZRANB2","Y25C1A.8"
"1495","METTL26","Y26E6A.3"
"1496","SCPEP1","Y32F6A.5"
"1497","SLCO3A1","Y32F6B.1"
"1498","ADCK2","Y32H12A.7"
"1499","PWP1","Y32H12A.8"
"1500","UVRAG","Y34B4A.2"
"1501","RAPGEF1","Y34B4A.4"
"1502","CSKMT","Y34B4A.7"
"1503","ZCCHC8","Y34D9A.7"
"1504","MTPAP","Y34F4.3"
"1505","MFSD11","Y37A1A.2"
"1506","SLC2A1","Y37A1A.3"
"1507","RIPOR2","Y37A1A.4"
"1508","PLBD2","Y37D8A.2"
"1509","LITAF","Y37D8A.6"
"1510","KDSR","Y37E11AM.3"
"1511","DUS3L","Y37E11B.5"
"1512","TTC5","Y37E3.1"
"1513","DMGDH","Y37E3.17"
"1514","RPL27A","Y37E3.8"
"1515","TATDN2","Y37H2A.1"
"1516","NAA40","Y38A10A.7"
"1517","TMEM68","Y38C1AA.1"
"1518","C1GALT1C1","Y38C1AB.1"
"1519","C1GALT1C1","Y38C1AB.5"
"1520","RNF170","Y38F1A.2"
"1521","PGAP2","Y38F1A.8"
"1522","VAPB","Y38F2AR.10"
"1523","OPLAH","Y38F2AR.12"
"1524","TIMMDC1","Y38F2AR.3"
"1525","STYK1","Y38H6C.20"
"1526","REG1A","Y38H6C.8"
"1527","CSNK1A1L","Y38H8A.3"
"1528","TSSK3","Y38H8A.4"
"1529","EMG1","Y39A1A.14"
"1530","FBXL20","Y39A1A.17"
"1531","ATPSCKMT","Y39A1A.21"
"1532","XPR1","Y39A1A.22"
"1533","ZNRD2","Y39A1A.3"
"1534","VMO1","Y39A3A.3"
"1535","RNF17","Y39B6A.25"
"1536","MFSD11","Y39B6A.27"
"1537","MFSD11","Y39B6A.29"
"1538","ISCA1","Y39B6A.3"
"1539","NOP53","Y39B6A.33"
"1540","COA8","Y39B6A.34"
"1541","MFSD11","Y39D8A.1"
"1542","VMO1","Y39F10C.1"
"1543","PAAF1","Y39G10AR.9"
"1544","AKR1B1","Y39G8B.1"
"1545","AKR1B1","Y39G8B.2"
"1546","SBK1","Y39G8B.5"
"1547","CSNK1A1L","Y39G8C.2"
"1548","PLB1","Y40B10A.9"
"1549","VMO1","Y40B10B.1"
"1550","CCDC86","Y40B1B.7"
"1551","CMTR2","Y40D12A.1"
"1552","PPP1CC","Y40H4A.2"
"1553","LITAF","Y40H7A.11"
"1554","TP53I13","Y41C4A.8"
"1555","UTP25","Y41C4A.9"
"1556","TM9SF3","Y41D4A.4"
"1557","QRSL1","Y41D4A.6"
"1558","ACBD3","Y41E3.7"
"1559","SELENOK","Y41E3.8"
"1560","ANPEP","Y42A5A.1"
"1561","ETFRF1","Y42A5A.5"
"1562","LRRC58","Y42G9A.3"
"1563","GORASP2","Y42H9AR.1"
"1564","TRUB2","Y43B11AR.3"
"1565","UGT1A1","Y43D4A.2"
"1566","CFAP276","Y43D4A.3"
"1567","CFAP276","Y43D4A.4"
"1568","ZCCHC24","Y43E12A.2"
"1569","LMLN","Y43F4A.1"
"1570","CDK2AP1","Y43F4B.10"
"1571","P4HA2","Y43F8B.19"
"1572","GSKIP","Y43F8B.2"
"1573","EPPIN","Y43F8B.3"
"1574","C17orf49","Y43F8C.6"
"1575","C17orf49","Y43F8C.7"
"1576","BCAT2","Y44A6D.5"
"1577","WDR55","Y44F5A.1"
"1578","WDR36","Y45F10D.7"
"1579","MRM1","Y45F3A.9"
"1580","ZFPL1","Y45G12B.2"
"1581","L2HGDH","Y45G12B.3"
"1582","GSTP1","Y45G12C.3"
"1583","CLBA1","Y45G5AM.9"
"1584","GRXCR1","Y46E12A.3"
"1585","RRP12","Y46E12BL.2"
"1586","R3HDM4","Y46G5A.18"
"1587","GOLT1B","Y46H3A.5"
"1588","SPG7","Y47C4A.1"
