"","human_gene","Sheep_gene"
"2197","CDC73","CDC73"
"2198","CDCA2","CDCA2"
"2199","CDCA3","CDCA3"
"2200","CDCA4","CDCA4"
"2201","CDCA5","CDCA5"
"2202","CDCA7","CDCA7"
"2203","CDCA7L","CDCA7L"
"2204","CDCA8","CDCA8"
"2205","CDCP1","CDCP1"
"2206","CDCP2","CDCP2"
"2207","CDH1","CDH1"
"2208","CDH10","CDH10"
"2209","CDH11","CDH11"
"2210","CDH12","CDH12"
"2211","CDH13","CDH13"
"2212","CDH15","CDH15"
"2213","CDH16","CDH16"
"2214","CDH17","CDH17"
"2215","CDH18","CDH18"
"2216","CDH19","CDH19"
"2217","CDH2","CDH2"
"2218","CDH20","CDH20"
"2219","CDH22","CDH22"
"2220","CDH23","CDH23"
"2221","CDH24","CDH24"
"2222","CDH26","CDH26"
"2223","CDH3","CDH3"
"2224","CDH4","CDH4"
"2225","CDH5","CDH5"
"2226","CDH6","CDH6"
"2227","CDH7","CDH7"
"2228","CDH8","CDH8"
"2229","CDH9","CDH9"
"2230","CDHR1","CDHR1"
"2231","CDHR2","CDHR2"
"2232","CDHR3","CDHR3"
"2233","CDHR4","CDHR4"
"2234","CDHR5","CDHR5"
"2235","CDIP1","CDIP1"
"2236","CDIPT","CDIPT"
"2237","CDK1","CDK1"
"2238","CDK10","CDK10"
"2239","CDK12","CDK12"
"2240","CDK13","CDK13"
"2241","CDK14","CDK14"
"2242","CDK15","CDK15"
"2243","CDK16","CDK16"
"2244","CDK17","CDK17"
"2245","CDK18","CDK18"
"2246","CDK19","CDK19"
"2247","CDK2","CDK2"
"2248","CDK20","CDK20"
"2249","CDK3","CDK3"
"2250","CDK4","CDK4"
"2251","CDK5","CDK5"
"2252","CDK5R1","CDK5R1"
"2253","CDK5R2","CDK5R2"
"2254","CDK5RAP1","CDK5RAP1"
"2255","CDK5RAP2","CDK5RAP2"
"2256","CDK5RAP3","CDK5RAP3"
"2257","CDK6","CDK6"
"2258","CDK7","CDK7"
"2259","CDK8","CDK8"
"2260","CDK9","CDK9"
"2261","CDKAL1","CDKAL1"
"2262","CDKL1","CDKL1"
"2263","CDKL2","CDKL2"
"2264","CDKL3","CDKL3"
"2265","CDKL4","CDKL4"
"2266","CDKL5","CDKL5"
"2267","CDKN1A","CDKN1A"
"2268","CDKN1B","CDKN1B"
"2269","CDKN1C","CDKN1C"
"2270","CDKN2A","CDKN2A"
"2271","CDKN2AIP","CDKN2AIP"
"2272","CDKN2AIPNL","CDKN2AIPNL"
"2273","CDKN2B","CDKN2B"
"2274","CDKN2C","CDKN2C"
"2275","CDKN2D","CDKN2D"
"2276","CDKN3","CDKN3"
"2277","CDNF","CDNF"
"2278","CDO1","CDO1"
"2279","CDON","CDON"
"2280","CDR2L","CDR2L"
"2281","CDRT4","CDRT4"
"2282","CDS1","CDS1"
"2283","CDS2","CDS2"
"2284","CDSN","CDSN"
"2285","CDT1","CDT1"
"2286","CDV3","CDV3"
"2287","CDX1","CDX1"
"2288","CDX2","CDX2"
"2289","CDX4","CDX4"
"2290","CDYL","CDYL"
"2291","CDYL2","CDYL2"
"2292","CEACAM16","CEACAM16"
"2293","CEACAM19","CEACAM19"
"2294","CEACAM20","CEACAM20"
"2295","CEBPA","CEBPA"
"2296","CEBPB","CEBPB"
"2297","CEBPD","CEBPD"
"2298","CEBPE","CEBPE"
"2299","CEBPG","CEBPG"
"2300","CEBPZ","CEBPZ"
"2301","CEBPZOS","CEBPZOS"
"2302","CECR2","CECR2"
"2303","CEL","CEL"
"2304","CELA1","CELA1"
"2305","CELF1","CELF1"
"2306","CELF2","CELF2"
"2307","CELF3","CELF3"
"2308","CELF4","CELF4"
"2309","CELF5","CELF5"
"2310","CELF6","CELF6"
"2311","CELSR1","CELSR1"
"2312","CELSR2","CELSR2"
"2313","CELSR3","CELSR3"
"2314","CEMIP","CEMIP"
"2315","CEMIP2","CEMIP2"
"2316","CENATAC","CENATAC"
"2317","CEND1","CEND1"
"2318","CENPA","CENPA"
"2319","CENPB","CENPB"
"2320","CENPC","CENPC"
"2321","CENPE","CENPE"
"2322","CENPF","CENPF"
"2323","CENPH","CENPH"
"2324","CENPI","CENPI"
"2325","CENPJ","CENPJ"
"2326","CENPK","CENPK"
"2327","CENPL","CENPL"
"2328","CENPM","CENPM"
"2329","CENPN","CENPN"
"2330","CENPO","CENPO"
"2331","CENPP","CENPP"
"2332","CENPQ","CENPQ"
"2333","CENPS","CENPS"
"2334","CENPT","CENPT"
"2335","CENPU","CENPU"
"2336","CENPW","CENPW"
"2337","CENPX","CENPX"
"2338","CEP104","CEP104"
"2339","CEP112","CEP112"
"2340","CEP120","CEP120"
"2341","CEP126","CEP126"
"2342","CEP128","CEP128"
"2343","CEP131","CEP131"
"2344","CEP135","CEP135"
"2345","CEP15","CEP15"
"2346","CEP152","CEP152"
"2347","CEP162","CEP162"
"2348","CEP164","CEP164"
"2349","CEP170","CEP170"
"2350","CEP170B","CEP170B"
"2351","CEP19","CEP19"
"2352","CEP192","CEP192"
"2353","CEP20","CEP20"
"2354","CEP250","CEP250"
"2355","CEP290","CEP290"
"2356","CEP295","CEP295"
"2357","CEP350","CEP350"
"2358","CEP41","CEP41"
"2359","CEP43","CEP43"
"2360","CEP44","CEP44"
"2361","CEP55","CEP55"
"2362","CEP57","CEP57"
"2363","CEP57L1","CEP57L1"
"2364","CEP63","CEP63"
"2365","CEP68","CEP68"
"2366","CEP70","CEP70"
"2367","CEP72","CEP72"
"2368","CEP76","CEP76"
"2369","CEP78","CEP78"
"2370","CEP83","CEP83"
"2371","CEP85","CEP85"
"2372","CEP85L","CEP85L"
"2373","CEP89","CEP89"
"2374","CEP95","CEP95"
"2375","CEP97","CEP97"
"2376","CEPT1","CEPT1"
"2377","CER1","CER1"
"2378","CERCAM","CERCAM"
"2379","CERK","CERK"
"2380","CERKL","CERKL"
"2381","CERS1","CERS1"
"2382","CERS2","CERS2"
"2383","CERS3","CERS3"
"2384","CERS4","CERS4"
"2385","CERS6","CERS6"
"2386","CERT1","CERT1"
"2387","CES2","CES2"
"2388","CES3","CES3"
"2389","CES4A","CES4A"
"2390","CES5A","CES5A"
"2391","CETN1","CETN1"
"2392","CETN2","CETN2"
"2393","CETN3","CETN3"
"2394","CFAP100","CFAP100"
"2395","CFAP107","CFAP107"
"2396","CFAP119","CFAP119"
"2397","CFAP126","CFAP126"
"2398","CFAP144","CFAP144"
"2399","CFAP157","CFAP157"
"2400","CFAP161","CFAP161"
"2401","CFAP20","CFAP20"
"2402","CFAP206","CFAP206"
"2403","CFAP20DC","CFAP20DC"
"2404","CFAP210","CFAP210"
"2405","CFAP221","CFAP221"
"2406","CFAP251","CFAP251"
"2407","CFAP276","CFAP276"
"2408","CFAP298","CFAP298"
"2409","CFAP299","CFAP299"
"2410","CFAP300","CFAP300"
"2411","CFAP36","CFAP36"
"2412","CFAP410","CFAP410"
"2413","CFAP43","CFAP43"
"2414","CFAP44","CFAP44"
"2415","CFAP45","CFAP45"
"2416","CFAP46","CFAP46"
"2417","CFAP52","CFAP52"
"2418","CFAP54","CFAP54"
"2419","CFAP57","CFAP57"
"2420","CFAP58","CFAP58"
"2421","CFAP61","CFAP61"
"2422","CFAP65","CFAP65"
"2423","CFAP69","CFAP69"
"2424","CFAP70","CFAP70"
"2425","CFAP73","CFAP73"
"2426","CFAP74","CFAP74"
"2427","CFAP77","CFAP77"
"2428","CFAP91","CFAP91"
"2429","CFAP92","CFAP92"
"2430","CFAP95","CFAP95"
"2431","CFAP97","CFAP97"
"2432","CFAP97D1","CFAP97D1"
"2433","CFAP99","CFAP99"
"2434","CFB","CFB"
"2435","CFD","CFD"
"2436","CFDP1","CFDP1"
"2437","CFHR5","CFHR5"
"2438","CFI","CFI"
"2439","CFL1","CFL1"
"2440","CFL2","CFL2"
"2441","CFLAR","CFLAR"
"2442","CFP","CFP"
"2443","CFTR","CFTR"
"2444","CGA","CGA"
"2445","CGAS","CGAS"
"2446","CGGBP1","CGGBP1"
"2447","CGNL1","CGNL1"
"2448","CGREF1","CGREF1"
"2449","CGRRF1","CGRRF1"
"2450","CH25H","CH25H"
"2451","CHAC1","CHAC1"
"2452","CHAC2","CHAC2"
"2453","CHAD","CHAD"
"2454","CHADL","CHADL"
"2455","CHAF1A","CHAF1A"
"2456","CHAF1B","CHAF1B"
"2457","CHAMP1","CHAMP1"
"2458","CHAT","CHAT"
"2459","CHCHD1","CHCHD1"
"2460","CHCHD10","CHCHD10"
"2461","CHCHD3","CHCHD3"
"2462","CHCHD4","CHCHD4"
"2463","CHCHD5","CHCHD5"
"2464","CHCHD7","CHCHD7"
"2465","CHCT1","CHCT1"
"2466","CHD1","CHD1"
"2467","CHD1L","CHD1L"
"2468","CHD2","CHD2"
"2469","CHD3","CHD3"
"2470","CHD4","CHD4"
"2471","CHD5","CHD5"
"2472","CHD6","CHD6"
"2473","CHD7","CHD7"
"2474","CHD8","CHD8"
"2475","CHD9","CHD9"
"2476","CHD9NB","CHD9NB"
"2477","CHDH","CHDH"
"2478","CHEK1","CHEK1"
"2479","CHEK2","CHEK2"
"2480","CHERP","CHERP"
"2481","CHFR","CHFR"
"2482","CHGA","CHGA"
"2483","CHGB","CHGB"
"2484","CHI3L1","CHI3L1"
"2485","CHI3L2","CHI3L2"
"2486","CHIA","CHIA"
"2487","CHIC1","CHIC1"
"2488","CHIC2","CHIC2"
"2489","CHID1","CHID1"
"2490","CHKA","CHKA"
"2491","CHKB","CHKB"
"2492","CHL1","CHL1"
"2493","CHM","CHM"
"2494","CHML","CHML"
"2495","CHMP1A","CHMP1A"
"2496","CHMP2A","CHMP2A"
"2497","CHMP2B","CHMP2B"
"2498","CHMP3","CHMP3"
"2499","CHMP4A","CHMP4A"
"2500","CHMP4B","CHMP4B"
"2501","CHMP4C","CHMP4C"
"2502","CHMP6","CHMP6"
"2503","CHMP7","CHMP7"
"2504","CHN1","CHN1"
"2505","CHN2","CHN2"
"2506","CHODL","CHODL"
"2507","CHP1","CHP1"
"2508","CHP2","CHP2"
"2509","CHPF","CHPF"
"2510","CHPF2","CHPF2"
"2511","CHRAC1","CHRAC1"
"2512","CHRD","CHRD"
"2513","CHRDL1","CHRDL1"
"2514","CHRDL2","CHRDL2"
"2515","CHRM1","CHRM1"
"2516","CHRM2","CHRM2"
"2517","CHRM3","CHRM3"
"2518","CHRM4","CHRM4"
"2519","CHRM5","CHRM5"
"2520","CHRNA1","CHRNA1"
"2521","CHRNA2","CHRNA2"
"2522","CHRNA3","CHRNA3"
"2523","CHRNA4","CHRNA4"
"2524","CHRNA5","CHRNA5"
"2525","CHRNA6","CHRNA6"
"2526","CHRNA9","CHRNA9"
"2527","CHRNB1","CHRNB1"
"2528","CHRNB2","CHRNB2"
"2529","CHRNB3","CHRNB3"
"2530","CHRNB4","CHRNB4"
"2531","CHRND","CHRND"
"2532","CHRNE","CHRNE"
"2533","CHRNG","CHRNG"
"2534","CHST1","CHST1"
"2535","CHST10","CHST10"
"2536","CHST11","CHST11"
"2537","CHST12","CHST12"
"2538","CHST13","CHST13"
"2539","CHST15","CHST15"
"2540","CHST2","CHST2"
"2541","CHST4","CHST4"
"2542","CHST7","CHST7"
"2543","CHST8","CHST8"
"2544","CHSY3","CHSY3"
"2545","CHTF18","CHTF18"
"2546","CHTOP","CHTOP"
"2547","CHUK","CHUK"
"2548","CHURC1","CHURC1"
"2549","CIAO1","CIAO1"
"2550","CIAO2A","CIAO2A"
"2551","CIAO2B","CIAO2B"
"2552","CIAO3","CIAO3"
"2553","CIAPIN1","CIAPIN1"
"2554","CIART","CIART"
"2555","CIB1","CIB1"
"2556","CIB2","CIB2"
"2557","CIB3","CIB3"
"2558","CIB4","CIB4"
"2559","CIBAR1","CIBAR1"
"2560","CIBAR2","CIBAR2"
"2561","CIC","CIC"
"2562","CIDEA","CIDEA"
"2563","CIDEB","CIDEB"
"2564","CIDEC","CIDEC"
"2565","CIITA","CIITA"
"2566","CILK1","CILK1"
"2567","CILP","CILP"
"2568","CILP2","CILP2"
"2569","CIMAP2","CIMAP2"
"2570","CIMIP1","CIMIP1"
"2571","CIMIP2A","CIMIP2A"
"2572","CIMIP2B","CIMIP2B"
"2573","CIMIP2C","CIMIP2C"
"2574","CIMIP4","CIMIP4"
"2575","CIP2A","CIP2A"
"2576","CIPC","CIPC"
"2577","CIR1","CIR1"
"2578","CIRBP","CIRBP"
"2579","CISD1","CISD1"
"2580","CISH","CISH"
"2581","CIT","CIT"
"2582","CITED1","CITED1"
"2583","CITED2","CITED2"
"2584","CITED4","CITED4"
"2585","CIZ1","CIZ1"
"2586","CKAP2","CKAP2"
"2587","CKAP2L","CKAP2L"
"2588","CKAP4","CKAP4"
"2589","CKAP5","CKAP5"
"2590","CKB","CKB"
"2591","CKLF","CKLF"
"2592","CKM","CKM"
"2593","CKMT2","CKMT2"
"2594","CKS1B","CKS1B"
"2595","CKS2","CKS2"
"2596","CLASP1","CLASP1"
"2597","CLASP2","CLASP2"
"2598","CLASRP","CLASRP"
"2599","CLCA1","CLCA1"
"2600","CLCA2","CLCA2"
"2601","CLCA4","CLCA4"
"2602","CLCC1","CLCC1"
"2603","CLCN1","CLCN1"
"2604","CLCN2","CLCN2"
"2605","CLCN3","CLCN3"
"2606","CLCN4","CLCN4"
"2607","CLCN5","CLCN5"
"2608","CLCN6","CLCN6"
"2609","CLCN7","CLCN7"
"2610","CLDN1","CLDN1"
"2611","CLDN10","CLDN10"
"2612","CLDN11","CLDN11"
"2613","CLDN12","CLDN12"
"2614","CLDN14","CLDN14"
"2615","CLDN15","CLDN15"
"2616","CLDN16","CLDN16"
"2617","CLDN17","CLDN17"
"2618","CLDN18","CLDN18"
"2619","CLDN19","CLDN19"
"2620","CLDN2","CLDN2"
"2621","CLDN20","CLDN20"
"2622","CLDN23","CLDN23"
"2623","CLDN25","CLDN25"
"2624","CLDN3","CLDN3"
"2625","CLDN4","CLDN4"
"2626","CLDN5","CLDN5"
"2627","CLDN6","CLDN6"
"2628","CLDN7","CLDN7"
"2629","CLDN8","CLDN8"
"2630","CLDN9","CLDN9"
"2631","CLDND1","CLDND1"
"2632","CLEC10A","CLEC10A"
"2633","CLEC11A","CLEC11A"
"2634","CLEC12B","CLEC12B"
"2635","CLEC14A","CLEC14A"
"2636","CLEC16A","CLEC16A"
"2637","CLEC17A","CLEC17A"
"2638","CLEC19A","CLEC19A"
"2639","CLEC1A","CLEC1A"
"2640","CLEC1B","CLEC1B"
"2641","CLEC2A","CLEC2A"
"2642","CLEC2L","CLEC2L"
"2643","CLEC3A","CLEC3A"
"2644","CLEC3B","CLEC3B"
"2645","CLEC4A","CLEC4A"
"2646","CLEC4D","CLEC4D"
"2647","CLEC4F","CLEC4F"
"2648","CLEC4G","CLEC4G"
"2649","CLEC5A","CLEC5A"
"2650","CLEC6A","CLEC6A"
"2651","CLEC7A","CLEC7A"
"2652","CLEC9A","CLEC9A"
"2653","CLGN","CLGN"
"2654","CLHC1","CLHC1"
"2655","CLIC1","CLIC1"
"2656","CLIC2","CLIC2"
"2657","CLIC3","CLIC3"
"2658","CLIC4","CLIC4"
"2659","CLIC5","CLIC5"
"2660","CLINT1","CLINT1"
"2661","CLIP1","CLIP1"
"2662","CLIP2","CLIP2"
"2663","CLIP3","CLIP3"
"2664","CLIP4","CLIP4"
"2665","CLK1","CLK1"
"2666","CLK2","CLK2"
"2667","CLK3","CLK3"
"2668","CLK4","CLK4"
"2669","CLMN","CLMN"
"2670","CLMP","CLMP"
"2671","CLN3","CLN3"
"2672","CLN6","CLN6"
"2673","CLNK","CLNK"
"2674","CLNS1A","CLNS1A"
"2675","CLOCK","CLOCK"
"2676","CLP1","CLP1"
"2677","CLPB","CLPB"
"2678","CLPP","CLPP"
"2679","CLPS","CLPS"
"2680","CLPSL2","CLPSL2"
"2681","CLPTM1","CLPTM1"
"2682","CLPTM1L","CLPTM1L"
"2683","CLPX","CLPX"
"2684","CLRN1","CLRN1"
"2685","CLRN2","CLRN2"
"2686","CLRN3","CLRN3"
"2687","CLSPN","CLSPN"
"2688","CLSTN1","CLSTN1"
"2689","CLSTN2","CLSTN2"
"2690","CLSTN3","CLSTN3"
"2691","CLTA","CLTA"
"2692","CLTB","CLTB"
"2693","CLTC","CLTC"
"2694","CLUAP1","CLUAP1"
"2695","CLUH","CLUH"
"2696","CLUL1","CLUL1"
"2697","CLVS1","CLVS1"
"2698","CLVS2","CLVS2"
"2699","CLXN","CLXN"
"2700","CLYBL","CLYBL"
"2701","CMAS","CMAS"
"2702","CMBL","CMBL"
"2703","CMC2","CMC2"
"2704","CMIP","CMIP"
"2705","CMKLR1","CMKLR1"
"2706","CMPK1","CMPK1"
"2707","CMPK2","CMPK2"
"2708","CMSS1","CMSS1"
"2709","CMTM4","CMTM4"
"2710","CMTM6","CMTM6"
"2711","CMTM7","CMTM7"
"2712","CMTM8","CMTM8"
"2713","CMTR1","CMTR1"
"2714","CMTR2","CMTR2"
"2715","CMYA5","CMYA5"
"2716","CNBD1","CNBD1"
"2717","CNBD2","CNBD2"
"2718","CNDP1","CNDP1"
"2719","CNDP2","CNDP2"
"2720","CNEP1R1","CNEP1R1"
"2721","CNFN","CNFN"
"2722","CNGA1","CNGA1"
"2723","CNGA2","CNGA2"
"2724","CNGA3","CNGA3"
"2725","CNGA4","CNGA4"
"2726","CNGB3","CNGB3"
"2727","CNIH1","CNIH1"
"2728","CNIH2","CNIH2"
"2729","CNIH4","CNIH4"
"2730","CNKSR1","CNKSR1"
"2731","CNKSR2","CNKSR2"
"2732","CNKSR3","CNKSR3"
"2733","CNMD","CNMD"
"2734","CNN1","CNN1"
"2735","CNN2","CNN2"
"2736","CNN3","CNN3"
"2737","CNNM1","CNNM1"
"2738","CNNM2","CNNM2"
"2739","CNNM4","CNNM3"
"2740","CNOT1","CNOT1"
"2741","CNOT10","CNOT10"
"2742","CNOT11","CNOT11"
"2743","CNOT2","CNOT2"
"2744","CNOT3","CNOT3"
"2745","CNOT4","CNOT4"
"2746","CNOT6","CNOT6"
"2747","CNOT6L","CNOT6L"
"2748","CNOT7","CNOT7"
"2749","CNOT8","CNOT8"
"2750","CNOT9","CNOT9"
"2751","CNPPD1","CNPPD1"
"2752","CNPY3","CNPY3"
"2753","CNPY4","CNPY4"
"2754","CNR1","CNR1"
"2755","CNR2","CNR2"
"2756","CNST","CNST"
"2757","CNTD1","CNTD1"
"2758","CNTF","CNTF"
"2759","CNTFR","CNTFR"
"2760","CNTLN","CNTLN"
"2761","CNTN1","CNTN1"
"2762","CNTN2","CNTN2"
"2763","CNTN3","CNTN3"
"2764","CNTN4","CNTN4"
"2765","CNTN5","CNTN5"
"2766","CNTN6","CNTN6"
"2767","CNTNAP1","CNTNAP1"
"2768","CNTNAP2","CNTNAP2"
"2769","CNTNAP4","CNTNAP4"
"2770","CNTNAP5","CNTNAP5"
"2771","CNTRL","CNTRL"
"2772","CNTROB","CNTROB"
"2773","COA1","COA1"
"2774","COA5","COA5"
"2775","COA7","COA7"
"2776","COASY","COASY"
"2777","COBL","COBL"
"2778","COBLL1","COBLL1"
"2779","COCH","COCH"
"2780","COG1","COG1"
"2781","COG2","COG2"
"2782","COG3","COG3"
"2783","COG4","COG4"
"2784","COG5","COG5"
"2785","COG6","COG6"
"2786","COG7","COG7"
"2787","COG8","COG8"
"2788","COIL","COIL"
"2789","COL10A1","COL10A1"
"2790","COL11A1","COL11A1"
"2791","COL11A2","COL11A2"
"2792","COL12A1","COL12A1"
"2793","COL13A1","COL13A1"
"2794","COL14A1","COL14A1"
"2795","COL15A1","COL15A1"
"2796","COL16A1","COL16A1"
"2797","COL17A1","COL17A1"
"2798","COL18A1","COL18A1"
"2799","COL19A1","COL19A1"
"2800","COL1A1","COL1A1"
"2801","COL1A2","COL1A2"
"2802","COL21A1","COL21A1"
"2803","COL22A1","COL22A1"
"2804","COL23A1","COL23A1"
"2805","COL24A1","COL24A1"
"2806","COL25A1","COL25A1"
"2807","COL26A1","COL26A1"
"2808","COL27A1","COL27A1"
"2809","COL28A1","COL28A1"
"2810","COL2A1","COL2A1"
"2811","COL3A1","COL3A1"
"2812","COL4A1","COL4A1"
"2813","COL4A2","COL4A2"
"2814","COL4A3","COL4A3"
"2815","COL4A4","COL4A4"
"2816","COL4A5","COL4A5"
"2817","COL4A6","COL4A6"
"2818","COL5A1","COL5A1"
"2819","COL5A2","COL5A2"
"2820","COL5A3","COL5A3"
"2821","COL6A2","COL6A2"
"2822","COL6A3","COL6A3"
"2823","COL6A5","COL6A5"
"2824","COL6A6","COL6A6"
"2825","COL8A1","COL8A1"
"2826","COL8A2","COL8A2"
"2827","COL9A1","COL9A1"
"2828","COL9A3","COL9A3"
"2829","COLEC10","COLEC10"
"2830","COLEC11","COLEC11"
"2831","COLEC12","COLEC12"
"2832","COLGALT1","COLGALT1"
"2833","COLGALT2","COLGALT2"
"2834","COLQ","COLQ"
"2835","COMMD1","COMMD1"
"2836","COMMD10","COMMD10"
"2837","COMMD2","COMMD2"
"2838","COMMD3","COMMD3"
"2839","COMMD4","COMMD4"
"2840","COMMD5","COMMD5"
"2841","COMMD6","COMMD6"
"2842","COMMD8","COMMD8"
"2843","COMMD9","COMMD9"
"2844","COMP","COMP"
"2845","COMT","COMT"
"2846","COMTD1","COMTD1"
"2847","COP1","COP1"
"2848","COPA","COPA"
"2849","COPB1","COPB1"
"2850","COPB2","COPB2"
"2851","COPE","COPE"
"2852","COPG1","COPG1"
"2853","COPG2","COPG2"
"2854","COPRS","COPRS"
"2855","COPS2","COPS2"
"2856","COPS3","COPS3"
"2857","COPS4","COPS4"
"2858","COPS6","COPS6"
"2859","COPS7A","COPS7A"
"2860","COPS7B","COPS7B"
"2861","COPS8","COPS8"
"2862","COPZ1","COPZ1"
"2863","COPZ2","COPZ2"
"2864","COQ10A","COQ10A"
"2865","COQ10B","COQ10B"
"2866","COQ2","COQ2"
"2867","COQ3","COQ3"
"2868","COQ4","COQ4"
"2869","COQ5","COQ5"
"2870","COQ6","COQ6"
"2871","COQ7","COQ7"
"2872","COQ8A","COQ8A"
"2873","COQ8B","COQ8B"
"2874","COQ9","COQ9"
"2875","CORIN","CORIN"
"2876","CORO1A","CORO1A"
"2877","CORO1B","CORO1B"
"2878","CORO1C","CORO1C"
"2879","CORO2A","CORO2A"
"2880","CORO2B","CORO2B"
"2881","CORO6","CORO6"
"2882","CORO7","CORO7"
"2883","COTL1","COTL1"
"2884","MT-CO1","COX1"
"2885","COX10","COX10"
"2886","COX11","COX11"
"2887","COX15","COX15"
"2888","COX16","COX16"
"2889","COX17","COX17"
"2890","COX18","COX18"
"2891","MT-CO2","COX2"
"2892","COX20","COX20"
"2893","MT-CO3","COX3"
"2894","COX4I1","COX4I1"
"2895","COX4I2","COX4I2"
"2896","COX5A","COX5A"
"2897","COX6A2","COX6A2"
"2898","COX6B1","COX6B1"
"2899","COX6B2","COX6B2"
"2900","COX7A1","COX7A1"
"2901","COX7A2L","COX7A2L"
"2902","COX7B2","COX7B2"
"2903","COX7C","COX7C"
"2904","COX8A","COX8A"
"2905","CP","CP"
"2906","CPA1","CPA1"
"2907","CPA3","CPA3"
"2908","CPA4","CPA4"
"2909","CPA5","CPA5"
"2910","CPA6","CPA6"
"2911","CPAMD8","CPAMD8"
"2912","CPB1","CPB1"
"2913","CPB2","CPB2"
"2914","CPD","CPD"
"2915","CPE","CPE"
"2916","CPEB1","CPEB1"
"2917","CPEB2","CPEB2"
"2918","CPEB3","CPEB3"
"2919","CPEB4","CPEB4"
"2920","CPED1","CPED1"
"2921","CPLANE1","CPLANE1"
"2922","CPLANE2","CPLANE2"
"2923","CPLX1","CPLX1"
"2924","CPLX2","CPLX2"
"2925","CPLX4","CPLX4"
"2926","CPM","CPM"
"2927","CPN1","CPN1"
"2928","CPN2","CPN2"
"2929","CPNE2","CPNE2"
"2930","CPNE3","CPNE3"
"2931","CPNE4","CPNE4"
"2932","CPNE5","CPNE5"
"2933","CPNE6","CPNE6"
"2934","CPNE7","CPNE7"
"2935","CPNE8","CPNE8"
"2936","CPNE9","CPNE9"
"2937","CPO","CPO"
"2938","CPOX","CPOX"
"2939","CPPED1","CPPED1"
"2940","CPQ","CPQ"
"2941","CPS1","CPS1"
"2942","CPSF1","CPSF1"
"2943","CPSF2","CPSF2"
"2944","CPSF4","CPSF4"
"2945","CPSF4L","CPSF4L"
"2946","CPSF6","CPSF6"
"2947","CPSF7","CPSF7"
"2948","CPT1A","CPT1A"
"2949","CPT1B","CPT1B"
"2950","CPT1C","CPT1C"
"2951","CPT2","CPT2"
"2952","CPTP","CPTP"
"2953","CPVL","CPVL"
"2954","CPXM1","CPXM1"
"2955","CPXM2","CPXM2"
"2956","CPZ","CPZ"
"2957","CRABP1","CRABP1"
"2958","CRABP2","CRABP2"
"2959","CRACD","CRACD"
"2960","CRACDL","CRACDL"
"2961","CRACR2A","CRACR2A"
"2962","CRACR2B","CRACR2B"
"2963","CRADD","CRADD"
"2964","CRAMP1","CRAMP1"
"2965","CRAT","CRAT"
"2966","CRB1","CRB1"
"2967","CRB2","CRB2"
"2968","CRB3","CRB3"
"2969","CRBN","CRBN"
"2970","CRCP","CRCP"
"2971","CREB1","CREB1"
"2972","CREB3","CREB3"
"2973","CREB3L1","CREB3L1"
"2974","CREB3L2","CREB3L2"
"2975","CREB3L3","CREB3L3"
"2976","CREB3L4","CREB3L4"
"2977","CREB5","CREB5"
"2978","CREBBP","CREBBP"
"2979","CREBL2","CREBL2"
"2980","CREBRF","CREBRF"
"2981","CREBZF","CREBZF"
"2982","CREG1","CREG1"
"2983","CREG2","CREG2"
"2984","CRELD1","CRELD1"
"2985","CREM","CREM"
"2986","CRH","CRH"
"2987","CRHBP","CRHBP"
"2988","CRHR1","CRHR1"
"2989","CRHR2","CRHR2"
"2990","CRIM1","CRIM1"
"2991","CRIP1","CRIP1"
"2992","CRIP2","CRIP2"
"2993","CRIP3","CRIP3"
"2994","CRIPT","CRIPT"
"2995","CRISP1","CRISP1"
"2996","CRISP2","CRISP2"
"2997","CRISP3","CRISP3"
"2998","CRISPLD1","CRISPLD1"
"2999","CRK","CRK"
"3000","CRKL","CRKL"
"3001","CRLF1","CRLF1"
"3002","CRLF3","CRLF3"
"3003","CRLS1","CRLS1"
"3004","CRMP1","CRMP1"
"3005","CRNKL1","CRNKL1"
"3006","CROCC","CROCC"
"3007","CROCC2","CROCC2"
"3008","CROT","CROT"
"3009","CRP","CRP"
"3010","CRPPA","CRPPA"
"3011","CRTAC1","CRTAC1"
"3012","CRTAM","CRTAM"
"3013","CRTAP","CRTAP"
"3014","CRTC1","CRTC1"
"3015","CRTC2","CRTC2"
"3016","CRTC3","CRTC3"
"3017","CRX","CRX"
"3018","CRY1","CRY1"
"3019","CRY2","CRY2"
"3020","CRYAA","CRYAA"
"3021","CRYAB","CRYAB"
"3022","CRYBA1","CRYBA1"
"3023","CRYBA2","CRYBA2"
"3024","CRYBA4","CRYBA4"
"3025","CRYBB1","CRYBB1"
"3026","CRYBB2","CRYBB2"
"3027","CRYBB3","CRYBB3"
"3028","CRYBG1","CRYBG1"
"3029","CRYBG2","CRYBG2"
"3030","CRYBG3","CRYBG3"
"3031","CRYGA","CRYGA"
"3032","CRYGC","CRYGC"
"3033","CRYGD","CRYGD"
"3034","CRYGN","CRYGN"
"3035","CRYGS","CRYGS"
"3036","CRYL1","CRYL1"
"3037","CRYM","CRYM"
"3038","CRYZ","CRYZ"
"3039","CRYZL1","CRYZL1"
"3040","CS","CS"
"3041","CSAD","CSAD"
"3042","CSDC2","CSDC2"
"3043","CSDE1","CSDE1"
"3044","CSE1L","CSE1L"
"3045","CSF1","CSF1"
"3046","CSF1R","CSF1R"
"3047","CSF2","CSF2"
