"","human_gene","pig_gene"
"2156","CD1B","CD1B"
"2157","CD1D","CD1D"
"2158","CD1E","CD1E"
"2159","CD2","CD2"
"2160","CD200","CD200"
"2161","CD200R1","CD200R1"
"2162","CD207","CD207"
"2163","CLEC4M","CD209"
"2164","CD22","CD22"
"2165","CD226","CD226"
"2166","CD24","CD24"
"2167","CD244","CD244"
"2168","CD247","CD247"
"2169","CD248","CD248"
"2170","CD27","CD27"
"2171","CD274","CD274"
"2172","CD28","CD28"
"2173","CD2AP","CD2AP"
"2174","CD2BP2","CD2BP2"
"2175","CD300C","CD300C"
"2176","CD300LB","CD300LB"
"2177","CD302","CD302"
"2178","CD320","CD320"
"2179","CD34","CD34"
"2180","CD37","CD37"
"2181","CD38","CD38"
"2182","CD3D","CD3D"
"2183","CD3E","CD3E"
"2184","CD4","CD4"
"2185","CD40","CD40"
"2186","CD40LG","CD40LG"
"2187","CD44","CD44"
"2188","CD47","CD47"
"2189","CD48","CD48"
"2190","CD5","CD5"
"2191","CD52","CD52"
"2192","CD53","CD53"
"2193","CD58","CD58"
"2194","CD6","CD6"
"2195","CD63","CD63"
"2196","CD68","CD68"
"2197","CD69","CD69"
"2198","CD70","CD70"
"2199","CD74","CD74"
"2200","CD79A","CD79A"
"2201","CD79B","CD79B"
"2202","CD80","CD80"
"2203","CD81","CD81"
"2204","CD82","CD82"
"2205","CD83","CD83"
"2206","CD84","CD84"
"2207","CD86","CD86"
"2208","CD8A","CD8A"
"2209","CD8B","CD8B"
"2210","CD9","CD9"
"2211","CD93","CD93"
"2212","CD96","CD96"
"2213","CD99L2","CD99L2"
"2214","CDA","CDA"
"2215","CDADC1","CDADC1"
"2216","CDAN1","CDAN1"
"2217","CDC123","CDC123"
"2218","CDC14A","CDC14A"
"2219","CDC16","CDC16"
"2220","CDC20","CDC20"
"2221","CDC20B","CDC20B"
"2222","CDC23","CDC23"
"2223","CDC25A","CDC25A"
"2224","CDC25B","CDC25B"
"2225","CDC25C","CDC25C"
"2226","CDC26","CDC26"
"2227","CDC27","CDC27"
"2228","CDC34","CDC34"
"2229","CDC37","CDC37"
"2230","CDC37L1","CDC37L1"
"2231","CDC40","CDC40"
"2232","CDC42","CDC42"
"2233","CDC42BPA","CDC42BPA"
"2234","CDC42BPB","CDC42BPB"
"2235","CDC42BPG","CDC42BPG"
"2236","CDC42EP1","CDC42EP1"
"2237","CDC42EP2","CDC42EP2"
"2238","CDC42EP3","CDC42EP3"
"2239","CDC42EP4","CDC42EP4"
"2240","CDC42EP5","CDC42EP5"
"2241","CDC42SE1","CDC42SE1"
"2242","CDC42SE2","CDC42SE2"
"2243","CDC45","CDC45"
"2244","CDC5L","CDC5L"
"2245","CDC6","CDC6"
"2246","CDC7","CDC7"
"2247","CDC73","CDC73"
"2248","CDCA2","CDCA2"
"2249","CDCA3","CDCA3"
"2250","CDCA4","CDCA4"
"2251","CDCA5","CDCA5"
"2252","CDCA7","CDCA7"
"2253","CDCA7L","CDCA7L"
"2254","CDCA8","CDCA8"
"2255","CDCP1","CDCP1"
"2256","CDCP2","CDCP2"
"2257","CDH1","CDH1"
"2258","CDH10","CDH10"
"2259","CDH11","CDH11"
"2260","CDH12","CDH12"
"2261","CDH13","CDH13"
"2262","CDH15","CDH15"
"2263","CDH16","CDH16"
"2264","CDH17","CDH17"
"2265","CDH18","CDH18"
"2266","CDH19","CDH19"
"2267","CDH2","CDH2"
"2268","CDH20","CDH20"
"2269","CDH22","CDH22"
"2270","CDH24","CDH24"
"2271","CDH3","CDH3"
"2272","CDH4","CDH4"
"2273","CDH5","CDH5"
"2274","CDH6","CDH6"
"2275","CDH7","CDH7"
"2276","CDH8","CDH8"
"2277","CDH9","CDH9"
"2278","CDHR1","CDHR1"
"2279","CDHR2","CDHR2"
"2280","CDHR3","CDHR3"
"2281","CDHR4","CDHR4"
"2282","CDHR5","CDHR5"
"2283","CDIN1","CDIN1"
"2284","CDIP1","CDIP1"
"2285","CDIPT","CDIPT"
"2286","CDK1","CDK1"
"2287","CDK10","CDK10"
"2288","CDK12","CDK12"
"2289","CDK13","CDK13"
"2290","CDK14","CDK14"
"2291","CDK15","CDK15"
"2292","CDK16","CDK16"
"2293","CDK17","CDK17"
"2294","CDK18","CDK18"
"2295","CDK19","CDK19"
"2296","CDK2","CDK2"
"2297","CDK2AP1","CDK2AP1"
"2298","CDK2AP2","CDK2AP2"
"2299","CDK3","CDK3"
"2300","CDK4","CDK4"
"2301","CDK5R1","CDK5R1"
"2302","CDK5R2","CDK5R2"
"2303","CDK5RAP1","CDK5RAP1"
"2304","CDK5RAP2","CDK5RAP2"
"2305","CDK5RAP3","CDK5RAP3"
"2306","CDK6","CDK6"
"2307","CDK7","CDK7"
"2308","CDK8","CDK8"
"2309","CDK9","CDK9"
"2310","CDKAL1","CDKAL1"
"2311","CDKL1","CDKL1"
"2312","CDKL2","CDKL2"
"2313","CDKL3","CDKL3"
"2314","CDKL4","CDKL4"
"2315","CDKL5","CDKL5"
"2316","CDKN1A","CDKN1A"
"2317","CDKN1B","CDKN1B"
"2318","CDKN1C","CDKN1C"
"2319","CDKN2A","CDKN2A"
"2320","CDKN2AIP","CDKN2AIP"
"2321","CDKN2AIPNL","CDKN2AIPNL"
"2322","CDKN2B","CDKN2B"
"2323","CDKN2C","CDKN2C"
"2324","CDKN2D","CDKN2D"
"2325","CDKN3","CDKN3"
"2326","CDO1","CDO1"
"2327","CDON","CDON"
"2328","CDPF1","CDPF1"
"2329","CDR2","CDR2"
"2330","CDR2L","CDR2L"
"2331","CDS1","CDS1"
"2332","CDS2","CDS2"
"2333","CDSN","CDSN"
"2334","CDT1","CDT1"
"2335","CDV3","CDV3"
"2336","CDX1","CDX1"
"2337","CDX2","CDX2"
"2338","CDX4","CDX4"
"2339","CDYL","CDYL"
"2340","CDYL2","CDYL2"
"2341","CEACAM16","CEACAM16"
"2342","CEACAM19","CEACAM19"
"2343","CEACAM20","CEACAM20"
"2344","CEBPA","CEBPA"
"2345","CEBPB","CEBPB"
"2346","CEBPD","CEBPD"
"2347","CEBPE","CEBPE"
"2348","CEBPG","CEBPG"
"2349","CEBPZ","CEBPZ"
"2350","CEBPZOS","CEBPZOS"
"2351","CECR2","CECR2"
"2352","CEL","CEL"
"2353","CELA1","CELA1"
"2354","CELA2A","CELA2A"
"2355","CELF1","CELF1"
"2356","CELF3","CELF3"
"2357","CELF4","CELF4"
"2358","CELF5","CELF5"
"2359","CELF6","CELF6"
"2360","CELSR1","CELSR1"
"2361","CELSR2","CELSR2"
"2362","CELSR3","CELSR3"
"2363","CEMIP","CEMIP"
"2364","CEMIP2","CEMIP2"
"2365","CENATAC","CENATAC"
"2366","CEND1","CEND1"
"2367","CENPA","CENPA"
"2368","CENPB","CENPB"
"2369","CENPC","CENPC"
"2370","CENPE","CENPE"
"2371","CENPF","CENPF"
"2372","CENPH","CENPH"
"2373","CENPI","CENPI"
"2374","CENPJ","CENPJ"
"2375","CENPK","CENPK"
"2376","CENPL","CENPL"
"2377","CENPM","CENPM"
"2378","CENPN","CENPN"
"2379","CENPO","CENPO"
"2380","CENPP","CENPP"
"2381","CENPQ","CENPQ"
"2382","CENPS","CENPS"
"2383","CENPT","CENPT"
"2384","CENPU","CENPU"
"2385","CENPW","CENPW"
"2386","CEP104","CEP104"
"2387","CEP112","CEP112"
"2388","CEP120","CEP120"
"2389","CEP126","CEP126"
"2390","CEP128","CEP128"
"2391","CEP131","CEP131"
"2392","CEP135","CEP135"
"2393","CEP15","CEP15"
"2394","CEP152","CEP152"
"2395","CEP162","CEP162"
"2396","CEP164","CEP164"
"2397","CEP170","CEP170"
"2398","CEP170B","CEP170B"
"2399","CEP19","CEP19"
"2400","CEP192","CEP192"
"2401","CEP20","CEP20"
"2402","CEP250","CEP250"
"2403","CEP290","CEP290"
"2404","CEP295","CEP295"
"2405","CEP350","CEP350"
"2406","CEP41","CEP41"
"2407","CEP43","CEP43"
"2408","CEP44","CEP44"
"2409","CEP55","CEP55"
"2410","CEP57L1","CEP57L1"
"2411","CEP63","CEP63"
"2412","CEP68","CEP68"
"2413","CEP76","CEP76"
"2414","CEP78","CEP78"
"2415","CEP83","CEP83"
"2416","CEP85","CEP85"
"2417","CEP85L","CEP85L"
"2418","CEP89","CEP89"
"2419","CEP95","CEP95"
"2420","CEP97","CEP97"
"2421","CEPT1","CEPT1"
"2422","CER1","CER1"
"2423","CERCAM","CERCAM"
"2424","CERK","CERK"
"2425","CERKL","CERKL"
"2426","CERS1","CERS1"
"2427","CERS2","CERS2"
"2428","CERS3","CERS3"
"2429","CERS4","CERS4"
"2430","CERS5","CERS5"
"2431","CERS6","CERS6"
"2432","CERT1","CERT1"
"2433","CES1","CES1"
"2434","CES3","CES3"
"2435","CES5A","CES5A"
"2436","CETN1","CETN1"
"2437","CETN2","CETN2"
"2438","CETN3","CETN3"
"2439","CFAP100","CFAP100"
"2440","CFAP107","CFAP107"
"2441","CFAP119","CFAP119"
"2442","CFAP126","CFAP126"
"2443","CFAP141","CFAP141"
"2444","CFAP144","CFAP144"
"2445","CFAP157","CFAP157"
"2446","CFAP161","CFAP161"
"2447","CFAP20","CFAP20"
"2448","CFAP206","CFAP206"
"2449","CFAP20DC","CFAP20DC"
"2450","CFAP210","CFAP210"
"2451","CFAP221","CFAP221"
"2452","CFAP276","CFAP276"
"2453","CFAP298","CFAP298"
"2454","CFAP299","CFAP299"
"2455","CFAP300","CFAP300"
"2456","CFAP36","CFAP36"
"2457","CFAP410","CFAP410"
"2458","CFAP418","CFAP418"
"2459","CFAP43","CFAP43"
"2460","CFAP44","CFAP44"
"2461","CFAP45","CFAP45"
"2462","CFAP46","CFAP46"
"2463","CFAP52","CFAP52"
"2464","CFAP54","CFAP54"
"2465","CFAP57","CFAP57"
"2466","CFAP58","CFAP58"
"2467","CFAP61","CFAP61"
"2468","CFAP65","CFAP65"
"2469","CFAP69","CFAP69"
"2470","CFAP70","CFAP70"
"2471","CFAP73","CFAP73"
"2472","CFAP74","CFAP74"
"2473","CFAP77","CFAP77"
"2474","CFAP90","CFAP90"
"2475","CFAP91","CFAP91"
"2476","CFAP92","CFAP92"
"2477","CFAP95","CFAP95"
"2478","CFAP96","CFAP96"
"2479","CFAP97","CFAP97"
"2480","CFAP97D1","CFAP97D1"
"2481","CFAP99","CFAP99"
"2482","CFB","CFB"
"2483","CFD","CFD"
"2484","CFDP1","CFDP1"
"2485","CFI","CFI"
"2486","CFL1","CFL1"
"2487","CFL2","CFL2"
"2488","CFLAR","CFLAR"
"2489","CFP","CFP"
"2490","CFTR","CFTR"
"2491","CGA","CGA"
"2492","CGAS","CGAS"
"2493","CGGBP1","CGGBP1"
"2494","CGNL1","CGNL1"
"2495","CGRRF1","CGRRF1"
"2496","CH25H","CH25H"
"2497","CHAC1","CHAC1"
"2498","CHAC2","CHAC2"
"2499","CHAD","CHAD"
"2500","CHADL","CHADL"
"2501","CHAF1A","CHAF1A"
"2502","CHAF1B","CHAF1B"
"2503","CHAT","CHAT"
"2504","CHCHD1","CHCHD1"
"2505","CHCHD10","CHCHD10"
"2506","CHCHD2","CHCHD2"
"2507","CHCHD3","CHCHD3"
"2508","CHCHD4","CHCHD4"
"2509","CHCHD5","CHCHD5"
"2510","CHCHD6","CHCHD6"
"2511","CHD1","CHD1"
"2512","CHD1L","CHD1L"
"2513","CHD2","CHD2"
"2514","CHD3","CHD3"
"2515","CHD4","CHD4"
"2516","CHD5","CHD5"
"2517","CHD6","CHD6"
"2518","CHD7","CHD7"
"2519","CHD8","CHD8"
"2520","CHD9","CHD9"
"2521","CHD9NB","CHD9NB"
"2522","CHDH","CHDH"
"2523","CHEK1","CHEK1"
"2524","CHEK2","CHEK2"
"2525","CHERP","CHERP"
"2526","CHFR","CHFR"
"2527","CHGA","CHGA"
"2528","CHGB","CHGB"
"2529","CHI3L1","CHI3L1"
"2530","CHI3L2","CHI3L2"
"2531","CHIA","CHIA"
"2532","CHIC1","CHIC1"
"2533","CHIC2","CHIC2"
"2534","CHID1","CHID1"
"2535","CHIT1","CHIT1"
"2536","CHKA","CHKA"
"2537","CHKB","CHKB"
"2538","CHL1","CHL1"
"2539","CHM","CHM"
"2540","CHML","CHML"
"2541","CHMP1A","CHMP1A"
"2542","CHMP2A","CHMP2A"
"2543","CHMP2B","CHMP2B"
"2544","CHMP3","CHMP3"
"2545","CHMP4A","CHMP4A"
"2546","CHMP4B","CHMP4B"
"2547","CHMP4C","CHMP4C"
"2548","CHMP5","CHMP5"
"2549","CHMP6","CHMP6"
"2550","CHMP7","CHMP7"
"2551","CHN1","CHN1"
"2552","CHN2","CHN2"
"2553","CHODL","CHODL"
"2554","CHORDC1","CHORDC1"
"2555","CHP1","CHP1"
"2556","CHP2","CHP2"
"2557","CHPF","CHPF"
"2558","CHPF2","CHPF2"
"2559","CHPT1","CHPT1"
"2560","CHRAC1","CHRAC1"
"2561","CHRD","CHRD"
"2562","CHRDL1","CHRDL1"
"2563","CHRDL2","CHRDL2"
"2564","CHRM2","CHRM2"
"2565","CHRM3","CHRM3"
"2566","CHRM4","CHRM4"
"2567","CHRM5","CHRM5"
"2568","CHRNA1","CHRNA1"
"2569","CHRNA10","CHRNA10"
"2570","CHRNA2","CHRNA2"
"2571","CHRNA3","CHRNA3"
"2572","CHRNA4","CHRNA4"
"2573","CHRNA5","CHRNA5"
"2574","CHRNA6","CHRNA6"
"2575","CHRNA9","CHRNA9"
"2576","CHRNB1","CHRNB1"
"2577","CHRNB2","CHRNB2"
"2578","CHRNB3","CHRNB3"
"2579","CHRND","CHRND"
"2580","CHRNE","CHRNE"
"2581","CHRNG","CHRNG"
"2582","CHST1","CHST1"
"2583","CHST10","CHST10"
"2584","CHST11","CHST11"
"2585","CHST12","CHST12"
"2586","CHST13","CHST13"
"2587","CHST14","CHST14"
"2588","CHST15","CHST15"
"2589","CHST2","CHST2"
"2590","CHST3","CHST3"
"2591","CHST4","CHST4"
"2592","CHST7","CHST7"
"2593","CHST8","CHST8"
"2594","CHST9","CHST9"
"2595","CHSY1","CHSY1"
"2596","CHSY3","CHSY3"
"2597","CHTF18","CHTF18"
"2598","CHTOP","CHTOP"
"2599","CHUK","CHUK"
"2600","CHURC1","CHURC1"
"2601","CIAO1","CIAO1"
"2602","CIAO2A","CIAO2A"
"2603","CIAO2B","CIAO2B"
"2604","CIAO3","CIAO3"
"2605","CIAPIN1","CIAPIN1"
"2606","CIART","CIART"
"2607","CIB1","CIB1"
"2608","CIB2","CIB2"
"2609","CIB3","CIB3"
"2610","CIB4","CIB4"
"2611","CIBAR2","CIBAR2"
"2612","CIC","CIC"
"2613","CIDEA","CIDEA"
"2614","CIDEB","CIDEB"
"2615","CIDEC","CIDEC"
"2616","CIITA","CIITA"
"2617","CILK1","CILK1"
"2618","CILP","CILP"
"2619","CILP2","CILP2"
"2620","CIMAP1A","CIMAP1A"
"2621","CIMAP1B","CIMAP1B"
"2622","CIMAP1C","CIMAP1C"
"2623","CIMAP1D","CIMAP1D"
"2624","CIMAP2","CIMAP2"
"2625","CIMIP1","CIMIP1"
"2626","CIMIP2A","CIMIP2A"
"2627","CIMIP2B","CIMIP2B"
"2628","CIMIP2C","CIMIP2C"
"2629","CIMIP3","CIMIP3"
"2630","CIMIP4","CIMIP4"
"2631","CINP","CINP"
"2632","CIP2A","CIP2A"
"2633","CIPC","CIPC"
"2634","CIR1","CIR1"
"2635","CIRBP","CIRBP"
"2636","CISD2","CISD2"
"2637","CISD3","CISD3"
"2638","CISH","CISH"
"2639","CIT","CIT"
"2640","CITED1","CITED1"
"2641","CITED2","CITED2"
"2642","CIZ1","CIZ1"
"2643","CKAP2","CKAP2"
"2644","CKAP2L","CKAP2L"
"2645","CKAP4","CKAP4"
"2646","CKAP5","CKAP5"
"2647","CKB","CKB"
"2648","CKLF","CKLF"
"2649","CKM","CKM"
"2650","CKMT2","CKMT2"
"2651","CKS1B","CKS1B"
"2652","CLASP1","CLASP1"
"2653","CLASP2","CLASP2"
"2654","CLASRP","CLASRP"
"2655","CLBA1","CLBA1"
"2656","CLCA1","CLCA1"
"2657","CLCA2","CLCA2"
"2658","CLCC1","CLCC1"
"2659","CLCF1","CLCF1"
"2660","CLCN1","CLCN1"
"2661","CLCN2","CLCN2"
"2662","CLCN3","CLCN3"
"2663","CLCN4","CLCN4"
"2664","CLCN5","CLCN5"
"2665","CLCN6","CLCN6"
"2666","CLCN7","CLCN7"
"2667","CLDN1","CLDN1"
"2668","CLDN10","CLDN10"
"2669","CLDN11","CLDN11"
"2670","CLDN14","CLDN14"
"2671","CLDN15","CLDN15"
"2672","CLDN16","CLDN16"
"2673","CLDN17","CLDN17"
"2674","CLDN18","CLDN18"
"2675","CLDN19","CLDN19"
"2676","CLDN2","CLDN2"
"2677","CLDN20","CLDN20"
"2678","CLDN23","CLDN23"
"2679","CLDN25","CLDN25"
"2680","CLDN4","CLDN4"
"2681","CLDN5","CLDN5"
"2682","CLDN6","CLDN6"
"2683","CLDN7","CLDN7"
"2684","CLDN8","CLDN8"
"2685","CLDN9","CLDN9"
"2686","CLDND1","CLDND1"
"2687","CLDND2","CLDND2"
"2688","CLEC10A","CLEC10A"
"2689","CLEC11A","CLEC11A"
"2690","CLEC12A","CLEC12A"
"2691","CLEC12B","CLEC12B"
"2692","CLEC14A","CLEC14A"
"2693","CLEC16A","CLEC16A"
"2694","CLEC17A","CLEC17A"
"2695","CLEC1A","CLEC1A"
"2696","CLEC1B","CLEC1B"
"2697","CLEC2B","CLEC2B"
"2698","CLEC2L","CLEC2L"
"2699","CLEC3A","CLEC3A"
"2700","CLEC3B","CLEC3B"
"2701","CLEC4F","CLEC4F"
"2702","CLEC4G","CLEC4G"
"2703","CLEC5A","CLEC5A"
"2704","CLEC7A","CLEC7A"
"2705","CLGN","CLGN"
"2706","CLHC1","CLHC1"
"2707","CLIC2","CLIC2"
"2708","CLIC3","CLIC3"
"2709","CLIC4","CLIC4"
"2710","CLIC5","CLIC5"
"2711","CLIC6","CLIC6"
"2712","CLINT1","CLINT1"
"2713","CLIP1","CLIP1"
"2714","CLIP3","CLIP3"
"2715","CLIP4","CLIP4"
"2716","CLK1","CLK1"
"2717","CLK2","CLK2"
"2718","CLK3","CLK3"
"2719","CLK4","CLK4"
"2720","CLMN","CLMN"
"2721","CLMP","CLMP"
"2722","CLN3","CLN3"
"2723","CLN5","CLN5"
"2724","CLN6","CLN6"
"2725","CLN8","CLN8"
"2726","CLNK","CLNK"
"2727","CLNS1A","CLNS1A"
"2728","CLOCK","CLOCK"
"2729","CLP1","CLP1"
"2730","CLPB","CLPB"
"2731","CLPP","CLPP"
"2732","CLPS","CLPS"
"2733","CLPSL2","CLPSL2"
"2734","CLPTM1","CLPTM1"
"2735","CLPTM1L","CLPTM1L"
"2736","CLPX","CLPX"
"2737","CLRN1","CLRN1"
"2738","CLRN2","CLRN2"
"2739","CLRN3","CLRN3"
"2740","CLSPN","CLSPN"
"2741","CLSTN1","CLSTN1"
"2742","CLSTN2","CLSTN2"
"2743","CLSTN3","CLSTN3"
"2744","CLTA","CLTA"
"2745","CLTB","CLTB"
"2746","CLTC","CLTC"
"2747","CLTRN","CLTRN"
"2748","CLU","CLU"
"2749","CLUAP1","CLUAP1"
"2750","CLUH","CLUH"
"2751","CLUL1","CLUL1"
"2752","CLVS1","CLVS1"
"2753","CLVS2","CLVS2"
"2754","CLXN","CLXN"
"2755","CLYBL","CLYBL"
"2756","CMAS","CMAS"
"2757","CMBL","CMBL"
"2758","CMC1","CMC1"
"2759","CMC4","CMC4"
"2760","CMIP","CMIP"
"2761","CMKLR1","CMKLR1"
"2762","CMKLR2","CMKLR2"
"2763","CMPK1","CMPK1"
"2764","CMPK2","CMPK2"
"2765","CMSS1","CMSS1"
"2766","CMTM2","CMTM2"
"2767","CMTM4","CMTM4"
"2768","CMTM5","CMTM5"
"2769","CMTM7","CMTM7"
"2770","CMTM8","CMTM8"
"2771","CMTR1","CMTR1"
"2772","CMTR2","CMTR2"
"2773","CMYA5","CMYA5"
"2774","CNBD1","CNBD1"
"2775","CNBD2","CNBD2"
"2776","CNDP1","CNDP1"
"2777","CNDP2","CNDP2"
"2778","CNEP1R1","CNEP1R1"
"2779","CNFN","CNFN"
"2780","CNGA1","CNGA1"
"2781","CNGA2","CNGA2"
"2782","CNGA3","CNGA3"
"2783","CNGA4","CNGA4"
"2784","CNGB3","CNGB3"
"2785","CNIH1","CNIH1"
"2786","CNIH3","CNIH3"
"2787","CNIH4","CNIH4"
"2788","CNKSR1","CNKSR1"
"2789","CNKSR2","CNKSR2"
"2790","CNKSR3","CNKSR3"
"2791","CNMD","CNMD"
"2792","CNN1","CNN1"
"2793","CNN3","CNN3"
"2794","CNNM1","CNNM1"
"2795","CNNM2","CNNM2"
"2796","CNNM3","CNNM3"
"2797","CNNM4","CNNM4"
"2798","CNOT1","CNOT1"
"2799","CNOT10","CNOT10"
"2800","CNOT11","CNOT11"
"2801","CNOT2","CNOT2"
"2802","CNOT3","CNOT3"
"2803","CNOT4","CNOT4"
"2804","CNOT6","CNOT6"
"2805","CNOT6L","CNOT6L"
"2806","CNOT7","CNOT7"
"2807","CNOT8","CNOT8"
"2808","CNOT9","CNOT9"
"2809","CNP","CNP"
"2810","CNPPD1","CNPPD1"
"2811","CNPY2","CNPY2"
"2812","CNPY3","CNPY3"
"2813","CNPY4","CNPY4"
"2814","CNR1","CNR1"
"2815","CNR2","CNR2"
"2816","CNRIP1","CNRIP1"
"2817","CNST","CNST"
"2818","CNTD1","CNTD1"
"2819","CNTF","CNTF"
"2820","CNTFR","CNTFR"
"2821","CNTLN","CNTLN"
"2822","CNTN1","CNTN1"
"2823","CNTN2","CNTN2"
"2824","CNTN3","CNTN3"
"2825","CNTN4","CNTN4"
"2826","CNTN5","CNTN5"
"2827","CNTN6","CNTN6"
"2828","CNTNAP1","CNTNAP1"
"2829","CNTNAP4","CNTNAP4"
"2830","CNTNAP5","CNTNAP5"
"2831","CNTROB","CNTROB"
"2832","COA3","COA3"
"2833","COA4","COA4"
"2834","COA5","COA5"
"2835","COA7","COA7"
"2836","COA8","COA8"
"2837","COASY","COASY"
"2838","COBLL1","COBLL1"
"2839","COCH","COCH"
"2840","COG1","COG1"
"2841","COG2","COG2"
"2842","COG3","COG3"
"2843","COG4","COG4"
"2844","COG5","COG5"
"2845","COG6","COG6"
"2846","COG7","COG7"
"2847","COG8","COG8"
"2848","COIL","COIL"
"2849","COL10A1","COL10A1"
"2850","COL11A1","COL11A1"
"2851","COL11A2","COL11A2"
"2852","COL12A1","COL12A1"
"2853","COL13A1","COL13A1"
"2854","COL14A1","COL14A1"
"2855","COL15A1","COL15A1"
"2856","COL16A1","COL16A1"
"2857","COL17A1","COL17A1"
"2858","COL18A1","COL18A1"
"2859","COL19A1","COL19A1"
"2860","COL1A1","COL1A1"
"2861","COL1A2","COL1A2"
"2862","COL21A1","COL21A1"
"2863","COL22A1","COL22A1"
"2864","COL23A1","COL23A1"
"2865","COL24A1","COL24A1"
"2866","COL25A1","COL25A1"
"2867","COL26A1","COL26A1"
"2868","COL27A1","COL27A1"
"2869","COL28A1","COL28A1"
"2870","COL2A1","COL2A1"
"2871","COL3A1","COL3A1"
"2872","COL4A1","COL4A1"
"2873","COL4A2","COL4A2"
"2874","COL4A3","COL4A3"
"2875","COL4A4","COL4A4"
"2876","COL4A5","COL4A5"
"2877","COL4A6","COL4A6"
"2878","COL5A1","COL5A1"
"2879","COL5A2","COL5A2"
"2880","COL5A3","COL5A3"
"2881","COL6A1","COL6A1"
"2882","COL6A2","COL6A2"
"2883","COL6A3","COL6A3"
"2884","COL6A5","COL6A5"
"2885","COL6A6","COL6A6"
"2886","COL8A1","COL8A1"
"2887","COL8A2","COL8A2"
"2888","COL9A1","COL9A1"
"2889","COL9A3","COL9A3"
"2890","COLEC10","COLEC10"
"2891","COLEC11","COLEC11"
"2892","COLEC12","COLEC12"
"2893","COLGALT1","COLGALT1"
"2894","COLGALT2","COLGALT2"
"2895","COLQ","COLQ"
"2896","COMMD1","COMMD1"
"2897","COMMD10","COMMD10"
"2898","COMMD2","COMMD2"
"2899","COMMD3","COMMD3"
"2900","COMMD4","COMMD4"
"2901","COMMD5","COMMD5"
"2902","COMMD7","COMMD7"
"2903","COMMD8","COMMD8"
"2904","COMMD9","COMMD9"
"2905","COMP","COMP"
"2906","COMT","COMT"
"2907","COMTD1","COMTD1"
"2908","COP1","COP1"
"2909","COPA","COPA"
"2910","COPB1","COPB1"
"2911","COPB2","COPB2"
"2912","COPE","COPE"
"2913","COPG1","COPG1"
"2914","COPG2","COPG2"
"2915","COPRS","COPRS"
"2916","COPS2","COPS2"
"2917","COPS3","COPS3"
"2918","COPS4","COPS4"
"2919","COPS5","COPS5"
"2920","COPS6","COPS6"
"2921","COPS7A","COPS7A"
"2922","COPS7B","COPS7B"
"2923","COPS8","COPS8"
"2924","COPS9","COPS9"
"2925","COPZ1","COPZ1"
"2926","COPZ2","COPZ2"
"2927","COQ10A","COQ10A"
"2928","COQ10B","COQ10B"
"2929","COQ2","COQ2"
"2930","COQ3","COQ3"
"2931","COQ4","COQ4"
"2932","COQ5","COQ5"
"2933","COQ6","COQ6"
"2934","COQ7","COQ7"
"2935","COQ8A","COQ8A"
"2936","COQ8B","COQ8B"
"2937","COQ9","COQ9"
"2938","CORIN","CORIN"
"2939","CORO1A","CORO1A"
"2940","CORO1B","CORO1B"
"2941","CORO1C","CORO1C"
"2942","CORO2A","CORO2A"
"2943","CORO2B","CORO2B"
"2944","CORO6","CORO6"
"2945","CORO7","CORO7"
"2946","CORT","CORT"
"2947","COTL1","COTL1"
"2948","MT-CO1","COX1"
"2949","COX10","COX10"
"2950","COX11","COX11"
"2951","COX14","COX14"
"2952","COX15","COX15"
"2953","COX16","COX16"
"2954","COX17","COX17"
"2955","COX18","COX18"
"2956","COX19","COX19"
"2957","MT-CO2","COX2"
"2958","MT-CO3","COX3"
"2959","COX4I1","COX4I1"
"2960","COX4I2","COX4I2"
"2961","COX5A","COX5A"
"2962","COX5B","COX5B"
"2963","COX6A1","COX6A1"
"2964","COX6A2","COX6A2"
"2965","COX6B1","COX6B1"
"2966","COX6B2","COX6B2"
"2967","COX6C","COX6C"
"2968","COX7A1","COX7A1"
"2969","COX7A2","COX7A2"
"2970","COX7A2L","COX7A2L"
"2971","COX7B2","COX7B2"
"2972","COX7C","COX7C"
"2973","COX8A","COX8A"
"2974","CP","CP"
"2975","CPA1","CPA1"
"2976","CPA2","CPA2"
"2977","CPA4","CPA4"
"2978","CPA5","CPA5"
"2979","CPA6","CPA6"
"2980","CPAMD8","CPAMD8"
"2981","CPB1","CPB1"
"2982","CPB2","CPB2"
"2983","CPD","CPD"
"2984","CPE","CPE"
"2985","CPEB1","CPEB1"
"2986","CPEB2","CPEB2"
"2987","CPEB3","CPEB3"
"2988","CPEB4","CPEB4"
"2989","CPED1","CPED1"
"2990","CPLANE1","CPLANE1"
"2991","CPLANE2","CPLANE2"
"2992","CPLX1","CPLX1"
"2993","CPLX2","CPLX2"
"2994","CPLX3","CPLX3"
"2995","CPLX4","CPLX4"
"2996","CPM","CPM"
"2997","CPN1","CPN1"
"2998","CPN2","CPN2"
"2999","CPNE1","CPNE1"
"3000","CPNE2","CPNE2"
"3001","CPNE3","CPNE3"
"3002","CPNE4","CPNE4"
"3003","CPNE5","CPNE5"
"3004","CPNE6","CPNE6"
"3005","CPNE8","CPNE8"
"3006","CPNE9","CPNE9"
"3007","CPO","CPO"
"3008","CPOX","CPOX"
"3009","CPPED1","CPPED1"
"3010","CPQ","CPQ"
"3011","CPS1","CPS1"
"3012","CPSF2","CPSF2"
"3013","CPSF3","CPSF3"
"3014","CPSF4","CPSF4"
