"","human_gene","dog_gene"
"4349","FAM89A","FAM89A"
"4350","FAM89B","FAM89B"
"4351","FAM8A1","FAM8A1"
"4352","FAM91A1","FAM91A1"
"4353","FAM98A","FAM98A"
"4354","FAM98B","FAM98B"
"4355","FAN1","FAN1"
"4356","FANCA","FANCA"
"4357","FANCB","FANCB"
"4358","FANCC","FANCC"
"4359","FANCD2","FANCD2"
"4360","FANCD2OS","FANCD2OS"
"4361","FANCE","FANCE"
"4362","FANCG","FANCG"
"4363","FANCI","FANCI"
"4364","FANCL","FANCL"
"4365","FANCM","FANCM"
"4366","FAP","FAP"
"4367","FAR1","FAR1"
"4368","FAR2","FAR2"
"4369","FARP1","FARP1"
"4370","FARP2","FARP2"
"4371","FARS2","FARS2"
"4372","FARSA","FARSA"
"4373","FASLG","FASLG"
"4374","FASN","FASN"
"4375","FASTK","FASTK"
"4376","FASTKD1","FASTKD1"
"4377","FASTKD2","FASTKD2"
"4378","FASTKD3","FASTKD3"
"4379","FAT1","FAT1"
"4380","FAT2","FAT2"
"4381","FAT4","FAT4"
"4382","FATE1","FATE1"
"4383","FAU","FAU"
"4384","FAXC","FAXC"
"4385","FAXDC2","FAXDC2"
"4386","FBF1","FBF1"
"4387","FBH1","FBH1"
"4388","FBL","FBL"
"4389","FBLIM1","FBLIM1"
"4390","FBLL1","FBLL1"
"4391","FBLN1","FBLN1"
"4392","FBLN2","FBLN2"
"4393","FBLN5","FBLN5"
"4394","FBLN7","FBLN7"
"4395","FBN1","FBN1"
"4396","FBN2","FBN2"
"4397","FBN3","FBN3"
"4398","FBP1","FBP1"
"4399","FBP2","FBP2"
"4400","FBRS","FBRS"
"4401","FBRSL1","FBRSL1"
"4402","FBXL12","FBXL12"
"4403","FBXL13","FBXL13"
"4404","FBXL14","FBXL14"
"4405","FBXL15","FBXL15"
"4406","FBXL16","FBXL16"
"4407","FBXL17","FBXL17"
"4408","FBXL18","FBXL18"
"4409","FBXL19","FBXL19"
"4410","FBXL2","FBXL2"
"4411","FBXL20","FBXL20"
"4412","FBXL22","FBXL22"
"4413","FBXL3","FBXL3"
"4414","FBXL4","FBXL4"
"4415","FBXL5","FBXL5"
"4416","FBXL7","FBXL7"
"4417","FBXL8","FBXL8"
"4418","FBXO10","FBXO10"
"4419","FBXO11","FBXO11"
"4420","FBXO15","FBXO15"
"4421","FBXO16","FBXO16"
"4422","FBXO17","FBXO17"
"4423","FBXO2","FBXO2"
"4424","FBXO21","FBXO21"
"4425","FBXO22","FBXO22"
"4426","FBXO24","FBXO24"
"4427","FBXO25","FBXO25"
"4428","FBXO27","FBXO27"
"4429","FBXO28","FBXO28"
"4430","FBXO3","FBXO3"
"4431","FBXO32","FBXO32"
"4432","FBXO33","FBXO33"
"4433","FBXO34","FBXO34"
"4434","FBXO36","FBXO36"
"4435","FBXO38","FBXO38"
"4436","FBXO39","FBXO39"
"4437","FBXO4","FBXO4"
"4438","FBXO40","FBXO40"
"4439","FBXO41","FBXO41"
"4440","FBXO42","FBXO42"
"4441","FBXO43","FBXO43"
"4442","FBXO45","FBXO45"
"4443","FBXO46","FBXO46"
"4444","FBXO47","FBXO47"
"4445","FBXO48","FBXO48"
"4446","FBXO5","FBXO5"
"4447","FBXO44","FBXO6"
"4448","FBXO7","FBXO7"
"4449","FBXO8","FBXO8"
"4450","FBXO9","FBXO9"
"4451","FBXW11","FBXW11"
"4452","FBXW12","FBXW12"
"4453","FBXW2","FBXW2"
"4454","FBXW4","FBXW4"
"4455","FBXW5","FBXW5"
"4456","FBXW7","FBXW7"
"4457","FBXW8","FBXW8"
"4458","FBXW9","FBXW9"
"4459","FCAMR","FCAMR"
"4460","FCER1A","FCER1A"
"4461","FCER1G","FCER1G"
"4462","FCER2","FCER2"
"4463","FCGR1A","FCGR1A"
"4464","FCGRT","FCGRT"
"4465","FCHO1","FCHO1"
"4466","FCHO2","FCHO2"
"4467","FCHSD1","FCHSD1"
"4468","FCHSD2","FCHSD2"
"4469","FCN1","FCN2"
"4470","FCRL1","FCRL1"
"4471","FCRL2","FCRL2"
"4472","FCRL4","FCRL4"
"4473","FCRL6","FCRL6"
"4474","FCRLA","FCRLA"
"4475","FCRLB","FCRLB"
"4476","FCSK","FCSK"
"4477","FDCSP","FDCSP"
"4478","FDFT1","FDFT1"
"4479","FDPS","FDPS"
"4480","FDX1","FDX1"
"4481","FDX2","FDX2"
"4482","FDXR","FDXR"
"4483","FECH","FECH"
"4484","FEM1A","FEM1A"
"4485","FEM1B","FEM1B"
"4486","FEM1C","FEM1C"
"4487","FEN1","FEN1"
"4488","FER","FER"
"4489","FER1L5","FER1L5"
"4490","FER1L6","FER1L6"
"4491","FERD3L","FERD3L"
"4492","FERMT1","FERMT1"
"4493","FERMT2","FERMT2"
"4494","FERMT3","FERMT3"
"4495","FES","FES"
"4496","FETUB","FETUB"
"4497","FEV","FEV"
"4498","FEZ1","FEZ1"
"4499","FEZ2","FEZ2"
"4500","FEZF2","FEZF2"
"4501","FFAR1","FFAR1"
"4502","FFAR2","FFAR2"
"4503","FFAR4","FFAR4"
"4504","FGB","FGB"
"4505","FGD1","FGD1"
"4506","FGD2","FGD2"
"4507","FGD3","FGD3"
"4508","BICD1","FGD4"
"4509","FGD5","FGD5"
"4510","FGD6","FGD6"
"4511","FGF1","FGF1"
"4512","FGF10","FGF10"
"4513","FGF11","FGF11"
"4514","FGF12","FGF12"
"4515","FGF14","FGF14"
"4516","FGF16","FGF16"
"4517","FGF17","FGF17"
"4518","FGF18","FGF18"
"4519","FGF19","FGF19"
"4520","FGF20","FGF20"
"4521","FGF21","FGF21"
"4522","FGF22","FGF22"
"4523","FGF23","FGF23"
"4524","FGF3","FGF3"
"4525","FGF4","FGF4"
"4526","FGF5","FGF5"
"4527","FGF6","FGF6"
"4528","GALK2","FGF7"
"4529","FGF8","FGF8"
"4530","FGF9","FGF9"
"4531","FGFBP1","FGFBP1"
"4532","FGFBP3","FGFBP3"
"4533","FGFR1","FGFR1"
"4534","FGFR1OP2","FGFR1OP2"
"4535","FGFR2","FGFR2"
"4536","FGFR3","FGFR3"
"4537","FGFR4","FGFR4"
"4538","FGFRL1","FGFRL1"
"4539","FGG","FGG"
"4540","FGGY","FGGY"
"4541","FGL1","FGL1"
"4542","FGR","FGR"
"4543","FH","FH"
"4544","FHAD1","FHAD1"
"4545","FHDC1","FHDC1"
"4546","FHIP2A","FHIP2A"
"4547","FHIP2B","FHIP2B"
"4548","FHIT","FHIT"
"4549","FHL1","FHL1"
"4550","FHL2","FHL2"
"4551","FHL3","FHL3"
"4552","FHL5","FHL5"
"4553","FHOD1","FHOD1"
"4554","FIBCD1","FIBCD1"
"4555","FIBIN","FIBIN"
"4556","FIBP","FIBP"
"4557","FICD","FICD"
"4558","FIG4","FIG4"
"4559","FIGLA","FIGLA"
"4560","FIGN","FIGN"
"4561","FIGNL1","FIGNL1"
"4562","FILIP1","FILIP1"
"4563","FILIP1L","FILIP1L"
"4564","FIP1L1","FIP1L1"
"4565","FIS1","FIS1"
"4566","FITM1","FITM1"
"4567","FITM2","FITM2"
"4568","FIZ1","FIZ1"
"4569","FJX1","FJX1"
"4570","FKBP10","FKBP10"
"4571","FKBP11","FKBP11"
"4572","FKBP15","FKBP15"
"4573","FKBP1A","FKBP1A"
"4574","FKBP1B","FKBP1B"
"4575","FKBP2","FKBP2"
"4576","FKBP3","FKBP3"
"4577","FKBP4","FKBP4"
"4578","FKBP6","FKBP6"
"4579","FKBP7","FKBP7"
"4580","FKBP8","FKBP8"
"4581","FKBP9","FKBP9"
"4582","FKBPL","FKBPL"
"4583","FKRP","FKRP"
"4584","FKTN","FKTN"
"4585","FLACC1","FLACC1"
"4586","FLAD1","FLAD1"
"4587","FLCN","FLCN"
"4588","FLI1","FLI1"
"4589","FLII","FLII"
"4590","FLNA","FLNA"
"4591","FLNB","FLNB"
"4592","FLNC","FLNC"
"4593","FLOT1","FLOT1"
"4594","FLOT2","FLOT2"
"4595","FLRT1","FLRT1"
"4596","FLRT2","FLRT2"
"4597","FLRT3","FLRT3"
"4598","FLT1","FLT1"
"4599","FLT3","FLT3"
"4600","FLT3LG","FLT3LG"
"4601","FLVCR1","FLVCR1"
"4602","FLVCR2","FLVCR2"
"4603","FMC1","FMC1"
"4604","FMN1","FMN1"
"4605","FMNL1","FMNL1"
"4606","FMNL2","FMNL2"
"4607","FMNL3","FMNL3"
"4608","FMO1","FMO1"
"4609","FMO2","FMO2"
"4610","FMO3","FMO3"
"4611","FMO4","FMO4"
"4612","FMO5","FMO5"
"4613","FMOD","FMOD"
"4614","FMR1","FMR1"
"4615","FN1","FN1"
"4616","FN3K","FN3K"
"4617","FN3KRP","FN3KRP"
"4618","FNBP1","FNBP1"
"4619","FNBP1L","FNBP1L"
"4620","FNBP4","FNBP4"
"4621","FNDC1","FNDC1"
"4622","FNDC11","FNDC11"
"4623","FNDC3A","FNDC3A"
"4624","FNDC3B","FNDC3B"
"4625","FNDC4","FNDC4"
"4626","FNDC5","FNDC5"
"4627","FNDC7","FNDC7"
"4628","FNDC8","FNDC8"
"4629","FNDC9","FNDC9"
"4630","FNIP1","FNIP1"
"4631","FNIP2","FNIP2"
"4632","HOOK3","FNTA"
"4633","FNTB","FNTB"
"4634","FOCAD","FOCAD"
"4635","FOLH1","FOLH1B"
"4636","FOLR1","FOLR1"
"4637","CEP20","FOPNL"
"4638","FOS","FOS"
"4639","FOSB","FOSB"
"4640","FOSL1","FOSL1"
"4641","FOSL2","FOSL2"
"4642","FOXA1","FOXA1"
"4643","FOXA2","FOXA2"
"4644","FOXA3","FOXA3"
"4645","FOXB1","FOXB1"
"4646","FOXB2","FOXB2"
"4647","FOXC1","FOXC1"
"4648","FOXC2","FOXC2"
"4649","FOXD2","FOXD2"
"4650","FOXD3","FOXD3"
"4651","FOXE1","FOXE1"
"4652","FOXE3","FOXE3"
"4653","FOXF1","FOXF1"
"4654","FOXF2","FOXF2"
"4655","FOXH1","FOXH1"
"4656","FOXI1","FOXI1"
"4657","FOXI2","FOXI2"
"4658","FOXI3","FOXI3"
"4659","FOXJ1","FOXJ1"
"4660","FOXJ2","FOXJ2"
"4661","FOXJ3","FOXJ3"
"4662","FOXK1","FOXK1"
"4663","FOXK2","FOXK2"
"4664","FOXL1","FOXL1"
"4665","FOXL3","FOXL3"
"4666","FOXM1","FOXM1"
"4667","FOXN1","FOXN1"
"4668","FOXN2","FOXN2"
"4669","FOXN4","FOXN4"
"4670","FOXO1","FOXO1"
"4671","FOXO3","FOXO3"
"4672","FOXO4","FOXO4"
"4673","FOXO6","FOXO6"
"4674","FOXP1","FOXP1"
"4675","FOXP2","FOXP2"
"4676","FOXP3","FOXP3"
"4677","FOXP4","FOXP4"
"4678","FOXR1","FOXR1"
"4679","FOXR2","FOXR2"
"4680","FOXRED1","FOXRED1"
"4681","FOXRED2","FOXRED2"
"4682","FOXS1","FOXS1"
"4683","FPGS","FPGS"
"4684","FPGT","FPGT"
"4685","FPR2","FPR2"
"4686","FRA10AC1","FRA10AC1"
"4687","FRAS1","FRAS1"
"4688","FREM1","FREM1"
"4689","FREM2","FREM2"
"4690","FRG1","FRG1"
"4691","FRK","FRK"
"4692","FRMD1","FRMD1"
"4693","FRMD3","FRMD3"
"4694","FRMD4A","FRMD4A"
"4695","FRMD4B","FRMD4B"
"4696","FRMD5","FRMD5"
"4697","FRMD6","FRMD6"
"4698","FRMD7","FRMD7"
"4699","FRMD8","FRMD8"
"4700","FRMPD1","FRMPD1"
"4701","FRMPD3","FRMPD3"
"4702","FRMPD4","FRMPD4"
"4703","FRRS1","FRRS1"
"4704","FRRS1L","FRRS1L"
"4705","FRS2","FRS2"
"4706","FRS3","FRS3"
"4707","FRY","FRY"
"4708","FRYL","FRYL"
"4709","FRZB","FRZB"
"4710","FSCN2","FSCN2"
"4711","FSCN3","FSCN3"
"4712","FSD1","FSD1"
"4713","FSD1L","FSD1L"
"4714","FSD2","FSD2"
"4715","FSHB","FSHB"
"4716","FSHR","FSHR"
"4717","FSIP1","FSIP1"
"4718","FSIP2","FSIP2"
"4719","FST","FST"
"4720","FSTL1","FSTL1"
"4721","FSTL3","FSTL3"
"4722","FSTL4","FSTL4"
"4723","FSTL5","FSTL5"
"4724","FTCD","FTCD"
"4725","FTO","FTO"
"4726","FTSJ1","FTSJ1"
"4727","FTSJ3","FTSJ3"
"4728","FUBP3","FUBP3"
"4729","FUCA1","FUCA1"
"4730","FUCA2","FUCA2"
"4731","FUNDC1","FUNDC1"
"4732","BRCC3","FUNDC2"
"4733","FURIN","FURIN"
"4734","FUS","FUS"
"4735","FUT10","FUT10"
"4736","FUT11","FUT11"
"4737","FUT2","FUT2"
"4738","FUT4","FUT4"
"4739","FUT6","FUT5"
"4740","FUT7","FUT7"
"4741","FUT8","FUT8"
"4742","FUT9","FUT9"
"4743","FUZ","FUZ"
"4744","FXN","FXN"
"4745","FXR1","FXR1"
"4746","FXR2","FXR2"
"4747","FXYD1","FXYD1"
"4748","FXYD2","FXYD2"
"4749","FXYD3","FXYD3"
"4750","FXYD4","FXYD4"
"4751","FXYD6","FXYD6"
"4752","FXYD7","FXYD7"
"4753","FYB1","FYB1"
"4754","FYCO1","FYCO1"
"4755","FYTTD1","FYTTD1"
"4756","FZD1","FZD1"
"4757","FZD10","FZD10"
"4758","FZD2","FZD2"
"4759","FZD3","FZD3"
"4760","FZD4","FZD4"
"4761","FZD5","FZD5"
"4762","FZD6","FZD6"
"4763","FZD7","FZD7"
"4764","FZD8","FZD8"
"4765","FZD9","FZD9"
"4766","FZR1","FZR1"
"4767","G0S2","G0S2"
"4768","G3BP1","G3BP1"
"4769","G3BP2","G3BP2"
"4770","G6PC1","G6PC1"
"4771","G6PC2","G6PC2"
"4772","G6PC3","G6PC3"
"4773","G6PD","G6PD"
"4774","GAA","GAA"
"4775","GAB1","GAB1"
"4776","GAB2","GAB2"
"4777","GABARAP","GABARAP"
"4778","GABARAPL1","GABARAPL1"
"4779","GABARAPL2","GABARAPL2"
"4780","GABBR1","GABBR1"
"4781","GABBR2","GABBR2"
"4782","GABPA","GABPA"
"4783","GABPB1","GABPB1"
"4784","GABPB2","GABPB2"
"4785","GABRA1","GABRA1"
"4786","GABRA2","GABRA2"
"4787","GABRA3","GABRA3"
"4788","GABRA4","GABRA4"
"4789","GABRA5","GABRA5"
"4790","GABRA6","GABRA6"
"4791","GABRB2","GABRB2"
"4792","GABRB3","GABRB3"
"4793","GABRD","GABRD"
"4794","GABRE","GABRE"
"4795","GABRG1","GABRG1"
"4796","GABRG2","GABRG2"
"4797","GABRG3","GABRG3"
"4798","GABRP","GABRP"
"4799","GABRR2","GABRR1"
"4800","GAD1","GAD1"
"4801","GAD2","GAD2"
"4802","GADD45A","GADD45A"
"4803","GADD45B","GADD45B"
"4804","GADD45G","GADD45G"
"4805","GADD45GIP1","GADD45GIP1"
"4806","GADL1","GADL1"
"4807","GAK","GAK"
"4808","GAL","GAL"
"4809","SEC14L4","GAL3ST1"
"4810","GAL3ST3","GAL3ST3"
"4811","GAL3ST4","GAL3ST4"
"4812","GALC","GALC"
"4813","GALE","GALE"
"4814","GALK1","GALK1"
"4815","GALM","GALM"
"4816","GALNS","GALNS"
"4817","GALNT1","GALNT1"
"4818","GALNT10","GALNT10"
"4819","GALNT11","GALNT11"
"4820","GALNT12","GALNT12"
"4821","GALNT13","GALNT13"
"4822","GALNT14","GALNT14"
"4823","GALNT15","GALNT15"
"4824","GALNT16","GALNT16"
"4825","GALNT17","GALNT17"
"4826","GALNT18","GALNT18"
"4827","GALNT2","GALNT2"
"4828","GALNT3","GALNT3"
"4829","GALNT5","GALNT5"
"4830","GALNT6","GALNT6"
"4831","GALNT7","GALNT7"
"4832","GALNT8","GALNT8"
"4833","GALNT9","GALNT9"
"4834","GALNTL5","GALNTL5"
"4835","GALNTL6","GALNTL6"
"4836","GALP","GALP"
"4837","GALR1","GALR1"
"4838","GALR2","GALR2"
"4839","GALR3","GALR3"
"4840","GALT","GALT"
"4841","GAMT","GAMT"
"4842","GAN","GAN"
"4843","GANAB","GANAB"
"4844","GANC","GANC"
"4845","GAP43","GAP43"
"4846","GAPDHS","GAPDHS"
"4847","GAPVD1","GAPVD1"
"4848","RRH","GAR1"
"4849","GAREM1","GAREM1"
"4850","GAREM2","GAREM2"
"4851","GARIN1A","GARIN1A"
"4852","GARIN2","GARIN2"
"4853","GARIN3","GARIN3"
"4854","GARIN4","GARIN4"
"4855","GARIN5A","GARIN5A"
"4856","GARIN6","GARIN6"
"4857","GARNL3","GARNL3"
"4858","GARRE1","GARRE1"
"4859","GARS1","GARS1"
"4860","GART","GART"
"4861","GAS1","GAS1"
"4862","GAS2","GAS2"
"4863","GAS2L2","GAS2L2"
"4864","GAS2L3","GAS2L3"
"4865","GAS6","GAS6"
"4866","GAS7","GAS7"
"4867","GASK1A","GASK1A"
"4868","GASK1B","GASK1B"
"4869","GAST","GAST"
"4870","GATA1","GATA1"
"4871","GATA2","GATA2"
"4872","GATA3","GATA3"
"4873","GATA4","GATA4"
"4874","GATA5","GATA5"
"4875","GATA6","GATA6"
"4876","GATAD1","GATAD1"
"4877","GATAD2A","GATAD2A"
"4878","GATAD2B","GATAD2B"
"4879","GATB","GATB"
"4880","GATC","GATC"
"4881","GATD1","GATD1"
"4882","GATD3","GATD3"
"4883","GATM","GATM"
"4884","GBA1","GBA"
"4885","GBA2","GBA2"
"4886","GBA3","GBA3"
"4887","GBE1","GBE1"
"4888","GBF1","GBF1"
"4889","GBGT1","GBGT1"
"4890","GBP1","GBP1"
"4891","GBX1","GBX1"
"4892","GBX2","GBX2"
"4893","GC","GC"
"4894","GCA","GCA"
"4895","GCAT","GCAT"
"4896","GCC1","GCC1"
"4897","GCDH","GCDH"
"4898","GCFC2","GCFC2"
"4899","GCG","GCG"
"4900","GCH1","GCH1"
"4901","GCHFR","GCHFR"
"4902","GCK","GCK"
"4903","GCKR","GCKR"
"4904","GCLC","GCLC"
"4905","GCLM","GCLM"
"4906","GCM1","GCM1"
"4907","GCM2","GCM2"
"4908","GCN1","GCN1"
"4909","GCNT1","GCNT1"
"4910","GCNT2","GCNT2"
"4911","GCNT7","GCNT7"
"4912","GCSAM","GCSAM"
"4913","GCSAML","GCSAML"
"4914","GDA","GDA"
"4915","GDAP1","GDAP1"
"4916","GDAP1L1","GDAP1L1"
"4917","GDAP2","GDAP2"
"4918","GDE1","GDE1"
"4919","GDF1","GDF1"
"4920","GDF10","GDF10"
"4921","GDF11","GDF11"
"4922","GDF15","GDF15"
"4923","GDF2","GDF2"
"4924","GDF3","GDF3"
"4925","GDF5","GDF5"
"4926","GDF7","GDF7"
"4927","GDF9","GDF9"
"4928","GDI1","GDI1"
"4929","GDI2","GDI2"
"4930","GDNF","GDNF"
"4931","GDPD1","GDPD1"
"4932","GDPD2","GDPD2"
"4933","GDPD3","GDPD3"
"4934","GDPD4","GDPD4"
"4935","GDPD5","GDPD5"
"4936","GDPGP1","GDPGP1"
"4937","GEM","GEM"
"4938","GEMIN2","GEMIN2"
"4939","GEMIN4","GEMIN4"
"4940","GEMIN5","GEMIN5"
"4941","GEMIN6","GEMIN6"
"4942","GEMIN7","GEMIN7"
"4943","GEN1","GEN1"
"4944","GET1","GET1"
"4945","GET3","GET3"
"4946","GET4","GET4"
"4947","GFAP","GFAP"
"4948","GFER","GFER"
"4949","GFI1","GFI1"
"4950","GFI1B","GFI1B"
"4951","GFM1","GFM1"
"4952","GFM2","GFM2"
"4953","GFOD1","GFOD1"
"4954","GFOD2","GFOD2"
"4955","GFPT1","GFPT1"
"4956","GFPT2","GFPT2"
"4957","GFRA1","GFRA1"
"4958","GFRA2","GFRA2"
"4959","GFRA4","GFRA4"
"4960","GFRAL","GFRAL"
"4961","GFY","GFY"
"4962","GGA1","GGA1"
"4963","GGA2","GGA2"
"4964","GGA3","GGA3"
"4965","GGACT","GGACT"
"4966","GGCT","GGCT"
"4967","GGCX","GGCX"
"4968","GGH","GGH"
"4969","GGN","GGN"
"4970","GGNBP2","GGNBP2"
"4971","GGPS1","GGPS1"
"4972","GGTLC1","GGT1"
"4973","GGT6","GGT6"
"4974","GGT7","GGT7"
"4975","GH1","GH1"
"4976","GHDC","GHDC"
"4977","GHITM","GHITM"
"4978","GHR","GHR"
"4979","GHRH","GHRH"
"4980","GHRHR","GHRHR"
"4981","GHRL","GHRL"
"4982","GHSR","GHSR"
"4983","GID4","GID4"
"4984","GID8","GID8"
"4985","GIGYF1","GIGYF1"
"4986","GIGYF2","GIGYF2"
"4987","GIMAP2","GIMAP2"
"4988","GIMAP4","GIMAP4"
"4989","GIMAP5","GIMAP5"
"4990","GIMAP7","GIMAP7"
"4991","GIMAP8","GIMAP8"
"4992","GIMD1","GIMD1"
"4993","GIN1","GIN1"
"4994","GINM1","GINM1"
"4995","GINS1","GINS1"
"4996","GINS2","GINS2"
"4997","GINS3","GINS3"
"4998","GINS4","GINS4"
"4999","GIP","GIP"
"5000","GIPC1","GIPC1"
"5001","GIPC2","GIPC2"
"5002","GIPC3","GIPC3"
"5003","GIPR","GIPR"
"5004","GIT1","GIT1"
"5005","GIT2","GIT2"
"5006","GJA1","GJA1"
"5007","GJA10","GJA10"
"5008","GJA3","GJA3"
"5009","GJA4","GJA4"
"5010","GJA5","GJA5"
"5011","GJA8","GJA8"
"5012","GJA9","GJA9"
"5013","GJB1","GJB1"
"5014","GJB2","GJB2"
"5015","GJB3","GJB3"
"5016","GJB4","GJB4"
"5017","GJB5","GJB5"
"5018","GJB6","GJB6"
"5019","GJB7","GJB7"
"5020","GJC1","GJC1"
"5021","GJC2","GJC2"
"5022","GJD2","GJD2"
"5023","GJD4","GJD4"
"5024","GJE1","GJE1"
"5025","GK","GK"
"5026","GK2","GK2"
"5027","GK5","GK5"
"5028","GKAP1","GKAP1"
"5029","GKN1","GKN1"
"5030","GKN2","GKN2"
"5031","GLA","GLA"
"5032","GLB1","GLB1"
"5033","GLB1L","GLB1L"
"5034","GLB1L2","GLB1L2"
"5035","GLCCI1","GLCCI1"
"5036","GLCE","GLCE"
"5037","GLDC","GLDC"
"5038","GLDN","GLDN"
"5039","GLE1","GLE1"
"5040","GLG1","GLG1"
"5041","GLI1","GLI1"
"5042","GLI2","GLI2"
"5043","GLI3","GLI3"
"5044","GLIPR1L1","GLIPR1L1"
"5045","GLIPR1L2","GLIPR1L2"
"5046","GLIS1","GLIS1"
"5047","GLIS2","GLIS2"
"5048","GLIS3","GLIS3"
"5049","GLMN","GLMN"
"5050","GLMP","GLMP"
"5051","GLO1","GLO1"
"5052","GLOD4","GLOD4"
"5053","GLOD5","GLOD5"
"5054","GLP1R","GLP1R"
"5055","GLP2R","GLP2R"
"5056","GLRA1","GLRA1"
"5057","GLRA2","GLRA2"
"5058","GLRA3","GLRA3"
"5059","GLRB","GLRB"
"5060","GLRX","GLRX"
"5061","GLRX3","GLRX3"
"5062","GLRX5","GLRX5"
"5063","GLS","GLS"
"5064","GLS2","GLS2"
"5065","GLT1D1","GLT1D1"
"5066","GLT6D1","GLT6D1"
"5067","GLT8D1","GLT8D1"
"5068","GLT8D2","GLT8D2"
"5069","GLTP","GLTP"
"5070","GLTPD2","GLTPD2"
"5071","GLUL","GLUL"
"5072","GLYAT","GLYAT"
"5073","GLYATL3","GLYATL3"
"5074","GLYCTK","GLYCTK"
"5075","GLYR1","GLYR1"
"5076","GM2A","GM2A"
"5077","GMCL1","GMCL1"
"5078","GMEB1","GMEB1"
"5079","GMEB2","GMEB2"
"5080","CNIH1","GMFB"
"5081","GMFG","GMFG"
"5082","GMIP","GMIP"
"5083","GML","GML"
"5084","GMNC","GMNC"
"5085","GMNN","GMNN"
"5086","GMPPA","GMPPA"
"5087","GMPPB","GMPPB"
"5088","GMPR","GMPR"
"5089","GMPR2","GMPR2"
"5090","GMPS","GMPS"
"5091","GNA11","GNA11"
"5092","GNA12","GNA12"
"5093","GNA13","GNA13"
"5094","GNA14","GNA14"
"5095","GNA15","GNA15"
"5096","GNAI1","GNAI1"
"5097","GNAI2","GNAI2"
"5098","GNAI3","GNAI3"
"5099","GNAL","GNAL"
"5100","GNAQ","GNAQ"
"5101","GNAS","GNAS"
"5102","GNAT1","GNAT1"
"5103","GNAT2","GNAT2"
"5104","GNAT3","GNAT3"
"5105","GNAZ","GNAZ"
"5106","GNB1","GNB1"
"5107","GNB1L","GNB1L"
"5108","GNB2","GNB2"
"5109","GNB3","GNB3"
"5110","GNB4","GNB4"
"5111","GNB5","GNB5"
"5112","GNE","GNE"
"5113","GNG10","GNG10"
"5114","GNG13","GNG13"
"5115","GNG2","GNG2"
"5116","GNG3","GNG3"
"5117","GNG4","GNG4"
"5118","CTBS","GNG5"
"5119","GNG8","GNG8"
"5120","GNGT1","GNGT1"
"5121","GNL1","GNL1"
"5122","GNL2","GNL2"
"5123","GNL3","GNL3"
"5124","GNL3L","GNL3L"
"5125","GNMT","GNMT"
"5126","GNPAT","GNPAT"
"5127","GNPDA1","GNPDA1"
"5128","GNPDA2","GNPDA2"
"5129","GNPNAT1","GNPNAT1"
"5130","GNPTAB","GNPTAB"
"5131","GNRH1","GNRH1"
"5132","GNRHR","GNRHR"
"5133","GNS","GNS"
"5134","GOLGA1","GOLGA1"
"5135","GOLGA3","GOLGA3"
"5136","GOLGA4","GOLGA4"
"5137","GOLGA5","GOLGA5"
"5138","GOLGA7","GOLGA7"
"5139","GOLGA7B","GOLGA7B"
"5140","GOLGB1","GOLGB1"
"5141","GOLIM4","GOLIM4"
"5142","GOLM1","GOLM1"
"5143","GOLPH3L","GOLPH3L"
"5144","GOLT1A","GOLT1A"
"5145","GON7","GON7"
"5146","GOPC","GOPC"
"5147","GORAB","GORAB"
"5148","GORASP2","GORASP2"
"5149","GOSR1","GOSR1"
"5150","GOSR2","GOSR2"
"5151","GOT1","GOT1"
"5152","GOT2","GOT2"
"5153","GP2","GP2"
"5154","GP6","GP6"
"5155","GP9","GP9"
"5156","GPA33","GPA33"
"5157","GPAA1","GPAA1"
"5158","GPAM","GPAM"
"5159","GPANK1","GPANK1"
"5160","GPAT2","GPAT2"
"5161","GPAT3","GPAT3"
"5162","GPAT4","GPAT4"
"5163","GPATCH1","GPATCH1"
"5164","GPATCH11","GPATCH11"
"5165","GPATCH2","GPATCH2"
"5166","GPATCH2L","GPATCH2L"
"5167","GPATCH3","GPATCH3"
"5168","GPATCH8","GPATCH8"
"5169","GPBAR1","GPBAR1"
"5170","GPBP1","GPBP1"
"5171","GPBP1L1","GPBP1L1"
"5172","GPC1","GPC1"
"5173","GPC2","GPC2"
"5174","GPC3","GPC3"
"5175","GPC4","GPC4"
"5176","GPC6","GPC6"
"5177","GPCPD1","GPCPD1"
"5178","GPD1","GPD1"
"5179","GPD1L","GPD1L"
"5180","GPD2","GPD2"
"5181","GPER1","GPER1"
"5182","GPHB5","GPHB5"
"5183","GPHN","GPHN"
"5184","GPI","GPI"
"5185","GPIHBP1","GPIHBP1"
"5186","GPLD1","GPLD1"
"5187","GPM6A","GPM6A"
"5188","GPM6B","GPM6B"
"5189","GPN2","GPN2"
"5190","GPN3","GPN3"
"5191","CMKLR2","GPR1"
"5192","GPR101","GPR101"
"5193","GPR107","GPR107"
"5194","GPR108","GPR108"
"5195","GPR119","GPR119"
"5196","GPR12","GPR12"
"5197","GPR135","GPR135"
"5198","GPR137","GPR137"
"5199","GPR137B","GPR137B"
"5200","GPR137C","GPR137C"
"5201","GPR139","GPR139"
"5202","GPR141","GPR141"
"5203","GPR142","GPR142"
"5204","GPR143","GPR143"
"5205","GPR146","GPR146"
"5206","GPR149","GPR149"
"5207","GPR15","GPR15"
"5208","GPR151","GPR151"
"5209","GPR152","GPR152"
"5210","GPR155","GPR155"
"5211","GPR156","GPR156"
