"","human_gene","fruit_fly_gene"
"925","TPSB2","CG14990"
"926","CFAP410","CG14995"
"927","SQOR","CG14997"
"928","NFXL1","CG15011"
"929","TMEM50A","CG15012"
"930","THUMPD1","CG15014"
"931","TMA16","CG15027"
"932","SENP8","CG1503"
"933","PPTC7","CG15035"
"934","FBXL15","CG15056"
"935","ZNF236","CG15073"
"936","YJU2B","CG15084"
"937","SLC17A5","CG15096"
"938","DOP1A","CG15099"
"939","ABHD12B","CG15111"
"940","GPX5","CG15116"
"941","GUSB","CG15117"
"942","ANKRD13D","CG15118"
"943","PACRG","CG15120"
"944","UBR7","CG15141"
"945","CFAP91","CG15143"
"946","CFAP91","CG15144"
"947","CFAP91","CG15145"
"948","SELENOH","CG15147"
"949","RPRD2","CG15160"
"950","HPCAL4","CG15177"
"951","CFAP410","CG15208"
"952","SLC22A6","CG15221"
"953","DCAF10","CG1523"
"954","CNOT2","CG15262"
"955","ZNF287","CG15269"
"956","ANO8","CG15270"
"957","SDHAF4","CG15283"
"958","KCMF1","CG15286"
"959","GLOD4","CG1532"
"960","ZBTB40","CG15336"
"961","PNPO","CG15343"
"962","EMSY","CG15356"
"963","HINT3","CG15362"
"964","LZTS1","CG15365"
"965","ZFAND5","CG15368"
"966","DNAI7","CG15373"
"967","PXYLP1","CG15385"
"968","C12orf57","CG15387"
"969","MTERF4","CG15390"
"970","FAM210B","CG15403"
"971","SLC2A8","CG15406"
"972","SLC2A11","CG15408"
"973","EBNA1BP2","CG1542"
"974","CYB5D1","CG15429"
"975","FAM32A","CG15432"
"976","PHF14","CG15439"
"977","DHTKD1","CG1544"
"978","TMCO6","CG15443"
"979","NUB1","CG15445"
"980","GPAT3","CG15450"
"981","MIEN1","CG15456"
"982","B4GAT1","CG15483"
"983","CFAP161","CG15498"
"984","CCDC12","CG15525"
"985","BAD","CG15530"
"986","CRHBP","CG15537"
"987","P4HA3","CG15539"
"988","NME5","CG15547"
"989","SLC46A2","CG15553"
"990","GPATCH4","CG15561"
"991","GPR139","CG15614"
"992","SPRING1","CG15643"
"993","FKRP","CG15651"
"994","COA1","CG15653"
"995","VBP1","CG15676"
"996","ZNF706","CG15715"
"997","PDXP","CG15739"
"998","NSRP1","CG15747"
"999","TEX10","CG1575"
"1000","NANP","CG15771"
"1001","DPH6","CG1578"
"1002","RNF121","CG15814"
"1003","DHX57","CG1582"
"1004","SERHL2","CG15820"
"1005","P4HA3","CG15864"
"1006","CGAS","CG15865"
"1007","SERHL2","CG15879"
"1008","PGAP2","CG15880"
"1009","SLC46A2","CG15890"
"1010","C22orf39","CG15908"
"1011","HDHD3","CG15912"
"1012","GTDC1","CG15914"
"1013","RBFA","CG15916"
"1014","TMEM67","CG15923"
"1015","GET3","CG1598"
"1016","ZNF497","CG1602"
"1017","SLC7A5","CG1607"
"1018","MTA3","CG1620"
"1019","PRSS22","CG1632"
"1020","ACOT9","CG1635"
"1021","ACP7","CG1637"
"1022","ACOT9","CG1638"
"1023","GPT","CG1640"
"1024","MPV17L2","CG1662"
"1025","SLC36A1","CG16700"
"1026","TBL3","CG1671"
"1027","MPPED2","CG16717"
"1028","TCP11L1","CG16721"
"1029","SLC22A2","CG16727"
"1030","BCAT1","CG1673"
"1031","SYNPO2L","CG1674"
"1032","LYZ","CG16756"
"1033","PNP","CG16758"
"1034","ZC3H18","CG1677"
"1035","RCOR1","CG16779"
"1036","MARCHF5","CG16781"
"1037","C6orf136","CG16787"
"1038","IQCA1L","CG16789"
"1039","USB1","CG16790"
"1040","LYZL1","CG16799"
"1041","C19orf47","CG16812"
"1042","FLAD1","CG16848"
"1043","STEEP1","CG16865"
"1044","CACHD1","CG16868"
"1045","FRA10AC1","CG16890"
"1046","AKTIP","CG16894"
"1047","TBC1D31","CG16896"
"1048","MECR","CG16935"
"1049","BTBD7","CG16952"
"1050","PGRMC1","CG16957"
"1051","PGGHG","CG16965"
"1052","ENKUR","CG16984"
"1053","ACOT13","CG16985"
"1054","ACOT13","CG16986"
"1055","HEATR6","CG16989"
"1056","GLIPR1L1","CG16995"
"1057","GPS2","CG17002"
"1058","ATAT1","CG17003"
"1059","RBKS","CG17010"
"1060","RFFL","CG17019"
"1061","IMPA1","CG17026"
"1062","IMPA1","CG17027"
"1063","IMPA2","CG17028"
"1064","IMPA2","CG17029"
"1065","ABCF1","CG1703"
"1066","UBE2L6","CG17030"
"1067","SLC19A3","CG17036"
"1068","COPS9","CG17059"
"1069","AMDHD2","CG17065"
"1070","BTBD3","CG17068"
"1071","LIPF","CG17097"
"1072","ACY1","CG17109"
"1073","ACY1","CG17110"
"1074","CFAP157","CG17122"
"1075","PPP1R14B","CG17124"
"1076","CTSE","CG17134"
"1077","MTG1","CG17141"
"1078","SLC24A4","CG17167"
"1079","SNIP1","CG17168"
"1080","PCCB","CG17177"
"1081","DNAJC17","CG17187"
"1082","PNLIP","CG17191"
"1083","PNLIPRP3","CG17192"
"1084","METTL18","CG17219"
"1085","RTN4IP1","CG17221"
"1086","UPP1","CG17224"
"1087","CCDC82","CG17233"
"1088","PRSS53","CG17234"
"1089","MYL4","CG17237"
"1090","PRSS53","CG17239"
"1091","TIMM17B","CG1724"
"1092","PRSS21","CG17242"
"1093","PRCC","CG17249"
"1094","CCDC191","CG17258"
"1095","PPIH","CG17266"
"1096","MCFD2","CG17271"
"1097","CALML4","CG17272"
"1098","CTSE","CG17283"
"1099","ZDHHC20","CG17287"
"1100","HDHD2","CG17294"
"1101","PTRH2","CG17327"
"1102","RFWD3","CG17329"
"1103","PACRG","CG17349"
"1104","KIAA0513","CG17378"
"1105","C1orf131","CG1738"
"1106","CCDC39","CG17387"
"1107","TMPRSS4","CG17404"
"1108","TEKT3","CG17450"
"1109","TMPRSS4","CG17477"
"1110","ASNSD1","CG17486"
"1111","CETN1","CG17493"
"1112","MTFMT","CG1750"
"1113","FAM210B","CG17508"
"1114","FAR1","CG17560"
"1115","FAR2","CG17562"
"1116","ZFP64","CG17568"
"1117","PRSS53","CG17571"
"1118","CRISP2","CG17575"
"1119","CCDC47","CG17593"
"1120","PPM1J","CG17598"
"1121","CPA2","CG17633"
"1122","GGT1","CG17636"
"1123","MFSD14A","CG17637"
"1124","DDAH1","CG1764"
"1125","UTP23","CG17652"
"1126","TMEM87A","CG17660"
"1127","CIAO3","CG17683"
"1128","CFAP43","CG17687"
"1129","BCKDHB","CG17691"
"1130","CAMKK1","CG17698"
"1131","GFOD2","CG17712"
"1132","TMEM65","CG17715"
"1133","NDUFAF7","CG17726"
"1134","SPON1","CG17739"
"1135","ACOT9","CG1774"
"1136","PPM1N","CG17746"
"1137","SLC22A5","CG17751"
"1138","SLC22A2","CG17752"
"1139","KLHL5","CG17754"
"1140","GNAQ","CG17760"
"1141","CAPNS2","CG17765"
"1142","LSM4","CG17768"
"1143","CETN2","CG17770"
"1144","ZNF497","CG17803"
"1145","ALKBH8","CG17807"
"1146","TLCD3B","CG17841"
"1147","NOP53","CG1785"
"1148","TBC1D20","CG17883"
"1149","UTP11","CG1789"
"1150","ALDH6A1","CG17896"
"1151","NUBP1","CG17904"
"1152","PEBP1","CG17917"
"1153","PEBP1","CG17919"
"1154","ZNF341","CG1792"
"1155","SLC2A6","CG17929"
"1156","SLC2A6","CG17930"
"1157","GLIPR1L1","CG17974"
"1158","LYSMD2","CG17985"
"1159","MARCHF5","CG17991"
"1160","ACSL1","CG17999"
"1161","INO80E","CG18004"
"1162","ABCA3","CG1801"
"1163","ZNF181","CG18011"
"1164","TRMT13","CG18048"
"1165","SSPN","CG1806"
"1166","SPATA17","CG18063"
"1167","ZNF706","CG18081"
"1168","NUDT19","CG18094"
"1169","LRG1","CG18095"
"1170","PNP","CG18128"
"1171","GPCPD1","CG18135"
"1172","ZMYND8","CG1815"
"1173","MAPRE1","CG18190"
"1174","SMYD2","CG18213"
"1175","P4HA3","CG18231"
"1176","P4HA3","CG18233"
"1177","P4HA3","CG18234"
"1178","PNLIPRP2","CG18258"
"1179","POLDIP3","CG18259"
"1180","CCDC34","CG18266"
"1181","AGA","CG1827"
"1182","GNS","CG18278"
"1183","MFSD14A","CG18281"
"1184","LIPF","CG18284"
"1185","LIPA","CG18301"
"1186","LIPJ","CG18302"
"1187","SLC25A34","CG18324"
"1188","SLC25A34","CG18327"
"1189","ACYP1","CG18371"
"1190","CPB1","CG18417"
"1191","SLC25A11","CG18418"
"1192","ARL6IP4","CG18428"
"1193","AIP","CG1847"
"1194","PTER","CG18473"
"1195","ZNF664","CG18476"
"1196","TPSB2","CG18477"
"1197","TPSB2","CG18478"
"1198","VASN","CG18480"
"1199","PRSS16","CG18493"
"1200","TMEM268","CG18507"
"1201","GTPBP3","CG18528"
"1202","LIPF","CG18530"
"1203","AKR1B10","CG18547"
"1204","MFSD11","CG18549"
"1205","TPSB2","CG18557"
"1206","C1GALT1","CG18558"
"1207","TPSB2","CG18563"
"1208","CPA1","CG18585"
"1209","ACSBG2","CG18586"
"1210","TOPORS","CG18605"
"1211","XKR8","CG18635"
"1212","DENND1B","CG18659"
"1213","METTL26","CG18661"
"1214","PHPT1","CG18662"
"1215","CFAP298","CG18675"
"1216","TPSB2","CG18735"
"1217","ARRDC5","CG18744"
"1218","ARRDC5","CG18745"
"1219","ARRDC5","CG18746"
"1220","ARRDC5","CG18747"
"1221","ARRDC5","CG18748"
"1222","P4HA3","CG18749"
"1223","MSANTD1","CG18766"
"1224","NUP42","CG18787"
"1225","NUP42","CG18789"
"1226","ZDHHC22","CG18810"
"1227","HPGD","CG18814"
"1228","PLA2G15","CG18858"
"1229","TBCA","CG1890"
"1230","KAT8","CG1894"
"1231","CLVS2","CG1902"
"1232","SLC25A11","CG1907"
"1233","RAPSN","CG1909"
"1234","CANX","CG1924"
"1235","DGAT2L6","CG1941"
"1236","MOGAT2","CG1946"
"1237","SCYL2","CG1951"
"1238","PAXBP1","CG1965"
"1239","PLPBP","CG1983"
"1240","FAXDC2","CG1998"
"1241","SLC17A4","CG2003"
"1242","DTWD1","CG2006"
"1243","GTPBP2","CG2017"
"1244","LSM8","CG2021"
"1245","ABHD11","CG2059"
"1246","LANCL3","CG2061"
"1247","SAP30BP","CG2063"
"1248","DHRSX","CG2065"
"1249","GHITM","CG2076"
"1250","NDRG4","CG2082"
"1251","DCPS","CG2091"
"1252","TRNT1","CG2100"
"1253","PTPA","CG2104"
"1254","ANPEP","CG2111"
"1255","ABRA","CG2113"
"1256","UNC93A","CG2121"
"1257","JKAMP","CG2126"
"1258","ZNF747","CG2129"
"1259","ENDOU","CG2145"
"1260","R3HCC1","CG2162"
"1261","GGNBP2","CG2182"
"1262","SLC5A8","CG2187"
"1263","ZNF497","CG2199"
"1264","CHKB","CG2201"
"1265","UBOX5","CG2218"
"1266","STAMBP","CG2224"
"1267","PRPSAP2","CG2246"
"1268","HPCAL4","CG2256"
"1269","NCKIPSD","CG2258"
"1270","WDR46","CG2260"
"1271","C2orf42","CG2321"
"1272","PRCP","CG2493"
"1273","PREP","CG2528"
"1274","CSNK1A1","CG2577"
"1275","SPAG7","CG2608"
"1276","TMEM230","CG2611"
"1277","METTL13","CG2614"
"1278","ARRDC5","CG2641"
"1279","GPN3","CG2656"
"1280","PDXP","CG2680"
"1281","RRP12","CG2691"
"1282","GCNA","CG2694"
"1283","TMEM245","CG2698"
"1284","ASCC2","CG2701"
"1285","ZNF124","CG2712"
"1286","SCARB1","CG2736"
"1287","HEATR5B","CG2747"
"1288","THRSP","CG2765"
"1289","LIPF","CG2772"
"1290","DNAJC21","CG2790"
"1291","GGACT","CG2811"
"1292","WDR47","CG2812"
"1293","GPCPD1","CG2818"
"1294","RFK","CG2846"
"1295","TCAIM","CG2854"
"1296","SERTAD4","CG2865"
"1297","NOC4L","CG2875"
"1298","DNAJB1","CG2887"
"1299","METTL25B","CG2906"
"1300","CPA3","CG2915"
"1301","HYOU1","CG2918"
"1302","ARMT1","CG2921"
"1303","UBE2L6","CG2924"
"1304","PHRF1","CG2926"
"1305","SLC15A3","CG2930"
"1306","CASD1","CG2938"
"1307","PKM","CG2964"
"1308","NOB1","CG2972"
"1309","C1GALT1","CG2983"
"1310","ARRDC5","CG2993"
"1311","C8orf82","CG30010"
"1312","TTR","CG30016"
"1313","ZNF84","CG30020"
"1314","ETHE1","CG30022"
"1315","PRSS53","CG30025"
"1316","PRSS53","CG30031"
"1317","B3GNT6","CG30036"
"1318","B3GNT6","CG30037"
"1319","ERMP1","CG30043"
"1320","SPON1","CG30046"
"1321","ERMP1","CG30047"
"1322","ERMP1","CG30049"
"1323","GNAQ","CG30054"
"1324","GNS","CG30059"
"1325","PEBP1","CG30060"
"1326","LYZ","CG30062"
"1327","RIOK3","CG3008"
"1328","MTRFR","CG30100"
"1329","NT5E","CG30103"
"1330","ARRDC5","CG3014"
"1331","DNAJB8","CG30156"
"1332","LPXN","CG30178"
"1333","ANLN","CG30183"
"1334","SPON1","CG30203"
"1335","TRMU","CG3021"
"1336","CCDC65","CG30259"
"1337","SLC17A5","CG30265"
"1338","CFAP61","CG30268"
"1339","LITAF","CG30269"
"1340","LITAF","CG30273"
"1341","CFAP61","CG30275"
"1342","GZMA","CG30283"
"1343","GZMK","CG30287"
"1344","GZMK","CG30288"
"1345","GZMA","CG30289"
"1346","CDK5RAP3","CG30291"
"1347","ZNF497","CG3032"
"1348","RWDD2A","CG30338"
"1349","CLVS2","CG30339"
"1350","SLC46A2","CG30344"
"1351","SLC46A2","CG30345"
"1352","CETN2","CG30378"
"1353","TMBIM1","CG30379"
"1354","MACO1","CG30389"
"1355","GLTPD2","CG30392"
"1356","SLC38A10","CG30394"
"1357","MITD1","CG30398"
"1358","LRRC57","CG3040"
"1359","GZMK","CG30414"
"1360","LEPROTL1","CG30423"
"1361","FAR1","CG30427"
"1362","MORN3","CG30429"
"1363","PUS3","CG3045"
"1364","ZC2HC1B","CG30460"
"1365","SAAL1","CG30467"
"1366","GSX2","CG30480"
"1367","GLIPR1L1","CG30486"
"1368","GLMN","CG30496"
"1369","PLA2G3","CG30503"
"1370","DNAJB12","CG3061"
"1371","CFAP126","CG3062"
"1372","KLF2","CG3065"
"1373","UTP15","CG3071"
"1374","UNC93B1","CG3078"
"1375","TEKT2","CG3085"
"1376","RLBP1","CG3091"
"1377","CPO","CG3097"
"1378","CHCHD10","CG31007"
"1379","P4HA3","CG31013"
"1380","P4HA3","CG31016"
"1381","AGBL4","CG31019"
"1382","P4HA1","CG31021"
"1383","FAM89B","CG31038"
"1384","RUFY2","CG31064"
"1385","PITRM1","CG3107"
"1386","ALDH1B1","CG31075"
"1387","LRMDA","CG31076"
"1388","CPA4","CG3108"
"1389","LIPJ","CG31089"
"1390","LIPF","CG31091"
"1391","SLC22A1","CG31103"
"1392","SLC22A2","CG31106"
"1393","TBRG1","CG31111"
"1394","MTAP","CG31115"
"1395","ABCG2","CG31121"
"1396","C2orf69","CG31122"
"1397","BOLA1","CG31126"
"1398","POGLUT1","CG31139"
"1399","DGKQ","CG31140"
"1400","FAM20C","CG31145"
"1401","SRBD1","CG31156"
"1402","TPSB2","CG3117"
"1403","NPR1","CG31183"
"1404","GZMA","CG31205"
"1405","PNISR","CG31211"
"1406","ABCA3","CG31213"
"1407","ZNHIT2","CG31223"
"1408","FIZ1","CG31224"
"1409","TIMM22","CG31229"
"1410","ANPEP","CG31233"
"1411","TACO1","CG31244"
"1412","RTRAF","CG31249"
"1413","NUDCD3","CG31251"
"1414","TMEM135","CG31259"
"1415","SLC5A8","CG31262"
"1416","PRSS53","CG31265"
"1417","KLK10","CG31266"
"1418","KLK10","CG31267"
"1419","TMPRSS4","CG31269"
"1420","SLC22A8","CG31272"
"1421","PDF","CG31278"
"1422","GLIPR1L1","CG31286"
"1423","CDKN2AIPNL","CG31301"
"1424","SLC46A2","CG31321"
"1425","ERAP1","CG31343"
"1426","CAPSL","CG31345"
"1427","STOML3","CG31358"
"1428","AQR","CG31368"
"1429","P4HA3","CG31371"
"1430","PDF","CG31373"
"1431","TRIT1","CG31381"
"1432","PPP1R36","CG31391"
"1433","FGFRL1","CG31431"
"1434","ANPEP","CG31445"
"1435","TMEM135","CG31454"
"1436","KRTCAP2","CG31460"
"1437","PPP1R36","CG31467"
"1438","PNPO","CG31473"
"1439","GLIPR2","CG31482"
"1440","RFT1","CG3149"
"1441","NSF","CG31495"
"1442","ELOVL7","CG31522"
"1443","ELOVL7","CG31523"
"1444","P4HA3","CG31524"
"1445","UBQLN4","CG31528"
"1446","DHRS2","CG31546"
"1447","DHRS4","CG31548"
"1448","DHRS2","CG31549"
"1449","SUGP1","CG31550"
"1450","GRXCR1","CG31559"
"1451","ABCB10","CG3156"
"1452","ZC3H18","CG31601"
"1453","LPXN","CG31624"
"1454","POU2AF1","CG31626"
"1455","PPP1R37","CG31635"
"1456","CLVS2","CG31636"
"1457","CHST6","CG31637"
"1458","KCMF1","CG31642"
"1459","FASTKD1","CG31643"
"1460","TREX2","CG3165"
"1461","RCN2","CG31650"
"1462","CTSE","CG31661"
"1463","SLC5A8","CG31668"
"1464","GRHPR","CG31673"
"1465","GRHPR","CG31674"
"1466","SUCO","CG31678"
"1467","PRSS53","CG31681"
"1468","PLA2G15","CG31683"
"1469","CDC23","CG31687"
"1470","ABCG1","CG31689"
"1471","OCA2","CG31693"
"1472","ARGLU1","CG31712"
"1473","PLPP6","CG31717"
"1474","ATP9A","CG31729"
"1475","SPATA17","CG31735"
"1476","SCARB1","CG31741"
"1477","HYKK","CG31751"
"1478","PDE12","CG31759"
"1479","FPGS","CG31773"
"1480","GALNT13","CG31776"
"1481","TPSB2","CG31780"
"1482","ABCC4","CG31792"
"1483","ABCC11","CG31793"
"1484","C1orf50","CG31800"
"1485","CETN1","CG31802"
"1486","RFWD3","CG31807"
"1487","HSDL1","CG31809"
"1488","HSDL1","CG31810"
"1489","SCPEP1","CG31821"
"1490","SCPEP1","CG31823"
"1491","TPSB2","CG31827"
"1492","KCMF1","CG31835"
"1493","DPH7","CG3184"
"1494","DDA1","CG31855"
"1495","LIPF","CG31871"
"1496","LIPA","CG31872"
"1497","FAM104A","CG31898"
"1498","RLBP1","CG3191"
"1499","COA1","CG31913"
"1500","COLGALT2","CG31915"
"1501","ZNHIT1","CG31917"
"1502","ZMAT5","CG31922"
"1503","PUDP","CG31924"
"1504","CTSE","CG31926"
"1505","CTSE","CG31928"
"1506","DHRS7","CG31937"
"1507","PRSS53","CG31954"
"1508","EIF1AD","CG31957"
"1509","LUC7L3","CG3198"
"1510","LPXN","CG31988"
"1511","IDH3A","CG32026"
"1512","SMPDL3B","CG32052"
"1513","SLC2A3","CG32053"
"1514","SLC2A7","CG32054"
"1515","CYRIB","CG32066"
"1516","IER3IP1","CG32069"
"1517","LAS1L","CG32075"
"1518","SLC36A3","CG32079"
"1519","SLC36A3","CG32081"
"1520","FBXL16","CG32085"
"1521","VMP1","CG32087"
"1522","ABCG4","CG32091"
"1523","AASDHPPT","CG32099"
"1524","RPAP1","CG32104"
"1525","SENP2","CG32110"
"1526","ABHD18","CG32112"
"1527","BICDL2","CG32137"
"1528","PGPEP1","CG32147"
"1529","PRMT3","CG32152"
"1530","NATD1","CG32163"
"1531","CAAP1","CG32176"
"1532","ARSB","CG32191"
"1533","GGCT","CG32196"
"1534","P4HA3","CG32199"
"1535","P4HA3","CG32201"
"1536","LAMP5","CG32225"
"1537","ZNF593","CG3224"
"1538","DHX35","CG3225"
"1539","CACYBP","CG3226"
"1540","PHACTR1","CG32264"
"1541","SERP2","CG32276"
"1542","TRMT5","CG32281"
"1543","PI15","CG32313"
"1544","KIF11","CG32318"
"1545","DCST2","CG32320"
"1546","FAM135B","CG32333"
"1547","DDX54","CG32344"
"1548","LONRF2","CG32369"
"1549","PRSS53","CG32374"
"1550","TPSAB1","CG32376"
"1551","CPO","CG32379"
"1552","MOSPD2","CG32407"
"1553","RRS1","CG32409"
"1554","QPCT","CG32413"
"1555","C2CD3","CG32425"
"1556","GALM","CG32444"
"1557","GALM","CG32445"
"1558","SMIM8","CG32448"
"1559","ENPEP","CG32473"
"1560","SCPEP1","CG32483"
"1561","RLBP1","CG32485"
"1562","ZFTRAF1","CG32486"
"1563","PGP","CG32487"
"1564","PDXP","CG32488"
"1565","NFU1","CG32500"
"1566","OTUD3","CG3251"
"1567","TPSB2","CG32523"
"1568","DHX34","CG32533"
"1569","EBAG9","CG32536"
"1570","GOLT1B","CG32576"
"1571","BORCS8","CG32590"
"1572","POU2AF1","CG32603"
"1573","NUBPL","CG3262"
"1574","AGTRAP","CG32638"
"1575","DNAJB9","CG32640"
"1576","DNAJB9","CG32641"
"1577","DGCR2","CG32647"
"1578","ARMC2","CG32668"
"1579","SLC5A6","CG32669"
"1580","GLIPR1L1","CG32679"
"1581","LRRC58","CG32687"
"1582","FOXRED1","CG3270"
"1583","ABT1","CG32706"
"1584","ABT1","CG32708"
"1585","UQCC5","CG32736"
"1586","VNN1","CG32750"
"1587","BTD","CG32751"
"1588","TMEM120A","CG32795"
"1589","TMPRSS4","CG32808"
"1590","SRCIN1","CG32809"
"1591","ZNF669","CG3281"
"1592","CHP2","CG32812"
"1593","TEKT3","CG32819"
"1594","TEKT3","CG32820"
"1595","MPC2","CG32832"
"1596","PROZ","CG32834"
"1597","PIN1","CG32845"
"1598","RNF5","CG32847"
"1599","SLC2A8","CG3285"
"1600","NFU1","CG32857"
"1601","ZRSR2","CG3294"
"1602","STK32B","CG32944"
"1603","MED22","CG32971"
"1604","DHRS11","CG3301"
"1605","ERMP1","CG33012"
"1606","OARD1","CG33054"
"1607","OARD1","CG33056"
"1608","DENND6B","CG3309"
"1609","GBA2","CG33090"
"1610","ABHD17A","CG33096"
"1611","ACTMAP","CG33108"
"1612","ELOVL1","CG33110"
"1613","SELENOI","CG33116"
"1614","SLC5A8","CG33124"
"1615","CTSE","CG33128"
"1616","TMEM214","CG33129"
"1617","NADK","CG33156"
"1618","EFL1","CG33158"
"1619","WDR6","CG33172"
"1620","MGST1","CG33177"
"1621","MGST1","CG33178"
"1622","SLC41A1","CG33181"
"1623","PAQR4","CG33203"
"1624","GZMA","CG33225"
"1625","GZMA","CG33226"
"1626","SETD4","CG33230"
"1627","SLC22A8","CG33233"
"1628","SLC22A13","CG33234"
"1629","STOM","CG33253"
"1630","MYRFL","CG3328"
"1631","SLC2A8","CG33281"
"1632","SLC2A5","CG33282"
"1633","STOX1","CG33285"
"1634","DNAI7","CG33286"
"1635","DNAI7","CG33287"
"1636","RCC1L","CG33288"
"1637","RPN1","CG33303"
"1638","ATP1B2","CG33310"
"1639","TAMM41","CG33331"
"1640","GPALPP1","CG33332"
"1641","EXOG","CG33346"
"1642","RBM19","CG3335"
"1643","ATPSCKMT","CG3337"
"1644","PRSS56","CG33458"
"1645","PRSS56","CG33459"
"1646","PEX11G","CG33474"
"1647","PCCB","CG3349"
"1648","NFU1","CG33502"
"1649","TMEM177","CG33506"
"1650","CLVS2","CG33514"
"1651","MOSPD2","CG33523"
"1652","NEGR1","CG33543"
"1653","TPSB2","CG3355"
"1654","RFWD3","CG33552"
"1655","TCF15","CG33557"
"1656","UBE3C","CG3356"
"1657","TATDN1","CG3358"
"1658","SFT2D3","CG33635"
"1659","GPR139","CG33639"
"1660","BOLA2B","CG33672"
"1661","C17orf49","CG33695"
"1662","ASPSCR1","CG33722"
"1663","SMPD1","CG3376"
"1664","OGDHL","CG33791"
"1665","TMEM203","CG33932"
"1666","SLC13A2","CG33934"
"1667","CLVS2","CG33965"
"1668","CLVS2","CG33966"
"1669","FBXW4","CG33969"
"1670","AKR1C4","CG3397"
"1671","CHTF8","CG34001"
"1672","CRISP1","CG34002"
"1673","HINT3","CG34015"
"1674","TAX1BP3","CG3402"
"1675","CLEC4C","CG34033"
"1676","COMMD4","CG34039"
"1677","P4HA3","CG34041"
"1678","PROZ","CG34043"
"1679","GLIPR1L1","CG34049"
"1680","C1GALT1","CG34057"
"1681","PIERCE1","CG34107"
"1682","FMC1","CG34117"
"1683","ABCA7","CG34120"
"1684","CFAP44","CG34124"
"1685","DAZAP2","CG34125"
"1686","BLTP3A","CG34126"
"1687","TIMM13","CG34132"
"1688","WDR44","CG34133"
"1689","PUSL1","CG34140"
"1690","C15orf61","CG34148"
"1691","ACYP1","CG34161"
"1692","CINP","CG34174"
"1693","RPAP2","CG34183"
"1694","SPTSSA","CG34194"
"1695","METTL6","CG34195"
"1696","CISD3","CG3420"
"1697","NR2C2AP","CG34213"
"1698","SMIM12","CG34228"
"1699","RBM48","CG34231"
"1700","OARD1","CG34261"
"1701","SPTSSA","CG34293"
"1702","MCMBP","CG3430"
"1703","LPXN","CG34325"
"1704","RNPS1","CG34334"
"1705","QTRT2","CG3434"
"1706","FAR2","CG34342"
"1707","P4HA3","CG34345"
"1708","TMEM68","CG34348"
"1709","THBD","CG34355"
"1710","SNRNP40","CG3436"
"1711","SAC3D1","CG3437"
"1712","DGKD","CG34384"
"1713","KCNK18","CG34396"
"1714","MCC","CG34404"
"1715","RALGAPB","CG34408"
"1716","PNLIPRP1","CG34447"
"1717","PNLIPRP1","CG34448"
"1718","CFAP161","CG34457"
"1719","PRSS53","CG34458"
"1720","UBE2N","CG3473"
"1721","SBNO2","CG3491"
"1722","LRRC30","CG3494"
"1723","TEX261","CG3500"
"1724","ANPEP","CG3502"
"1725","PPWD1","CG3511"
"1726","FOCAD","CG3520"
"1727","KCMF1","CG3526"
"1728","EMG1","CG3527"
"1729","CFAP299","CG3528"
"1730","TOM1","CG3529"
"1731","XYLB","CG3534"
"1732","XYLB","CG3544"
"1733","GDPGP1","CG3552"
"1734","TCN2","CG3556"
"1735","FHIP1B","CG3558"
"1736","HPCAL4","CG3565"
"1737","CYB5B","CG3566"
"1738","KTI12","CG3587"
"1739","TYSND1","CG3589"
"1740","DHDH","CG3597"
"1741","HSD17B8","CG3603"
"1742","DHDH","CG3609"
"1743","FAM234B","CG3618"
"1744","AIG1","CG3625"
"1745","ABRA","CG3630"
"1746","FAM20B","CG3631"
"1747","MTMR3","CG3632"
"1748","ST7","CG3634"
"1749","LIPF","CG3635"
"1750","TTYH3","CG3638"
"1751","GLIPR1","CG3640"
"1752","DUS1L","CG3645"
"1753","SLC17A2","CG3649"
"1754","YIPF6","CG3652"
"1755","ITM2B","CG3662"
"1756","ISOC1","CG3663"
"1757","SLC22A8","CG3690"
"1758","DHRS4","CG3699"
"1759","CLPTM1","CG3702"
"1760","RUNDC1","CG3703"
"1761","GPN1","CG3704"
"1762","NAP1L2","CG3708"
"1763","PUS10","CG3709"
"1764","ZRANB2","CG3732"
"1765","PRSS16","CG3734"
"1766","UTP25","CG3735"
"1767","PRSS16","CG3739"
"1768","C19orf12","CG3740"
"1769","DPP9","CG3744"
"1770","FNIP2","CG3764"
"1771","DYNC2LI1","CG3769"
"1772","LHFPL2","CG3770"
"1773","MAIP1","CG3776"
"1774","JOSD2","CG3781"
"1775","UPP1","CG3788"
"1776","MPDU1","CG3792"
"1777","LCMT1","CG3793"
"1778","COX15","CG3803"
"1779","TRMT2A","CG3808"
"1780","PHF12","CG3815"
"1781","RRP15","CG3817"
"1782","EXOG","CG3819"
"1783","CLVS2","CG3823"
"1784","SCARB2","CG3829"
"1785","CES2","CG3841"
"1786","SMG9","CG3857"
"1787","OSBPL2","CG3860"
"1788","RCC1L","CG3862"
"1789","SAPCD1","CG3880"
"1790","ACADSB","CG3902"
"1791","SKIC8","CG3909"
"1792","TMPRSS4","CG3916"
"1793","KHDRBS3","CG3927"
"1794","TXNDC17","CG3939"
"1795","GPCPD1","CG3942"
"1796","ACSL5","CG3961"
"1797","GLDC","CG3999"
"1798","SCARB2","CG40006"
"1799","UBE2G1","CG40045"
"1800","EPX","CG4009"
"1801","TPSAB1","CG40160"
"1802","CPA2","CG4017"
