"","human_gene","zebarfish_gene"
"5157","DSP","dspa"
"5158","DSP","dspb"
"5159","DSTYK","dstyk"
"5160","DTD1","dtd1"
"5161","DTD2","dtd2"
"5162","DTHD1","dthd1"
"5163","DTL","dtl"
"5164","DTNA","dtna"
"5165","DTNBP1","dtnbp1a"
"5166","DTNBP1","dtnbp1b"
"5167","DTWD1","dtwd1"
"5168","DTWD2","dtwd2"
"5169","DTX2","dtx2"
"5170","DTX4","dtx4a"
"5171","DTX4","dtx4b"
"5172","DTYMK","dtymk"
"5173","RCSD1","dub"
"5174","DUOXA1","duox2"
"5175","DUS1L","dus1l"
"5176","DUS2","dus2"
"5177","DUS3L","dus3l"
"5178","DUS4L","dus4l"
"5179","DUSP1","dusp1"
"5180","DUSP10","dusp10"
"5181","DUSP11","dusp11"
"5182","DUSP12","dusp12"
"5183","DUSP13B","dusp13a"
"5184","DUSP16","dusp16"
"5185","DUSP19","dusp19a"
"5186","DUSP19","dusp19b"
"5187","DUSP2","dusp2"
"5188","DUSP22","dusp22b"
"5189","DUSP23","dusp23a"
"5190","DUSP23","dusp23b"
"5191","STYXL2","dusp27"
"5192","DUSP28","dusp28"
"5193","DUSP4","dusp4"
"5194","DUSP5","dusp5"
"5195","DUSP6","dusp6"
"5196","DUSP7","dusp7"
"5197","DUSP8","dusp8a"
"5198","DUT","dut"
"5199","DVL2","dvl2"
"5200","DVL3","dvl3a"
"5201","DVL3","dvl3b"
"5202","DYDC1","dydc2"
"5203","DYM","dym"
"5204","DYNC1H1","dync1h1"
"5205","DYNC1I1","dync1i1"
"5206","DYNC1I2","dync1i2a"
"5207","DYNC1I2","dync1i2b"
"5208","DYNC1LI1","dync1li1"
"5209","DYNC1LI2","dync1li2"
"5210","DYNC2LI1","dync2li1"
"5211","DYNLL1","dynll1"
"5212","DYNLL2","dynll2a"
"5213","DYNLL2","dynll2b"
"5214","DYNLRB2","dynlrb2"
"5215","DYNLT1","dynlt1"
"5216","DYNLT3","dynlt3"
"5217","DYRK1A","dyrk1aa"
"5218","DYRK1A","dyrk1ab"
"5219","DYRK1B","dyrk1b"
"5220","DYRK2","dyrk2"
"5221","DYRK3","dyrk3"
"5222","DYRK4","dyrk4"
"5223","DYSF","dysf"
"5224","DYTN","dytn"
"5225","DZANK1","dzank1"
"5226","DZIP1","dzip1"
"5227","DZIP1L","dzip1l"
"5228","E2F1","e2f1"
"5229","E2F3","e2f3"
"5230","E2F4","e2f4"
"5231","E2F5","e2f5"
"5232","E2F7","e2f7"
"5233","E2F8","e2f8"
"5234","E4F1","e4f1"
"5235","EAF1","eaf1"
"5236","EAF2","eaf2"
"5237","EAPP","eapp"
"5238","EBAG9","ebag9"
"5239","EBF1","ebf1b"
"5240","EBF2","ebf2"
"5241","EBF1","ebf3a"
"5242","EBI3","ebi3"
"5243","EBNA1BP2","ebna1bp2"
"5244","EBP","ebp"
"5245","EBPL","ebpl"
"5246","ECD","ecd"
"5247","ECE1","ece1"
"5248","EEF1AKMT4","ece2a"
"5249","ECE2","ece2b"
"5250","ECEL1","ecel1"
"5251","ECH1","ech1"
"5252","ECHDC2","echdc2"
"5253","ECHS1","echs1"
"5254","ECI1","eci1"
"5255","ECI2","eci2"
"5256","ECM1","ecm1a"
"5257","ECM1","ecm1b"
"5258","ECPAS","ecpas"
"5259","ECRG4","ecrg4a"
"5260","ECRG4","ecrg4b"
"5261","ECSIT","ecsit"
"5262","ECT2","ect2"
"5263","EDA","eda"
"5264","EDAR","edar"
"5265","EDC3","edc3"
"5266","EDC4","edc4"
"5267","EDEM1","edem1"
"5268","EDEM2","edem2"
"5269","EDEM3","edem3"
"5270","EDF1","edf1"
"5271","EDIL3","edil3a"
"5272","EDN2","edn2"
"5273","EDN3","edn3b"
"5274","EDNRA","ednraa"
"5275","EDNRA","ednrab"
"5276","EDNRB","ednrba"
"5277","EDNRB","ednrbb"
"5278","EDRF1","edrf1"
"5279","EEA1","eea1"
"5280","EED","eed"
"5281","EEF1A1","eef1a1a"
"5282","EEF1A1","eef1a1l2"
"5283","EEF1A2","eef1a2"
"5284","EEF1AKMT1","eef1akmt1"
"5285","EEF1AKMT2","eef1akmt2"
"5286","EEF1B2","eef1b2"
"5287","EEF1D","eef1da"
"5288","EEF1D","eef1db"
"5289","EEF1E1","eef1e1"
"5290","EEF1G","eef1g"
"5291","EIF5B","eef2a.1"
"5292","EIF5B","eef2a.2"
"5293","EEF2K","eef2k"
"5294","EEF2KMT","eef2kmt"
"5295","EEF2","eef2l2"
"5296","EEFSEC","eefsec"
"5297","EEPD1","eepd1"
"5298","CLXN","efcab1"
"5299","EFCAB11","efcab11"
"5300","EFCAB7","efcab7"
"5301","EFEMP2","efemp2a"
"5302","EFEMP2","efemp2b"
"5303","EFHB","efhb"
"5304","EFHC1","efhc1"
"5305","EFHC2","efhc2"
"5306","EFHD1","efhd1"
"5307","EFHD2","efhd2"
"5308","EFL1","efl1"
"5309","EFNA1","efna1a"
"5310","EFNA1","efna1b"
"5311","EFNA2","efna2a"
"5312","EFNA2","efna2b"
"5313","EFNA3","efna3b"
"5314","EFNA5","efna5a"
"5315","EFNA5","efna5b"
"5316","EFNB1","efnb1"
"5317","EFNB2","efnb2a"
"5318","EFNB2","efnb2b"
"5319","EFNB3","efnb3a"
"5320","EFNB3","efnb3b"
"5321","EFR3A","efr3a"
"5322","EFR3B","efr3ba"
"5323","EFR3B","efr3bb"
"5324","EFS","efs"
"5325","EFTUD2","eftud2"
"5326","EGF","egf"
"5327","EGFL6","egfl6"
"5328","EGFL7","egfl7"
"5329","EGFR","egfra"
"5330","EGLN1","egln1a"
"5331","EGLN1","egln1b"
"5332","EGLN2","egln2"
"5333","EGLN3","egln3"
"5334","EGR4","egr1"
"5335","EGR4","egr2a"
"5336","EGR2","egr2b"
"5337","EGR3","egr3"
"5338","EGR4","egr4"
"5339","EHBP1","ehbp1"
"5340","EHBP1L1","ehbp1l1a"
"5341","EHD1","ehd1a"
"5342","EHD1","ehd1b"
"5343","EHD2","ehd2a"
"5344","EHD2","ehd2b"
"5345","EHD3","ehd3"
"5346","EHD4","ehd4"
"5347","EHF","ehf"
"5348","EHHADH","ehhadh"
"5349","EHMT1","ehmt1a"
"5350","EHMT1","ehmt1b"
"5351","EHMT2","ehmt2"
"5352","EI24","ei24"
"5353","EIF1","eif1"
"5354","EIF1AD","eif1ad"
"5355","EIF1AX","eif1axa"
"5356","EIF1B","eif1b"
"5357","EIF2A","eif2a"
"5358","EIF2AK1","eif2ak1"
"5359","EIF2AK3","eif2ak3"
"5360","EIF2B1","eif2b1"
"5361","EIF2B2","eif2b2"
"5362","EIF2B3","eif2b3"
"5363","EIF2B4","eif2b4"
"5364","EIF2B5","eif2b5"
"5365","EIF2D","eif2d"
"5366","EIF2S1","eif2s1a"
"5367","EIF2S1","eif2s1b"
"5368","EIF2S2","eif2s2"
"5369","EIF2S3","eif2s3"
"5370","EIF3B","eif3ba"
"5371","EIF3B","eif3bb"
"5372","EIF3CL","eif3c"
"5373","EIF3D","eif3d"
"5374","EIF3E","eif3ea"
"5375","EIF3E","eif3eb"
"5376","EIF3F","eif3f"
"5377","EIF3G","eif3g"
"5378","EIF3H","eif3ha"
"5379","EIF3H","eif3hb"
"5380","EIF3I","eif3i"
"5381","EIF3J","eif3ja"
"5382","EIF3J","eif3jb"
"5383","EIF3K","eif3k"
"5384","EIF3M","eif3m"
"5385","EIF3A","eif3s10"
"5386","EIF3L","eif3s6ip"
"5387","EIF4A2","eif4a2"
"5388","EIF4A3","eif4a3"
"5389","EIF4B","eif4ba"
"5390","EIF4B","eif4bb"
"5391","EIF4E1B","eif4e1b"
"5392","EIF4E2","eif4e2"
"5393","EIF4E3","eif4e3"
"5394","EIF4E","eif4ea"
"5395","EIF4E","eif4eb"
"5396","EIF4EBP1","eif4ebp1"
"5397","EIF4EBP2","eif4ebp2"
"5398","EIF4EBP3","eif4ebp3"
"5399","EIF4EBP3","eif4ebp3l"
"5400","EIF4G1","eif4g1a"
"5401","EIF4G2","eif4g2a"
"5402","EIF4G2","eif4g2b"
"5403","EIF4G3","eif4g3a"
"5404","EIF4G3","eif4g3b"
"5405","EIF4H","eif4h"
"5406","EIF5","eif5"
"5407","EIF5A2","eif5a"
"5408","EIF5A2","eif5a2"
"5409","EIF6","eif6"
"5410","EIPR1","eipr1"
"5411","CELA2A","ela2"
"5412","CELA2A","ela2l"
"5413","CELA2B","ela3l"
"5414","ELAC1","elac1"
"5415","ELAC2","elac2"
"5416","ELAVL1","elavl1a"
"5417","ELAVL1","elavl1b"
"5418","ELAVL2","elavl2"
"5419","ELAVL3","elavl3"
"5420","ELAVL4","elavl4"
"5421","ELF2","elf2a"
"5422","ELF2","elf2b"
"5423","ELF3","elf3"
"5424","ELFN1","elfn1b"
"5425","ELFN2","elfn2a"
"5426","ELK1","elk1"
"5427","ELK3","elk3"
"5428","ELK4","elk4"
"5429","ELL","ell"
"5430","ELL2","ell2"
"5431","ELMO1","elmo1"
"5432","ELMO2","elmo2"
"5433","ELMO3","elmo3"
"5434","ELMOD1","elmod1"
"5435","ELMOD2","elmod2"
"5436","ELMOD3","elmod3"
"5437","MIDEAS","elmsan1a"
"5438","MIDEAS","elmsan1b"
"5439","ELOA","eloa"
"5440","ELOB","elob"
"5441","ELOC","elocb"
"5442","ELOF1","elof1"
"5443","ELOVL1","elovl1a"
"5444","ELOVL1","elovl1b"
"5445","ELOVL2","elovl2"
"5446","ELOVL4","elovl4a"
"5447","ELOVL4","elovl4b"
"5448","ELOVL5","elovl5"
"5449","ELOVL6","elovl6"
"5450","ELOVL3","elovl6l"
"5451","ELOVL7","elovl7a"
"5452","ELOVL7","elovl7b"
"5453","ELP1","elp1"
"5454","ELP2","elp2"
"5455","ELP3","elp3"
"5456","ELP4","elp4"
"5457","ELP5","elp5"
"5458","ELP6","elp6"
"5459","EMB","emb"
"5460","EMC1","emc1"
"5461","EMC10","emc10"
"5462","EMC2","emc2"
"5463","EMC3","emc3"
"5464","EMC4","emc4"
"5465","EMC6","emc6"
"5466","EMC7","emc7"
"5467","EMC8","emc8"
"5468","EMC9","emc9"
"5469","EME1","eme1"
"5470","EMG1","emg1"
"5471","EMILIN1","emilin1a"
"5472","EMILIN1","emilin1b"
"5473","EMILIN2","emilin2a"
"5474","EMILIN2","emilin2b"
"5475","EMILIN3","emilin3a"
"5476","EML1","eml1"
"5477","EML2","eml2"
"5478","EML3","eml3"
"5479","EMP1","emp1"
"5480","EMP2","emp2"
"5481","EMP3","emp3b"
"5482","EMSY","emsy"
"5483","EMX1","emx1"
"5484","EMX2","emx2"
"5485","EN1","en1a"
"5486","EN1","en1b"
"5487","EN2","en2a"
"5488","EN2","en2b"
"5489","ENAH","enah"
"5490","ENC1","enc1"
"5491","KLHL25","enc2"
"5492","ENDOG","endog"
"5493","ENDOU","endou"
"5494","ENGASE","engase"
"5495","ENKUR","enkur"
"5496","ENO1","eno1a"
"5497","ENO2","eno2"
"5498","ENO3","eno3"
"5499","ENO4","eno4"
"5500","ENOPH1","enoph1"
"5501","ENOSF1","enosf1"
"5502","ENOX1","enox1"
"5503","ENPEP","enpep"
"5504","ENPP1","enpp1"
"5505","ENPP2","enpp2"
"5506","ENPP4","enpp4"
"5507","ENPP5","enpp5"
"5508","ENPP6","enpp6"
"5509","ENPP7","enpp7.1"
"5510","ENPP7","enpp7.2"
"5511","ENSA","ensaa"
"5512","ENSA","ensab"
"5513","ENTPD1","entpd1"
"5514","ENTPD2","entpd2a.1"
"5515","ENTPD2","entpd2a.2"
"5516","ENTPD2","entpd2b"
"5517","ENTPD3","entpd3"
"5518","ENTPD4","entpd4"
"5519","ENTPD5","entpd5a"
"5520","ENTPD5","entpd5b"
"5521","ENTPD6","entpd6"
"5522","ENTPD8","entpd8"
"5523","ENTR1","entr1"
"5524","ENY2","eny2"
"5525","EOGT","eogt"
"5526","EOMES","eomesa"
"5527","EOMES","eomesb"
"5528","EP300","ep300a"
"5529","EP300","ep300b"
"5530","EP400","ep400"
"5531","EPAS1","epas1a"
"5532","EPAS1","epas1b"
"5533","EPB41","epb41a"
"5534","EPB41L3","epb41l3a"
"5535","EPB41L3","epb41l3b"
"5536","EPB41L4A","epb41l4a"
"5537","EPB41L4B","epb41l4b"
"5538","EPB41L5","epb41l5"
"5539","EPC1","epc1a"
"5540","EPC1","epc1b"
"5541","EPC2","epc2"
"5542","TACSTD2","epcam"
"5543","EPDR1","epd"
"5544","EPDR1","epdl1"
"5545","EPDR1","epdl2"
"5546","EPDR1","epdr1"
"5547","EPG5","epg5"
"5548","EPHA3","epha3"
"5549","EPHA4","epha4a"
"5550","EPHA4","epha4l"
"5551","EPHA6","epha6"
"5552","EPHB1","ephb1"
"5553","EPHB2","ephb2a"
"5554","EPHB2","ephb2b"
"5555","EPHB3","ephb3a"
"5556","EPHB4","ephb4b"
"5557","EPHX1","ephx1"
"5558","EPHX2","ephx2"
"5559","EPHX4","ephx4"
"5560","EPHX1","ephx5"
"5561","EPM2A","epm2a"
"5562","EPN1","epn1"
"5563","EPN2","epn2"
"5564","EPN3","epn3a"
"5565","EPN3","epn3b"
"5566","EPO","epoa"
"5567","EPO","epob"
"5568","EPOR","epor"
"5569","EPRS1","eprs1"
"5570","EPS15","eps15"
"5571","EPS15L1","eps15l1a"
"5572","EPS8","eps8a"
"5573","EPS8L2","eps8b"
"5574","EPS8L1","eps8l1a"
"5575","EPS8L1","eps8l1b"
"5576","EPS8L2","eps8l2"
"5577","EPS8L3","eps8l3a"
"5578","EPS8L3","eps8l3b"
"5579","MPO","epx"
"5580","EPYC","epyc"
"5581","ERAL1","eral1"
"5582","ERAP1","erap1a"
"5583","ERAP1","erap1b"
"5584","ERAP2","erap2"
"5585","ERBB2","erbb2"
"5586","ERBB3","erbb3a"
"5587","ERBB3","erbb3b"
"5588","ERBB4","erbb4a"
"5589","ERBIN","erbin"
"5590","ERC1","erc1a"
"5591","ERC1","erc1b"
"5592","ERC2","erc2"
"5593","ERCC1","ercc1"
"5594","ERCC2","ercc2"
"5595","ERCC3","ercc3"
"5596","ERCC4","ercc4"
"5597","ERCC6","ercc6"
"5598","ERCC6L","ercc6l"
"5599","ERCC8","ercc8"
"5600","ERF","erf"
"5601","ERF","erfl3"
"5602","ERG","erg"
"5603","ERGIC2","ergic2"
"5604","ERGIC1","ergic3"
"5605","ERH","erh"
"5606","ERI1","eri1"
"5607","ERI2","eri2"
"5608","ERICH2","erich2"
"5609","ERICH3","erich3"
"5610","ERLEC1","erlec1"
"5611","ERLIN1","erlin1"
"5612","ERLIN2","erlin2"
"5613","ERN2","ern1"
"5614","ERO1A","ero1a"
"5615","ERO1B","ero1b"
"5616","ERP44","erp44"
"5617","ERRFI1","errfi1a"
"5618","ESAM","esama"
"5619","ESAM","esamb"
"5620","ESCO1","esco1"
"5621","ESCO2","esco2"
"5622","ESD","esd"
"5623","ESF1","esf1"
"5624","ESM1","esm1"
"5625","ESPL1","espl1"
"5626","ESPN","espn"
"5627","ESPNL","espnla"
"5628","ESPNL","espnlb"
"5629","ESR1","esr1"
"5630","ESR2","esr2a"
"5631","ESR2","esr2b"
"5632","ESRP1","esrp1"
"5633","ESRP2","esrp2"
"5634","ESRRA","esrra"
"5635","ESRRG","esrrga"
"5636","ESRRG","esrrgb"
"5637","ESS2","ess2"
"5638","ESYT1","esyt1a"
"5639","ESYT1","esyt1b"
"5640","ESYT2","esyt2a"
"5641","ESYT2","esyt2b"
"5642","ESYT3","esyt3"
"5643","ETAA1","etaa1"
"5644","ETF1","etf1a"
"5645","ETF1","etf1b"
"5646","ETFA","etfa"
"5647","ETFB","etfb"
"5648","ETFDH","etfdh"
"5649","ETHE1","ethe1"
"5650","ETNK1","etnk1"
"5651","ETNK2","etnk2"
"5652","ETNPPL","etnppl"
"5653","ETS1","ets1"
"5654","ETV1","etv1"
"5655","ETV4","etv4"
"5656","ETV7","etv7"
"5657","EVA1B","eva1bb"
"5658","EVA1C","eva1c"
"5659","EVI5","evi5b"
"5660","EVL","evla"
"5661","EVL","evlb"
"5662","EVPLL","evpla"
"5663","EVPLL","evplb"
"5664","EVX1","evx1"
"5665","EVX2","evx2"
"5666","EWSR1","ewsr1a"
"5667","EWSR1","ewsr1b"
"5668","EXD1","exd1"
"5669","EXD2","exd2"
"5670","EXD3","exd3"
"5671","EXO1","exo1"
"5672","EXO5","exo5"
"5673","EXOC1","exoc1"
"5674","EXOC2","exoc2"
"5675","EXOC3","exoc3"
"5676","EXOC3L1","exoc3l1"
"5677","EXOC3L2","exoc3l2a"
"5678","EXOC3L2","exoc3l2b"
"5679","EXOC3L4","exoc3l4"
"5680","EXOC4","exoc4"
"5681","EXOC5","exoc5"
"5682","EXOC6","exoc6"
"5683","EXOC6B","exoc6b"
"5684","EXOC7","exoc7"
"5685","EXOC8","exoc8"
"5686","RHO","exorh"
"5687","EXOSC1","exosc1"
"5688","EXOSC10","exosc10"
"5689","EXOSC2","exosc2"
"5690","EXOSC3","exosc3"
"5691","EXOSC4","exosc4"
"5692","EXOSC5","exosc5"
"5693","EXOSC6","exosc6"
"5694","EXOSC7","exosc7"
"5695","EXOSC8","exosc8"
"5696","EXOSC9","exosc9"
"5697","EXT1","ext1a"
"5698","EXT1","ext1b"
"5699","EXTL1","ext1c"
"5700","EXT2","ext2"
"5701","EXTL2","extl2"
"5702","EXTL3","extl3"
"5703","EYA1","eya1"
"5704","EYA2","eya2"
"5705","EYA3","eya3"
"5706","EYA4","eya4"
"5707","EZH1","ezh1"
"5708","EZH2","ezh2"
"5709","EZR","ezra"
"5710","EZR","ezrb"
"5711","F10","f10"
"5712","F11R","f11r.1"
"5713","F11R","f11r.2"
"5714","F13A1","f13a1b"
"5715","F13B","f13b"
"5716","F2R","f2r"
"5717","F2RL1","f2rl1.1"
"5718","F2RL1","f2rl1.2"
"5719","F2RL2","f2rl2"
"5720","F3","f3a"
"5721","F5","f5"
"5722","F7","f7"
"5723","F7","f7i"
"5724","HEPHL1","f8"
"5725","KLK10","f9a"
"5726","F9","f9b"
"5727","FA2H","fa2h"
"5728","FAAH2","faah2a"
"5729","FAAH2","faah2b"
"5730","FAAP100","faap100"
"5731","FAAP24","faap24"
"5732","FABP12","fabp11a"
"5733","FABP12","fabp11b"
"5734","FABP1","fabp1a"
"5735","FABP1","fabp1b.1"
"5736","FABP1","fabp1b.2"
"5737","FABP2","fabp2"
"5738","FABP3","fabp3"
"5739","FABP6","fabp6"
"5740","FABP7","fabp7a"
"5741","FADD","fadd"
"5742","FADS2","fads2"
"5743","FAF1","faf1"
"5744","FAF2","faf2"
"5745","FAH","fah"
"5746","FAHD1","fahd1"
"5747","FAIM2","faim2b"
"5748","FAIM","faima"
"5749","FAIM","faimb"
"5750","EEIG1","fam102aa"
"5751","EEIG1","fam102ab"
"5752","EEIG2","fam102ba"
"5753","EEIG2","fam102bb"
"5754","FAM107B","fam107b"
"5755","FAM110A","fam110a"
"5756","FAM110B","fam110b"
"5757","FAM110C","fam110c"
"5758","PCED1A","fam113"
"5759","FAM114A1","fam114a1"
"5760","FAM114A2","fam114a2"
"5761","FAM117A","fam117aa"
"5762","FAM117A","fam117ab"
"5763","FAM117B","fam117ba"
"5764","FAM117B","fam117bb"
"5765","FAM118B","fam118b"
"5766","FAM120A","fam120a"
"5767","FAM120B","fam120b"
"5768","FAM120C","fam120c"
"5769","PABIR1","fam122b"
"5770","FAM124B","fam124b"
"5771","HYCC1","fam126a"
"5772","FAM131B","fam131ba"
"5773","FAM131B","fam131bb"
"5774","FAM131C","fam131c"
"5775","FAM133B","fam133b"
"5776","FAM135A","fam135a"
"5777","FAM136A","fam136a"
"5778","FAM13A","fam13a"
"5779","FAM13B","fam13b"
"5780","FAM149A","fam149a"
"5781","FAM149B1","fam149b1"
"5782","FAM151A","fam151a"
"5783","FAM151B","fam151b"
"5784","NALF1","fam155a"
"5785","NALF2","fam155b"
"5786","FHIP1A","fam160a1a"
"5787","FHIP1A","fam160a1b"
"5788","FHIP1B","fam160a2"
"5789","FHIP2A","fam160b1"
"5790","FHIP2B","fam160b2"
"5791","FAM161A","fam161a"
"5792","FAM161B","fam161b"
"5793","FAM162B","fam162a"
"5794","FAM163B","fam163ba"
"5795","CIMIP2B","fam166b"
"5796","FAM167A","fam167aa"
"5797","FAM167A","fam167ab"
"5798","FAM167B","fam167b"
"5799","FAM168A","fam168a"
"5800","FAM168B","fam168b"
"5801","FAM169A","fam169aa"
"5802","FAM169A","fam169ab"
"5803","FAM171A1","fam171a1"
"5804","FAM171A2","fam171a2a"
"5805","FAM171A2","fam171a2b"
"5806","FAM172A","fam172a"
"5807","FAM174B","fam174b"
"5808","FAM177A1","fam177a1"
"5809","CFAP144","fam183a"
"5810","FAM184A","fam184a"
"5811","FAM184B","fam184b"
"5812","FAM185A","fam185a"
"5813","ENTREP2","fam189a1"
"5814","ENTREP1","fam189a2"
"5815","FAM193A","fam193a"
"5816","FAM193B","fam193b"
"5817","FAM199X","fam199x"
"5818","FAM204A","fam204a"
"5819","SLX9","fam207a"
"5820","FAM20A","fam20a"
"5821","FAM20B","fam20b"
"5822","FAM20C","fam20ca"
"5823","FAM20C","fam20cb"
"5824","FAM210A","fam210aa"
"5825","FAM210A","fam210ab"
"5826","FAM210B","fam210b"
"5827","ATOSA","fam214a"
"5828","ATOSB","fam214b"
"5829","FAM217A","fam217b"
"5830","FAM219A","fam219aa"
"5831","FAM219A","fam219ab"
"5832","FAM219B","fam219b"
"5833","FAM221A","fam221a"
"5834","FAM222A","fam222a"
"5835","FAM222B","fam222ba"
"5836","FAM222B","fam222bb"
"5837","FAM228B","fam228a"
"5838","FAM234A","fam234a"
"5839","FAM234B","fam234b"
"5840","FAM241A","fam241a"
"5841","FAM32A","fam32a"
"5842","FAM3A","fam3a"
"5843","FAM3C","fam3c"
"5844","FAM43A","fam43a"
"5845","FAM43B","fam43b"
"5846","CYRIA","fam49a"
"5847","CYRIB","fam49ba"
"5848","CYRIB","fam49bb"
"5849","FAM50A","fam50a"
"5850","FAM53B","fam53b"
"5851","FAM76B","fam76b"
"5852","FAM78A","fam78ab"
"5853","FAM78B","fam78ba"
"5854","FAM78B","fam78bb"
"5855","FAM81B","fam81b"
"5856","FAM83B","fam83b"
"5857","FAM83C","fam83c"
"5858","FAM83D","fam83d"
"5859","FAM83F","fam83e"
"5860","FAM83F","fam83fa"
"5861","FAM83F","fam83fb"
"5862","FAM83H","fam83ha"
"5863","FAM83H","fam83hb"
"5864","FAM89A","fam89a"
"5865","FAM89B","fam89b"
"5866","FAM8A1","fam8a1a"
"5867","FAM8A1","fam8a1b"
"5868","FAM91A1","fam91a1"
"5869","CIBAR1","fam92a1"
"5870","FAM98A","fam98a"
"5871","FAN1","fan1"
"5872","FANCA","fanca"
"5873","FANCB","fancb"
"5874","FANCC","fancc"
"5875","FANCD2","fancd2"
"5876","FANCE","fance"
"5877","FANCF","fancf"
"5878","FANCG","fancg"
"5879","FANCI","fanci"
"5880","FANCL","fancl"
"5881","FANK1","fank1"
"5882","FAR1","far1"
"5883","FARP2","farp2"
"5884","FARS2","fars2"
"5885","FARSA","farsa"
"5886","FARSB","farsb"
"5887","FASLG","faslg"
"5888","FASN","fasn"
"5889","FASTK","fastk"
"5890","FASTKD1","fastkd1"
"5891","FASTKD2","fastkd2"
"5892","FASTKD3","fastkd3"
"5893","FAT1","fat1a"
"5894","FAT1","fat1b"
"5895","FAT2","fat2"
"5896","FAT3","fat3a"
"5897","FAT3","fat3b"
"5898","FAU","faua"
"5899","FAXC","faxca"
"5900","FAXC","faxcb"
"5901","FAXDC2","faxdc2"
"5902","FBLL1","fbl"
"5903","FBLIM1","fblim1"
"5904","FBLN1","fbln1"
"5905","FBLN2","fbln2"
"5906","FBLN5","fbln5"
"5907","FBLN7","fbln7"
"5908","FBN2","fbn2a"
"5909","FBP2","fbp2"
"5910","FBRS","fbrs"
"5911","FBRSL1","fbrsl1"
"5912","FBXL13","fbxl13"
"5913","FBXL14","fbxl14a"
"5914","FBXL14","fbxl14b"
"5915","FBXL15","fbxl15"
"5916","FBXL16","fbxl16"
"5917","FBXL17","fbxl17"
"5918","FBXL18","fbxl18"
"5919","FBXL2","fbxl2"
"5920","FBXL20","fbxl20"
"5921","FBXL22","fbxl22"
"5922","FBXL3","fbxl3a"
"5923","FBXL4","fbxl4"
"5924","FBXL5","fbxl5"
"5925","FBXL19","fbxl6"
"5926","FBXL7","fbxl7"
"5927","FBXL8","fbxl8"
"5928","FBXO10","fbxo10"
"5929","FBXO11","fbxo11a"
"5930","FBXO15","fbxo15"
"5931","FBXO16","fbxo16"
"5932","FBH1","fbxo18"
"5933","FBXO21","fbxo21"
"5934","FBXO22","fbxo22"
"5935","FBXO25","fbxo25"
"5936","FBXO28","fbxo28"
"5937","FBXO3","fbxo3"
"5938","FBXO30","fbxo30a"
"5939","FBXO31","fbxo31"
"5940","FBXO32","fbxo32"
"5941","FBXO33","fbxo33"
"5942","FBXO34","fbxo34"
"5943","FBXO36","fbxo36a"
"5944","FBXO36","fbxo36b"
"5945","FBXO38","fbxo38"
"5946","FBXO4","fbxo4"
"5947","FBXO40","fbxo40.1"
"5948","FBXO40","fbxo40.2"
"5949","FBXO41","fbxo41"
"5950","FBXO42","fbxo42"
"5951","FBXO43","fbxo43"
"5952","FBXO44","fbxo44"
"5953","FBXO45","fbxo45"
"5954","FBXO5","fbxo5"
"5955","FBXO7","fbxo7"
"5956","FBXO8","fbxo8"
"5957","FBXO9","fbxo9"
"5958","FBXW10B","fbxw10"
"5959","FBXW11","fbxw11a"
"5960","FBXW11","fbxw11b"
"5961","FBXW2","fbxw2"
"5962","FBXW4","fbxw4"
"5963","FBXW5","fbxw5"
"5964","FBXW7","fbxw7"
"5965","FBXW8","fbxw8"
"5966","FBXW9","fbxw9"
"5967","FCF1","fcf1"
"5968","FCHO1","fcho1"
"5969","FCHO2","fcho2"
"5970","FDFT1","fdft1"
"5971","FDPS","fdps"
"5972","FDX2","fdx2"
"5973","FDXACB1","fdxacb1"
"5974","FDXR","fdxr"
"5975","FECH","fech"
"5976","FEM1C","fem1c"
"5977","FEN1","fen1"
"5978","FER","fer"
"5979","FER1L6","fer1l6"
"5980","FERD3L","ferd3l"
"5981","FERMT1","fermt1"
"5982","FERMT2","fermt2"
"5983","FERMT3","fermt3a"
"5984","FERMT3","fermt3b"
"5985","FES","fes"
"5986","HRG","fetub"
"5987","FEV","fev"
"5988","FEZ1","fez1"
"5989","FEZF1","fezf1"
"5990","FEZF2","fezf2"
"5991","FGB","fgb"
"5992","FGD1","fgd1"
"5993","FGD4","fgd4a"
"5994","FGD4","fgd4b"
"5995","FGD5","fgd5a"
"5996","FGD5","fgd5b"
"5997","FGD6","fgd6"
"5998","FGF10","fgf10a"
"5999","FGF10","fgf10b"
"6000","FGF11","fgf11a"
"6001","FGF11","fgf11b"
"6002","FGF12","fgf12a"
"6003","FGF12","fgf12b"
"6004","FGF13","fgf13a"
"6005","FGF14","fgf14"
"6006","FGF16","fgf16"
"6007","FGF18","fgf18a"
"6008","FGF18","fgf18b"
"6009","FGF19","fgf19"
"6010","FGF20","fgf20a"
"6011","FGF20","fgf20b"
"6012","FGF22","fgf22"
"6013","FGF23","fgf23"
"6014","FGF3","fgf3"
"6015","FGF4","fgf4"
"6016","FGF5","fgf5"
"6017","FGF6","fgf6a"
"6018","FGF6","fgf6b"
"6019","FGF7","fgf7"
"6020","FGF8","fgf8a"
"6021","FGF8","fgf8b"
"6022","FGFBP1","fgfbp1b"
"6023","FGFBP2","fgfbp2a"
"6024","FGFBP2","fgfbp2b"
"6025","FGFBP3","fgfbp3"
"6026","FGFR1","fgfr1a"
"6027","FGFR1","fgfr1b"
"6028","FGFR1","fgfr1bl"
