"","human_gene","horse_gene"
"2358","CEP162","CEP162"
"2359","CEP164","CEP164"
"2360","CEP170","CEP170"
"2361","CEP170B","CEP170B"
"2362","CEP19","CEP19"
"2363","CEP192","CEP192"
"2364","CEP20","CEP20"
"2365","CEP250","CEP250"
"2366","CEP290","CEP290"
"2367","CEP295","CEP295"
"2368","CEP350","CEP350"
"2369","CEP41","CEP41"
"2370","CEP43","CEP43"
"2371","CEP44","CEP44"
"2372","CEP55","CEP55"
"2373","CEP57","CEP57"
"2374","CEP57L1","CEP57L1"
"2375","CEP63","CEP63"
"2376","CEP68","CEP68"
"2377","CEP70","CEP70"
"2378","CEP72","CEP72"
"2379","CEP76","CEP76"
"2380","CEP78","CEP78"
"2381","CEP83","CEP83"
"2382","CEP85","CEP85"
"2383","CEP85L","CEP85L"
"2384","CEP89","CEP89"
"2385","CEP95","CEP95"
"2386","CEP97","CEP97"
"2387","CEPT1","CEPT1"
"2388","CER1","CER1"
"2389","CERCAM","CERCAM"
"2390","CERK","CERK"
"2391","CERKL","CERKL"
"2392","CERS1","CERS1"
"2393","CERS2","CERS2"
"2394","CERS3","CERS3"
"2395","CERS4","CERS4"
"2396","CERS5","CERS5"
"2397","CERS6","CERS6"
"2398","CERT1","CERT1"
"2399","CES3","CES3"
"2400","CES5A","CES5A"
"2401","CETN1","CETN1"
"2402","CETN2","CETN2"
"2403","CETN3","CETN3"
"2404","CFAP100","CFAP100"
"2405","CFAP107","CFAP107"
"2406","CFAP119","CFAP119"
"2407","CFAP126","CFAP126"
"2408","CFAP144","CFAP144"
"2409","CFAP157","CFAP157"
"2410","CFAP161","CFAP161"
"2411","CFAP20","CFAP20"
"2412","CFAP206","CFAP206"
"2413","CFAP20DC","CFAP20DC"
"2414","CFAP210","CFAP210"
"2415","CFAP251","CFAP251"
"2416","CFAP276","CFAP276"
"2417","CFAP298","CFAP298"
"2418","CFAP299","CFAP299"
"2419","CFAP300","CFAP300"
"2420","CFAP36","CFAP36"
"2421","CFAP43","CFAP43"
"2422","CFAP44","CFAP44"
"2423","CFAP45","CFAP45"
"2424","CFAP46","CFAP46"
"2425","CFAP52","CFAP52"
"2426","CFAP54","CFAP54"
"2427","CFAP57","CFAP57"
"2428","CFAP58","CFAP58"
"2429","CFAP61","CFAP61"
"2430","CFAP65","CFAP65"
"2431","CFAP68","CFAP68"
"2432","CFAP69","CFAP69"
"2433","CFAP70","CFAP70"
"2434","CFAP73","CFAP73"
"2435","CFAP74","CFAP74"
"2436","CFAP77","CFAP77"
"2437","CFAP90","CFAP90"
"2438","CFAP91","CFAP91"
"2439","CFAP92","CFAP92"
"2440","CFAP95","CFAP95"
"2441","CFAP97","CFAP97"
"2442","CFAP97D1","CFAP97D1"
"2443","CFAP99","CFAP99"
"2444","CFB","CFB"
"2445","CFD","CFD"
"2446","CFDP1","CFDP1"
"2447","CFI","CFI"
"2448","CFL1","CFL1"
"2449","CFL2","CFL2"
"2450","CFLAR","CFLAR"
"2451","CFP","CFP"
"2452","CFTR","CFTR"
"2453","CGA","CGA"
"2454","CGAS","CGAS"
"2455","CGGBP1","CGGBP1"
"2456","CGNL1","CGNL1"
"2457","CGREF1","CGREF1"
"2458","CGRRF1","CGRRF1"
"2459","CH25H","CH25H"
"2460","CHAC1","CHAC1"
"2461","CHAC2","CHAC2"
"2462","CHAD","CHAD"
"2463","CHADL","CHADL"
"2464","CHAF1A","CHAF1A"
"2465","CHAF1B","CHAF1B"
"2466","CHAMP1","CHAMP1"
"2467","CHAT","CHAT"
"2468","CHCHD10","CHCHD10"
"2469","CHCHD2","CHCHD2"
"2470","CHCHD3","CHCHD3"
"2471","CHCHD4","CHCHD4"
"2472","CHCHD5","CHCHD5"
"2473","CHCHD6","CHCHD6"
"2474","CHCHD7","CHCHD7"
"2475","CHCT1","CHCT1"
"2476","CHD1","CHD1"
"2477","CHD1L","CHD1L"
"2478","CHD2","CHD2"
"2479","CHD3","CHD3"
"2480","CHD4","CHD4"
"2481","CHD5","CHD5"
"2482","CHD6","CHD6"
"2483","CHD7","CHD7"
"2484","CHD8","CHD8"
"2485","CHD9","CHD9"
"2486","CHDH","CHDH"
"2487","CHEK1","CHEK1"
"2488","CHEK2","CHEK2"
"2489","CHERP","CHERP"
"2490","CHFR","CHFR"
"2491","CHGA","CHGA"
"2492","CHGB","CHGB"
"2493","CHI3L1","CHI3L1"
"2494","CHI3L2","CHI3L2"
"2495","CHIC1","CHIC1"
"2496","CHIC2","CHIC2"
"2497","CHID1","CHID1"
"2498","CHIT1","CHIT1"
"2499","CHKA","CHKA"
"2500","CHKB","CHKB"
"2501","CHL1","CHL1"
"2502","CHM","CHM"
"2503","CHML","CHML"
"2504","CHMP1A","CHMP1A"
"2505","CHMP1B","CHMP1B"
"2506","CHMP2B","CHMP2B"
"2507","CHMP3","CHMP3"
"2508","CHMP4A","CHMP4A"
"2509","CHMP4B","CHMP4B"
"2510","CHMP4C","CHMP4C"
"2511","CHMP5","CHMP5"
"2512","CHMP6","CHMP6"
"2513","CHMP7","CHMP7"
"2514","CHN1","CHN1"
"2515","CHN2","CHN2"
"2516","CHODL","CHODL"
"2517","CHORDC1","CHORDC1"
"2518","CHP1","CHP1"
"2519","CHP2","CHP2"
"2520","CHPF","CHPF"
"2521","CHPF2","CHPF2"
"2522","CHPT1","CHPT1"
"2523","CHRAC1","CHRAC1"
"2524","CHRD","CHRD"
"2525","CHRDL1","CHRDL1"
"2526","CHRDL2","CHRDL2"
"2527","CHRM1","CHRM1"
"2528","CHRM2","CHRM2"
"2529","CHRM3","CHRM3"
"2530","CHRM4","CHRM4"
"2531","CHRM5","CHRM5"
"2532","CHRNA1","CHRNA1"
"2533","CHRNA10","CHRNA10"
"2534","CHRNA2","CHRNA2"
"2535","CHRNA3","CHRNA3"
"2536","CHRNA4","CHRNA4"
"2537","CHRNA5","CHRNA5"
"2538","CHRNA6","CHRNA6"
"2539","CHRNA9","CHRNA9"
"2540","CHRNB1","CHRNB1"
"2541","CHRNB2","CHRNB2"
"2542","CHRNB3","CHRNB3"
"2543","CHRNB4","CHRNB4"
"2544","CHRND","CHRND"
"2545","CHRNE","CHRNE"
"2546","CHRNG","CHRNG"
"2547","CHST1","CHST1"
"2548","CHST10","CHST10"
"2549","CHST11","CHST11"
"2550","CHST12","CHST12"
"2551","CHST13","CHST13"
"2552","CHST14","CHST14"
"2553","CHST15","CHST15"
"2554","CHST2","CHST2"
"2555","CHST3","CHST3"
"2556","CHST4","CHST4"
"2557","CHST7","CHST7"
"2558","CHST8","CHST8"
"2559","CHST9","CHST9"
"2560","CHSY1","CHSY1"
"2561","CHSY3","CHSY3"
"2562","CHTF18","CHTF18"
"2563","CHTOP","CHTOP"
"2564","CHUK","CHUK"
"2565","CIAO1","CIAO1"
"2566","CIAO2A","CIAO2A"
"2567","CIAO2B","CIAO2B"
"2568","CIAO3","CIAO3"
"2569","CIAPIN1","CIAPIN1"
"2570","CIART","CIART"
"2571","CIB1","CIB1"
"2572","CIB2","CIB2"
"2573","CIB4","CIB4"
"2574","CIBAR1","CIBAR1"
"2575","CIBAR2","CIBAR2"
"2576","CIC","CIC"
"2577","CIDEA","CIDEA"
"2578","CIDEC","CIDEC"
"2579","CIITA","CIITA"
"2580","CILK1","CILK1"
"2581","CILP","CILP"
"2582","CILP2","CILP2"
"2583","CIMAP1A","CIMAP1A"
"2584","CIMAP1B","CIMAP1B"
"2585","CIMAP1C","CIMAP1C"
"2586","CIMAP1D","CIMAP1D"
"2587","CIMAP2","CIMAP2"
"2588","CIMAP3","CIMAP3"
"2589","CIMIP1","CIMIP1"
"2590","CIMIP2A","CIMIP2A"
"2591","CIMIP2B","CIMIP2B"
"2592","CIMIP4","CIMIP4"
"2593","CINP","CINP"
"2594","CIP2A","CIP2A"
"2595","CIPC","CIPC"
"2596","CIR1","CIR1"
"2597","CIRBP","CIRBP"
"2598","CIROP","CIROP"
"2599","CISD1","CISD1"
"2600","CISD2","CISD2"
"2601","CISD3","CISD3"
"2602","CISH","CISH"
"2603","CIST1","CIST1"
"2604","CIT","CIT"
"2605","CITED1","CITED1"
"2606","CITED2","CITED2"
"2607","CITED4","CITED4"
"2608","CIZ1","CIZ1"
"2609","CKAP2","CKAP2"
"2610","CKAP2L","CKAP2L"
"2611","CKAP4","CKAP4"
"2612","CKAP5","CKAP5"
"2613","CKB","CKB"
"2614","CKLF","CKLF"
"2615","CKM","CKM"
"2616","CKMT2","CKMT2"
"2617","CKS1B","CKS1B"
"2618","CLASP1","CLASP1"
"2619","CLASP2","CLASP2"
"2620","CLASRP","CLASRP"
"2621","CLBA1","CLBA1"
"2622","CLCA1","CLCA1"
"2623","CLCA2","CLCA2"
"2624","CLCC1","CLCC1"
"2625","CLCF1","CLCF1"
"2626","CLCN1","CLCN1"
"2627","CLCN2","CLCN2"
"2628","CLCN3","CLCN3"
"2629","CLCN4","CLCN4"
"2630","CLCN5","CLCN5"
"2631","CLCN6","CLCN6"
"2632","CLCN7","CLCN7"
"2633","CLDN1","CLDN1"
"2634","CLDN10","CLDN10"
"2635","CLDN11","CLDN11"
"2636","CLDN12","CLDN12"
"2637","CLDN14","CLDN14"
"2638","CLDN15","CLDN15"
"2639","CLDN16","CLDN16"
"2640","CLDN17","CLDN17"
"2641","CLDN18","CLDN18"
"2642","CLDN19","CLDN19"
"2643","CLDN2","CLDN2"
"2644","CLDN20","CLDN20"
"2645","CLDN23","CLDN23"
"2646","CLDN25","CLDN25"
"2647","CLDN3","CLDN3"
"2648","CLDN34","CLDN34"
"2649","CLDN4","CLDN4"
"2650","CLDN5","CLDN5"
"2651","CLDN7","CLDN7"
"2652","CLDN8","CLDN8"
"2653","CLDN9","CLDN9"
"2654","CLDND1","CLDND1"
"2655","CLEC10A","CLEC10A"
"2656","CLEC11A","CLEC11A"
"2657","CLEC12A","CLEC12A"
"2658","CLEC14A","CLEC14A"
"2659","CLEC16A","CLEC16A"
"2660","CLEC17A","CLEC17A"
"2661","CLEC1A","CLEC1A"
"2662","CLEC1B","CLEC1B"
"2663","CLEC2B","CLEC2B"
"2664","CLEC2D","CLEC2D"
"2665","CLEC2L","CLEC2L"
"2666","CLEC3A","CLEC3A"
"2667","CLEC3B","CLEC3B"
"2668","CLEC4D","CLEC4D"
"2669","CLEC4E","CLEC4E"
"2670","CLEC4F","CLEC4F"
"2671","CLEC5A","CLEC5A"
"2672","CLEC6A","CLEC6A"
"2673","CLEC9A","CLEC9A"
"2674","CLGN","CLGN"
"2675","CLHC1","CLHC1"
"2676","CLIC1","CLIC1"
"2677","CLIC2","CLIC2"
"2678","CLIC3","CLIC3"
"2679","CLIC4","CLIC4"
"2680","CLIC5","CLIC5"
"2681","CLIC6","CLIC6"
"2682","CLINT1","CLINT1"
"2683","CLIP1","CLIP1"
"2684","CLIP2","CLIP2"
"2685","CLIP3","CLIP3"
"2686","CLIP4","CLIP4"
"2687","CLK1","CLK1"
"2688","CLK2","CLK2"
"2689","CLK3","CLK3"
"2690","CLK4","CLK4"
"2691","CLMN","CLMN"
"2692","CLMP","CLMP"
"2693","CLN3","CLN3"
"2694","CLN5","CLN5"
"2695","CLN6","CLN6"
"2696","CLN8","CLN8"
"2697","CLNK","CLNK"
"2698","CLNS1A","CLNS1A"
"2699","CLOCK","CLOCK"
"2700","CLP1","CLP1"
"2701","CLPB","CLPB"
"2702","CLPP","CLPP"
"2703","CLPS","CLPS"
"2704","CLPSL2","CLPSL2"
"2705","CLPTM1","CLPTM1"
"2706","CLPTM1L","CLPTM1L"
"2707","CLPX","CLPX"
"2708","CLRN1","CLRN1"
"2709","CLRN2","CLRN2"
"2710","CLRN3","CLRN3"
"2711","CLSPN","CLSPN"
"2712","CLSTN1","CLSTN1"
"2713","CLSTN2","CLSTN2"
"2714","CLSTN3","CLSTN3"
"2715","CLTA","CLTA"
"2716","CLTB","CLTB"
"2717","CLTC","CLTC"
"2718","CLTCL1","CLTCL1"
"2719","CLTRN","CLTRN"
"2720","CLU","CLU"
"2721","CLUAP1","CLUAP1"
"2722","CLUH","CLUH"
"2723","CLUL1","CLUL1"
"2724","CLVS1","CLVS1"
"2725","CLVS2","CLVS2"
"2726","CLXN","CLXN"
"2727","CLYBL","CLYBL"
"2728","CMA1","CMA1"
"2729","CMAS","CMAS"
"2730","CMBL","CMBL"
"2731","CMC1","CMC1"
"2732","CMC2","CMC2"
"2733","CMIP","CMIP"
"2734","CMKLR1","CMKLR1"
"2735","CMKLR2","CMKLR2"
"2736","CMPK1","CMPK1"
"2737","CMPK2","CMPK2"
"2738","CMSS1","CMSS1"
"2739","CMTM2","CMTM2"
"2740","CMTM3","CMTM3"
"2741","CMTM4","CMTM4"
"2742","CMTM5","CMTM5"
"2743","CMTM6","CMTM6"
"2744","CMTM7","CMTM7"
"2745","CMTM8","CMTM8"
"2746","CMTR1","CMTR1"
"2747","CMTR2","CMTR2"
"2748","CMYA5","CMYA5"
"2749","CNBD1","CNBD1"
"2750","CNBD2","CNBD2"
"2751","CNDP1","CNDP1"
"2752","CNDP2","CNDP2"
"2753","CNFN","CNFN"
"2754","CNGA1","CNGA1"
"2755","CNGA2","CNGA2"
"2756","CNGA3","CNGA3"
"2757","CNGA4","CNGA4"
"2758","CNGB3","CNGB3"
"2759","CNIH1","CNIH1"
"2760","CNIH2","CNIH2"
"2761","CNIH3","CNIH3"
"2762","CNIH4","CNIH4"
"2763","CNKSR1","CNKSR1"
"2764","CNKSR2","CNKSR2"
"2765","CNKSR3","CNKSR3"
"2766","CNMD","CNMD"
"2767","CNN1","CNN1"
"2768","CNN2","CNN2"
"2769","CNN3","CNN3"
"2770","CNNM1","CNNM1"
"2771","CNNM2","CNNM2"
"2772","CNNM3","CNNM3"
"2773","CNNM4","CNNM4"
"2774","CNOT1","CNOT1"
"2775","CNOT10","CNOT10"
"2776","CNOT11","CNOT11"
"2777","CNOT2","CNOT2"
"2778","CNOT3","CNOT3"
"2779","CNOT4","CNOT4"
"2780","CNOT6","CNOT6"
"2781","CNOT6L","CNOT6L"
"2782","CNOT7","CNOT7"
"2783","CNOT8","CNOT8"
"2784","CNOT9","CNOT9"
"2785","CNP","CNP"
"2786","CNPPD1","CNPPD1"
"2787","CNPY3","CNPY3"
"2788","CNPY4","CNPY4"
"2789","CNR1","CNR1"
"2790","CNR2","CNR2"
"2791","CNTD1","CNTD1"
"2792","CNTFR","CNTFR"
"2793","CNTLN","CNTLN"
"2794","CNTN1","CNTN1"
"2795","CNTN2","CNTN2"
"2796","CNTN3","CNTN3"
"2797","CNTN4","CNTN4"
"2798","CNTN5","CNTN5"
"2799","CNTN6","CNTN6"
"2800","CNTNAP1","CNTNAP1"
"2801","CNTNAP2","CNTNAP2"
"2802","CNTNAP4","CNTNAP4"
"2803","CNTNAP5","CNTNAP5"
"2804","CNTRL","CNTRL"
"2805","CNTROB","CNTROB"
"2806","COA1","COA1"
"2807","COA7","COA7"
"2808","COA8","COA8"
"2809","COASY","COASY"
"2810","COBL","COBL"
"2811","COBLL1","COBLL1"
"2812","COCH","COCH"
"2813","COG1","COG1"
"2814","COG2","COG2"
"2815","COG3","COG3"
"2816","COG4","COG4"
"2817","COG5","COG5"
"2818","COG6","COG6"
"2819","COG7","COG7"
"2820","COG8","COG8"
"2821","COIL","COIL"
"2822","COL10A1","COL10A1"
"2823","COL11A1","COL11A1"
"2824","COL11A2","COL11A2"
"2825","COL12A1","COL12A1"
"2826","COL13A1","COL13A1"
"2827","COL14A1","COL14A1"
"2828","COL15A1","COL15A1"
"2829","COL16A1","COL16A1"
"2830","COL17A1","COL17A1"
"2831","COL18A1","COL18A1"
"2832","COL19A1","COL19A1"
"2833","COL1A1","COL1A1"
"2834","COL1A2","COL1A2"
"2835","COL20A1","COL20A1"
"2836","COL21A1","COL21A1"
"2837","COL22A1","COL22A1"
"2838","COL23A1","COL23A1"
"2839","COL24A1","COL24A1"
"2840","COL25A1","COL25A1"
"2841","COL26A1","COL26A1"
"2842","COL27A1","COL27A1"
"2843","COL28A1","COL28A1"
"2844","COL2A1","COL2A1"
"2845","COL3A1","COL3A1"
"2846","COL4A1","COL4A1"
"2847","COL4A2","COL4A2"
"2848","COL4A3","COL4A3"
"2849","COL4A4","COL4A4"
"2850","COL4A5","COL4A5"
"2851","COL4A6","COL4A6"
"2852","COL5A1","COL5A1"
"2853","COL5A2","COL5A2"
"2854","COL5A3","COL5A3"
"2855","COL6A1","COL6A1"
"2856","COL6A2","COL6A2"
"2857","COL6A3","COL6A3"
"2858","COL6A5","COL6A5"
"2859","COL6A6","COL6A6"
"2860","COL8A1","COL8A1"
"2861","COL8A2","COL8A2"
"2862","COL9A1","COL9A1"
"2863","COLEC10","COLEC10"
"2864","COLEC11","COLEC11"
"2865","COLEC12","COLEC12"
"2866","COLGALT1","COLGALT1"
"2867","COLGALT2","COLGALT2"
"2868","COLQ","COLQ"
"2869","COMMD1","COMMD1"
"2870","COMMD10","COMMD10"
"2871","COMMD2","COMMD2"
"2872","COMMD3","COMMD3"
"2873","COMMD4","COMMD4"
"2874","COMMD5","COMMD5"
"2875","COMMD6","COMMD6"
"2876","COMMD7","COMMD7"
"2877","COMMD8","COMMD8"
"2878","COMMD9","COMMD9"
"2879","COMP","COMP"
"2880","COMTD1","COMTD1"
"2881","COP1","COP1"
"2882","COPA","COPA"
"2883","COPB1","COPB1"
"2884","COPB2","COPB2"
"2885","COPE","COPE"
"2886","COPG1","COPG1"
"2887","COPG2","COPG2"
"2888","COPS2","COPS2"
"2889","COPS3","COPS3"
"2890","COPS4","COPS4"
"2891","COPS5","COPS5"
"2892","COPS6","COPS6"
"2893","COPS7A","COPS7A"
"2894","COPS7B","COPS7B"
"2895","COPS8","COPS8"
"2896","COPZ1","COPZ1"
"2897","COPZ2","COPZ2"
"2898","COQ10A","COQ10A"
"2899","COQ10B","COQ10B"
"2900","COQ2","COQ2"
"2901","COQ3","COQ3"
"2902","COQ4","COQ4"
"2903","COQ5","COQ5"
"2904","COQ6","COQ6"
"2905","COQ7","COQ7"
"2906","COQ8A","COQ8A"
"2907","NUMBL","COQ8B"
"2908","COQ9","COQ9"
"2909","CORIN","CORIN"
"2910","CORO1A","CORO1A"
"2911","CORO1B","CORO1B"
"2912","CORO1C","CORO1C"
"2913","CORO2A","CORO2A"
"2914","CORO2B","CORO2B"
"2915","CORO6","CORO6"
"2916","CORO7","CORO7"
"2917","COX10","COX10"
"2918","COX11","COX11"
"2919","COX15","COX15"
"2920","COX16","COX16"
"2921","COX18","COX18"
"2922","COX20","COX20"
"2923","COX4I1","COX4I1"
"2924","COX4I2","COX4I2"
"2925","COX5A","COX5A"
"2926","COX5B","COX5B"
"2927","COX6A1","COX6A1"
"2928","COX7A1","COX7A1"
"2929","COX7A2","COX7A2"
"2930","COX7A2L","COX7A2L"
"2931","COX7B","COX7B"
"2932","CP","CP"
"2933","CPA1","CPA1"
"2934","CPA3","CPA3"
"2935","CPA4","CPA4"
"2936","CPA5","CPA5"
"2937","CPA6","CPA6"
"2938","CPB1","CPB1"
"2939","CPB2","CPB2"
"2940","CPD","CPD"
"2941","CPE","CPE"
"2942","CPEB1","CPEB1"
"2943","CPEB2","CPEB2"
"2944","CPEB3","CPEB3"
"2945","CPEB4","CPEB4"
"2946","CPED1","CPED1"
"2947","CPLANE1","CPLANE1"
"2948","CPLX1","CPLX1"
"2949","CPLX2","CPLX2"
"2950","CPM","CPM"
"2951","CPN1","CPN1"
"2952","CPN2","CPN2"
"2953","CPNE1","CPNE1"
"2954","CPNE2","CPNE2"
"2955","CPNE3","CPNE3"
"2956","CPNE4","CPNE4"
"2957","CPNE5","CPNE5"
"2958","CPNE6","CPNE6"
"2959","CPNE7","CPNE7"
"2960","CPNE8","CPNE8"
"2961","CPNE9","CPNE9"
"2962","CPOX","CPOX"
"2963","CPPED1","CPPED1"
"2964","CPQ","CPQ"
"2965","CPS1","CPS1"
"2966","CPSF1","CPSF1"
"2967","CPSF2","CPSF2"
"2968","CPSF3","CPSF3"
"2969","CPSF4","CPSF4"
"2970","CPSF4L","CPSF4L"
"2971","CPSF6","CPSF6"
"2972","CPSF7","CPSF7"
"2973","CPT1A","CPT1A"
"2974","CPT1B","CPT1B"
"2975","CPT1C","CPT1C"
"2976","CPT2","CPT2"
"2977","CPTP","CPTP"
"2978","CPVL","CPVL"
"2979","CPXM1","CPXM1"
"2980","CPXM2","CPXM2"
"2981","CPZ","CPZ"
"2982","CRABP1","CRABP1"
"2983","CRABP2","CRABP2"
"2984","CRACD","CRACD"
"2985","CRACDL","CRACDL"
"2986","CRACR2A","CRACR2A"
"2987","CRACR2B","CRACR2B"
"2988","CRAMP1","CRAMP1"
"2989","CRAT","CRAT"
"2990","CRB1","CRB1"
"2991","CRB2","CRB2"
"2992","CRB3","CRB3"
"2993","CRBN","CRBN"
"2994","CRCP","CRCP"
"2995","CREB1","CREB1"
"2996","CREB3","CREB3"
"2997","CREB3L1","CREB3L1"
"2998","CREB3L2","CREB3L2"
"2999","CREB3L3","CREB3L3"
"3000","CREB3L4","CREB3L4"
"3001","CREB5","CREB5"
"3002","CREBBP","CREBBP"
"3003","CREBL2","CREBL2"
"3004","CREBRF","CREBRF"
"3005","CREBZF","CREBZF"
"3006","CREG1","CREG1"
"3007","CREG2","CREG2"
"3008","CRELD1","CRELD1"
"3009","CRELD2","CRELD2"
"3010","CREM","CREM"
"3011","CRH","CRH"
"3012","CRHBP","CRHBP"
"3013","CRHR1","CRHR1"
"3014","CRHR2","CRHR2"
"3015","CRIM1","CRIM1"
"3016","CRIP1","CRIP1"
"3017","CRIP2","CRIP2"
"3018","CRIP3","CRIP3"
"3019","CRISP1","CRISP1"
"3020","CRISP2","CRISP2"
"3021","CRISPLD1","CRISPLD1"
"3022","CRISPLD2","CRISPLD2"
"3023","CRK","CRK"
"3024","CRLF1","CRLF1"
"3025","CRLF3","CRLF3"
"3026","CRLS1","CRLS1"
"3027","CRMP1","CRMP1"
"3028","CRNKL1","CRNKL1"
"3029","CRNN","CRNN"
"3030","CROCC","CROCC"
"3031","CROCC2","CROCC2"
"3032","CROT","CROT"
"3033","CRP","CRP"
"3034","CRPPA","CRPPA"
"3035","CRTAC1","CRTAC1"
"3036","CRTAM","CRTAM"
"3037","CRTAP","CRTAP"
"3038","CRTC1","CRTC1"
"3039","CRTC2","CRTC2"
"3040","CRTC3","CRTC3"
"3041","CRX","CRX"
"3042","CRY1","CRY1"
"3043","CRYAB","CRYAB"
"3044","CRYBA1","CRYBA1"
"3045","CRYBA2","CRYBA2"
"3046","CRYBA4","CRYBA4"
"3047","CRYBB1","CRYBB1"
"3048","CRYBB2","CRYBB2"
"3049","CRYBB3","CRYBB3"
"3050","CRYBG1","CRYBG1"
"3051","CRYBG2","CRYBG2"
"3052","CRYBG3","CRYBG3"
"3053","CRYGC","CRYGA"
"3054","CRYGA","CRYGB"
"3055","CRYGS","CRYGS"
"3056","CRYL1","CRYL1"
"3057","CRYM","CRYM"
"3058","CRYZ","CRYZ"
"3059","CRYZL1","CRYZL1"
"3060","CS","CS"
"3061","CSAD","CSAD"
"3062","CSDC2","CSDC2"
"3063","CSDE1","CSDE1"
"3064","CSE1L","CSE1L"
"3065","CSF1","CSF1"
"3066","CSF1R","CSF1R"
"3067","CSF2","CSF2"
"3068","CSF3","CSF3"
"3069","CSF3R","CSF3R"
"3070","CSGALNACT1","CSGALNACT1"
"3071","CSGALNACT2","CSGALNACT2"
"3072","CSK","CSK"
"3073","CSKMT","CSKMT"
"3074","CSMD1","CSMD1"
"3075","CSMD2","CSMD2"
"3076","CSMD3","CSMD3"
"3077","CSN1S1","CSN1S1"
"3078","CSN2","CSN2"
"3079","CSN3","CSN3"
"3080","CSNK1A1","CSNK1A1"
"3081","CSNK1D","CSNK1D"
"3082","CSNK1E","CSNK1E"
"3083","CSNK1G1","CSNK1G1"
"3084","CSNK1G2","CSNK1G2"
"3085","CSNK1G3","CSNK1G3"
"3086","CSNK2A2","CSNK2A2"
"3087","CSNKA2IP","CSNKA2IP"
"3088","CSPG4","CSPG4"
"3089","CSPP1","CSPP1"
"3090","CSRNP1","CSRNP1"
"3091","CSRNP2","CSRNP2"
"3092","CSRNP3","CSRNP3"
"3093","CSRP1","CSRP1"
"3094","CSRP2","CSRP2"
"3095","CSRP3","CSRP3"
"3096","CST11","CST11"
"3097","CST3","CST3"
"3098","CST6","CST6"
"3099","CST7","CST7"
"3100","CST8","CST8"
"3101","CST9L","CST9L"
"3102","CSTA","CSTA"
"3103","CSTF1","CSTF1"
"3104","CSTF2","CSTF2"
"3105","CSTF2T","CSTF2T"
"3106","CSTF3","CSTF3"
"3107","CSTL1","CSTL1"
"3108","CSTPP1","CSTPP1"
"3109","CT83","CT83"
"3110","CTBP1","CTBP1"
"3111","CTBP2","CTBP2"
"3112","CTBS","CTBS"
"3113","CTC1","CTC1"
"3114","CTCF","CTCF"
"3115","CTCFL","CTCFL"
"3116","CTDNEP1","CTDNEP1"
"3117","CTDP1","CTDP1"
"3118","CTDSP1","CTDSP1"
"3119","CTDSP2","CTDSP2"
"3120","CTDSPL2","CTDSPL2"
"3121","CTF1","CTF1"
"3122","CTH","CTH"
"3123","CTHRC1","CTHRC1"
"3124","CTIF","CTIF"
"3125","CTLA4","CTLA4"
"3126","CTNNA1","CTNNA1"
"3127","CTNNA2","CTNNA2"
"3128","CTNNA3","CTNNA3"
"3129","CTNNAL1","CTNNAL1"
"3130","CTNNB1","CTNNB1"
"3131","CTNNBL1","CTNNBL1"
"3132","CTNND1","CTNND1"
"3133","CTNND2","CTNND2"
"3134","CTNS","CTNS"
"3135","CTPS1","CTPS1"
"3136","CTPS2","CTPS2"
"3137","CTR9","CTR9"
"3138","CTRC","CTRC"
"3139","CTSA","CTSA"
"3140","CTSB","CTSB"
"3141","CTSC","CTSC"
"3142","CTSD","CTSD"
"3143","CTSE","CTSE"
"3144","CTSF","CTSF"
"3145","CTSG","CTSG"
"3146","CTSK","CTSK"
"3147","CTSL","CTSL"
"3148","CTSO","CTSO"
"3149","CTSS","CTSS"
"3150","CTSV","CTSV"
"3151","CTSW","CTSW"
"3152","CTSZ","CTSZ"
"3153","CTTN","CTTN"
"3154","CTTNBP2","CTTNBP2"
"3155","CTTNBP2NL","CTTNBP2NL"
"3156","CTU2","CTU2"
"3157","CTXN3","CTXN3"
"3158","CUBN","CUBN"
"3159","CUEDC1","CUEDC1"
"3160","CUL1","CUL1"
"3161","CUL2","CUL2"
"3162","CUL3","CUL3"
"3163","CUL4A","CUL4A"
"3164","CUL4B","CUL4B"
"3165","CUL5","CUL5"
"3166","CUL7","CUL7"
"3167","CUL9","CUL9"
"3168","CUTA","CUTA"
"3169","CUTC","CUTC"
"3170","CUX1","CUX1"
"3171","CUX2","CUX2"
"3172","CUZD1","CUZD1"
"3173","CWC15","CWC15"
"3174","CWC22","CWC22"
"3175","CWC25","CWC25"
"3176","CWC27","CWC27"
"3177","CWF19L1","CWF19L1"
"3178","CWF19L2","CWF19L2"
"3179","CWH43","CWH43"
"3180","CX3CR1","CX3CR1"
"3181","CXADR","CXADR"
"3182","CXCL11","CXCL11"
"3183","CXCL12","CXCL12"
"3184","CXCL13","CXCL13"
"3185","CXCL16","CXCL16"
"3186","CXCL17","CXCL17"
"3187","CXCL5","CXCL6"
"3188","CXCL8","CXCL8"
"3189","CXCL9","CXCL9"
"3190","CXCR2","CXCR2"
"3191","CXCR3","CXCR3"
"3192","CXCR4","CXCR4"
"3193","CXCR6","CXCR6"
"3194","CXorf58","CXHXorf58"
"3195","GJB6","CXNF"
"3196","CXXC1","CXXC1"
"3197","CXXC4","CXXC4"
"3198","CXXC5","CXXC5"
"3199","CXorf38","CXorf38"
"3200","CXorf65","CXorf65"
"3201","CYB561","CYB561"
