"","human_gene","macaque_gene"
"5090","FOXC2","FOXC2"
"5091","FOXD1","FOXD1"
"5092","FOXD2","FOXD2"
"5093","FOXD3","FOXD3"
"5094","FOXE1","FOXE1"
"5095","FOXE3","FOXE3"
"5096","FOXF1","FOXF1"
"5097","FOXF2","FOXF2"
"5098","FOXG1","FOXG1"
"5099","FOXH1","FOXH1"
"5100","FOXI1","FOXI1"
"5101","FOXI2","FOXI2"
"5102","FOXI3","FOXI3"
"5103","FOXJ1","FOXJ1"
"5104","FOXJ2","FOXJ2"
"5105","FOXJ3","FOXJ3"
"5106","FOXK1","FOXK1"
"5107","FOXK2","FOXK2"
"5108","FOXL2","FOXL2"
"5109","FOXL2NB","FOXL2NB"
"5110","FOXL3","FOXL3"
"5111","FOXM1","FOXM1"
"5112","FOXN1","FOXN1"
"5113","FOXN2","FOXN2"
"5114","FOXN3","FOXN3"
"5115","FOXN4","FOXN4"
"5116","FOXO1","FOXO1"
"5117","FOXO3","FOXO3"
"5118","FOXO4","FOXO4"
"5119","FOXO6","FOXO6"
"5120","FOXP1","FOXP1"
"5121","FOXP2","FOXP2"
"5122","FOXP3","FOXP3"
"5123","FOXP4","FOXP4"
"5124","FOXQ1","FOXQ1"
"5125","FOXR1","FOXR1"
"5126","FOXR2","FOXR2"
"5127","FOXRED1","FOXRED1"
"5128","FOXRED2","FOXRED2"
"5129","FOXS1","FOXS1"
"5130","FPGS","FPGS"
"5131","TNNI3K","FPGT"
"5132","FPR1","FPR1"
"5133","FPR2","FPR2"
"5134","FPR3","FPR3"
"5135","FRA10AC1","FRA10AC1"
"5136","FRAS1","FRAS1"
"5137","FRAT1","FRAT1"
"5138","FRAT2","FRAT2"
"5139","FREM1","FREM1"
"5140","FREM2","FREM2"
"5141","FREM3","FREM3"
"5142","FRG1","FRG1"
"5143","FRK","FRK"
"5144","FRMD1","FRMD1"
"5145","FRMD3","FRMD3"
"5146","FRMD4A","FRMD4A"
"5147","FRMD4B","FRMD4B"
"5148","FRMD5","FRMD5"
"5149","FRMD6","FRMD6"
"5150","FRMD7","FRMD7"
"5151","FRMD8","FRMD8"
"5152","FRMPD1","FRMPD1"
"5153","FRMPD2","FRMPD2"
"5154","FRMPD3","FRMPD3"
"5155","FRMPD4","FRMPD4"
"5156","FRRS1","FRRS1"
"5157","FRRS1L","FRRS1L"
"5158","FRS2","FRS2"
"5159","FRS3","FRS3"
"5160","FRY","FRY"
"5161","FRYL","FRYL"
"5162","FRZB","FRZB"
"5163","FSBP","FSBP"
"5164","FSCB","FSCB"
"5165","FSCN1","FSCN1"
"5166","FSCN2","FSCN2"
"5167","FSCN3","FSCN3"
"5168","FSD1","FSD1"
"5169","FSD1L","FSD1L"
"5170","FSD2","FSD2"
"5171","FSHB","FSHB"
"5172","FSHR","FSHR"
"5173","FSIP1","FSIP1"
"5174","FSIP2","FSIP2"
"5175","FST","FST"
"5176","FSTL1","FSTL1"
"5177","FSTL3","FSTL3"
"5178","FSTL4","FSTL4"
"5179","FSTL5","FSTL5"
"5180","FTCD","FTCD"
"5181","FTCDNL1","FTCDNL1"
"5182","FTHL17","FTHL17"
"5183","FTL","FTL"
"5184","FTMT","FTMT"
"5185","FTO","FTO"
"5186","FTSJ1","FTSJ1"
"5187","FTSJ3","FTSJ3"
"5188","FUBP1","FUBP1"
"5189","FUBP3","FUBP3"
"5190","FUCA1","FUCA1"
"5191","FUCA2","FUCA2"
"5192","FUNDC1","FUNDC1"
"5193","FUOM","FUOM"
"5194","FURIN","FURIN"
"5195","FUT1","FUT1"
"5196","TTI2","FUT10"
"5197","FUT11","FUT11"
"5198","FUT2","FUT2"
"5199","FUT5","FUT5"
"5200","FUT7","FUT7"
"5201","FUT8","FUT8"
"5202","FUT9","FUT9"
"5203","FUZ","FUZ"
"5204","FXN","FXN"
"5205","FXR1","FXR1"
"5206","FXR2","FXR2"
"5207","FXYD1","FXYD1"
"5208","FXYD3","FXYD3"
"5209","FXYD4","FXYD4"
"5210","FXYD7","FXYD7"
"5211","FYB1","FYB1"
"5212","FYB2","FYB2"
"5213","FYCO1","FYCO1"
"5214","FYN","FYN"
"5215","FYTTD1","FYTTD1"
"5216","FZD10","FZD10"
"5217","FZD2","FZD2"
"5218","FZD3","FZD3"
"5219","FZD4","FZD4"
"5220","FZD5","FZD5"
"5221","FZD6","FZD6"
"5222","FZD7","FZD7"
"5223","FZD8","FZD8"
"5224","FZD9","FZD9"
"5225","FZR1","FZR1"
"5226","G0S2","G0S2"
"5227","G2E3","G2E3"
"5228","G3BP1","G3BP1"
"5229","G3BP2","G3BP2"
"5230","G6PC1","G6PC1"
"5231","G6PC2","G6PC2"
"5232","G6PC3","G6PC3"
"5233","G6PD","G6PD"
"5234","GAA","GAA"
"5235","GAB1","GAB1"
"5236","GAB2","GAB2"
"5237","GAB3","GAB3"
"5238","GAB4","GAB4"
"5239","GABARAP","GABARAP"
"5240","GABARAPL1","GABARAPL1"
"5241","GABARAPL2","GABARAPL2"
"5242","GABBR1","GABBR1"
"5243","GABBR2","GABBR2"
"5244","GABPA","GABPA"
"5245","GABPB1","GABPB1"
"5246","GABPB2","GABPB2"
"5247","GABRA1","GABRA1"
"5248","GABRA2","GABRA2"
"5249","GABRA3","GABRA3"
"5250","GABRA4","GABRA4"
"5251","GABRA5","GABRA5"
"5252","GABRA6","GABRA6"
"5253","GABRB1","GABRB1"
"5254","GABRB2","GABRB2"
"5255","GABRB3","GABRB3"
"5256","GABRD","GABRD"
"5257","GABRE","GABRE"
"5258","GABRG1","GABRG1"
"5259","GABRG2","GABRG2"
"5260","GABRG3","GABRG3"
"5261","GABRP","GABRP"
"5262","GABRQ","GABRQ"
"5263","GABRR1","GABRR1"
"5264","GABRR2","GABRR2"
"5265","GABRR3","GABRR3"
"5266","GAD1","GAD1"
"5267","GAD2","GAD2"
"5268","GADD45A","GADD45A"
"5269","GADD45B","GADD45B"
"5270","GADD45G","GADD45G"
"5271","GADD45GIP1","GADD45GIP1"
"5272","GADL1","GADL1"
"5273","GAK","GAK"
"5274","GAL","GAL"
"5275","GAL3ST1","GAL3ST1"
"5276","GAL3ST2","GAL3ST2"
"5277","GAL3ST3","GAL3ST3"
"5278","GAL3ST4","GAL3ST4"
"5279","GALC","GALC"
"5280","GALE","GALE"
"5281","GALK1","GALK1"
"5282","GALK2","GALK2"
"5283","GALM","GALM"
"5284","GALNS","GALNS"
"5285","GALNT1","GALNT1"
"5286","GALNT10","GALNT10"
"5287","GALNT11","GALNT11"
"5288","GALNT12","GALNT12"
"5289","GALNT13","GALNT13"
"5290","GALNT14","GALNT14"
"5291","GALNT15","GALNT15"
"5292","GALNT16","GALNT16"
"5293","GALNT17","GALNT17"
"5294","GALNT18","GALNT18"
"5295","GALNT2","GALNT2"
"5296","GALNT3","GALNT3"
"5297","GALNT5","GALNT5"
"5298","GALNT6","GALNT6"
"5299","GALNT7","GALNT7"
"5300","GALNT9","GALNT9"
"5301","GALNTL5","GALNTL5"
"5302","GALNTL6","GALNTL6"
"5303","GALR1","GALR1"
"5304","GALR2","GALR2"
"5305","GALR3","GALR3"
"5306","GAMT","GAMT"
"5307","GAN","GAN"
"5308","GANAB","GANAB"
"5309","GANC","GANC"
"5310","GAP43","GAP43"
"5311","GAPDH","GAPDH"
"5312","GAPDHS","GAPDHS"
"5313","GAPT","GAPT"
"5314","GAPVD1","GAPVD1"
"5315","GAR1","GAR1"
"5316","GAREM1","GAREM1"
"5317","GAREM2","GAREM2"
"5318","GARIN1A","GARIN1A"
"5319","GARIN1B","GARIN1B"
"5320","GARIN2","GARIN2"
"5321","GARIN3","GARIN3"
"5322","GARIN4","GARIN4"
"5323","GARIN5A","GARIN5A"
"5324","GARIN5B","GARIN5B"
"5325","GARIN6","GARIN6"
"5326","GARNL3","GARNL3"
"5327","GARRE1","GARRE1"
"5328","GARS1","GARS1"
"5329","GART","GART"
"5330","GAS1","GAS1"
"5331","GAS2","GAS2"
"5332","GAS2L1","GAS2L1"
"5333","GAS2L2","GAS2L2"
"5334","GAS2L3","GAS2L3"
"5335","GAS6","GAS6"
"5336","GAS7","GAS7"
"5337","GAS8","GAS8"
"5338","GASK1A","GASK1A"
"5339","GASK1B","GASK1B"
"5340","GAST","GAST"
"5341","GATA1","GATA1"
"5342","GATA2","GATA2"
"5343","GATA3","GATA3"
"5344","GATA4","GATA4"
"5345","GATA5","GATA5"
"5346","GATA6","GATA6"
"5347","GATAD1","GATAD1"
"5348","GATAD2A","GATAD2A"
"5349","GATAD2B","GATAD2B"
"5350","GATB","GATB"
"5351","GATC","GATC"
"5352","GATD1","GATD1"
"5353","GATD3","GATD3"
"5354","GATM","GATM"
"5355","GBA1","GBA1"
"5356","GBA2","GBA2"
"5357","GBA3","GBA3"
"5358","GBE1","GBE1"
"5359","GBF1","GBF1"
"5360","GBP3","GBP3"
"5361","GBP6","GBP6"
"5362","GBP7","GBP7"
"5363","GBX1","GBX1"
"5364","GBX2","GBX2"
"5365","GC","GC"
"5366","GCA","GCA"
"5367","GCAT","GCAT"
"5368","GCC1","GCC1"
"5369","GCC2","GCC2"
"5370","GCDH","GCDH"
"5371","GCFC2","GCFC2"
"5372","GCG","GCG"
"5373","GCGR","GCGR"
"5374","GCH1","GCH1"
"5375","GCHFR","GCHFR"
"5376","GCK","GCK"
"5377","GCKR","GCKR"
"5378","GCLC","GCLC"
"5379","GCLM","GCLM"
"5380","GCM1","GCM1"
"5381","GCM2","GCM2"
"5382","GCN1","GCN1"
"5383","GCNA","GCNA"
"5384","GCNT1","GCNT1"
"5385","GCNT2","GCNT2"
"5386","GCNT3","GCNT3"
"5387","GCNT4","GCNT4"
"5388","GCNT7","GCNT7"
"5389","GCSAM","GCSAM"
"5390","GCSAML","GCSAML"
"5391","GCSH","GCSH"
"5392","GDA","GDA"
"5393","GDAP1","GDAP1"
"5394","GDAP1L1","GDAP1L1"
"5395","GDAP2","GDAP2"
"5396","GDE1","GDE1"
"5397","GDF1","GDF1"
"5398","GDF10","GDF10"
"5399","GDF11","GDF11"
"5400","GDF15","GDF15"
"5401","GDF2","GDF2"
"5402","GDF3","GDF3"
"5403","GDF5","GDF5"
"5404","GDF6","GDF6"
"5405","GDF7","GDF7"
"5406","GDF9","GDF9"
"5407","GDI1","GDI1"
"5408","GDI2","GDI2"
"5409","GDNF","GDNF"
"5410","GDPD1","GDPD1"
"5411","GDPD2","GDPD2"
"5412","GDPD3","GDPD3"
"5413","GDPD4","GDPD4"
"5414","GDPD5","GDPD5"
"5415","GDPGP1","GDPGP1"
"5416","GEM","GEM"
"5417","GEMIN2","GEMIN2"
"5418","GEMIN4","GEMIN4"
"5419","GEMIN5","GEMIN5"
"5420","GEMIN6","GEMIN6"
"5421","GEMIN7","GEMIN7"
"5422","GEMIN8","GEMIN8"
"5423","GEN1","GEN1"
"5424","SH3BGR","GET1"
"5425","GET3","GET3"
"5426","GET4","GET4"
"5427","GFAP","GFAP"
"5428","GFER","GFER"
"5429","GFI1","GFI1"
"5430","GFI1B","GFI1B"
"5431","GFM1","GFM1"
"5432","GFM2","GFM2"
"5433","GFOD1","GFOD1"
"5434","GFPT1","GFPT1"
"5435","GFPT2","GFPT2"
"5436","GFRA1","GFRA1"
"5437","GFRA2","GFRA2"
"5438","GFRA3","GFRA3"
"5439","GFRA4","GFRA4"
"5440","GFRAL","GFRAL"
"5441","GFUS","GFUS"
"5442","GFY","GFY"
"5443","GGA1","GGA1"
"5444","GGA2","GGA2"
"5445","GGA3","GGA3"
"5446","GGACT","GGACT"
"5447","GGCT","GGCT"
"5448","GGCX","GGCX"
"5449","GGH","GGH"
"5450","GGNBP2","GGNBP2"
"5451","GGPS1","GGPS1"
"5452","GGT5","GGT5"
"5453","GGT6","GGT6"
"5454","GGT7","GGT7"
"5455","GHDC","GHDC"
"5456","GHITM","GHITM"
"5457","GHR","GHR"
"5458","GHRH","GHRH"
"5459","GHRHR","GHRHR"
"5460","GHRL","GHRL"
"5461","GHSR","GHSR"
"5462","CSH1","GHV"
"5463","GID4","GID4"
"5464","GID8","GID8"
"5465","GIGYF1","GIGYF1"
"5466","GIGYF2","GIGYF2"
"5467","GIMAP2","GIMAP2"
"5468","GIMAP4","GIMAP4"
"5469","GIMAP5","GIMAP5"
"5470","GIMAP6","GIMAP6"
"5471","GIMAP7","GIMAP7"
"5472","GIMAP8","GIMAP8"
"5473","GIMD1","GIMD1"
"5474","GIN1","GIN1"
"5475","GINM1","GINM1"
"5476","GINS1","GINS1"
"5477","GINS2","GINS2"
"5478","GINS3","GINS3"
"5479","GINS4","GINS4"
"5480","GIP","GIP"
"5481","GIPC1","GIPC1"
"5482","GIPC2","GIPC2"
"5483","GIPC3","GIPC3"
"5484","GIPR","GIPR"
"5485","GIT1","GIT1"
"5486","GIT2","GIT2"
"5487","GJA1","GJA1"
"5488","GJA10","GJA10"
"5489","GJA3","GJA3"
"5490","GJA4","GJA4"
"5491","GJA5","GJA5"
"5492","GJA8","GJA8"
"5493","GJB1","GJB1"
"5494","GJB2","GJB2"
"5495","GJB3","GJB3"
"5496","GJB4","GJB4"
"5497","GJB5","GJB5"
"5498","GJB6","GJB6"
"5499","GJC1","GJC1"
"5500","GJC2","GJC2"
"5501","GJC3","GJC3"
"5502","GJD2","GJD2"
"5503","GJD3","GJD3"
"5504","GJD4","GJD4"
"5505","GK","GK"
"5506","GK2","GK2"
"5507","GK3","GK3"
"5508","GK5","GK5"
"5509","GKAP1","GKAP1"
"5510","GKN2","GKN2"
"5511","GLA","GLA"
"5512","GLB1","GLB1"
"5513","GLB1L","GLB1L"
"5514","GLB1L2","GLB1L2"
"5515","GLB1L3","GLB1L3"
"5516","GLCCI1","GLCCI1"
"5517","GLCE","GLCE"
"5518","GLDC","GLDC"
"5519","GLDN","GLDN"
"5520","GLE1","GLE1"
"5521","GLG1","GLG1"
"5522","GLI1","GLI1"
"5523","GLI2","GLI2"
"5524","GLI3","GLI3"
"5525","GLI4","GLI4"
"5526","GLIPR1L1","GLIPR1L1"
"5527","GLIPR1L2","GLIPR1L2"
"5528","GLIPR2","GLIPR2"
"5529","GLIS1","GLIS1"
"5530","GLIS2","GLIS2"
"5531","GLIS3","GLIS3"
"5532","GLMN","GLMN"
"5533","GLMP","GLMP"
"5534","GLO1","GLO1"
"5535","GLOD4","GLOD4"
"5536","GLOD5","GLOD5"
"5537","GLP1R","GLP1R"
"5538","GLP2R","GLP2R"
"5539","GLRA1","GLRA1"
"5540","GLRA2","GLRA2"
"5541","GLRA3","GLRA3"
"5542","GLRB","GLRB"
"5543","GLRX","GLRX"
"5544","GLRX2","GLRX2"
"5545","GLRX3","GLRX3"
"5546","GLRX5","GLRX5"
"5547","GLS","GLS"
"5548","GLS2","GLS2"
"5549","GLT1D1","GLT1D1"
"5550","GLT6D1","GLT6D1"
"5551","GLT8D1","GLT8D1"
"5552","GLT8D2","GLT8D2"
"5553","GLTP","GLTP"
"5554","GLUD1","GLUD1"
"5555","GLUL","GLUL"
"5556","GLYAT","GLYAT"
"5557","GLYATL1B","GLYATL1B"
"5558","GLYATL3","GLYATL3"
"5559","GLYCTK","GLYCTK"
"5560","GLYR1","GLYR1"
"5561","GM2A","GM2A"
"5562","GMCL1","GMCL1"
"5563","GMCL2","GMCL2"
"5564","GMDS","GMDS"
"5565","GMEB1","GMEB1"
"5566","GMEB2","GMEB2"
"5567","GMFB","GMFB"
"5568","GMFG","GMFG"
"5569","GMIP","GMIP"
"5570","GML","GML"
"5571","GMNC","GMNC"
"5572","GMNN","GMNN"
"5573","GMPPA","GMPPA"
"5574","GMPPB","GMPPB"
"5575","GMPR","GMPR"
"5576","GMPR2","GMPR2"
"5577","GMPS","GMPS"
"5578","GNA11","GNA11"
"5579","GNA12","GNA12"
"5580","GNA13","GNA13"
"5581","GNA14","GNA14"
"5582","GNA15","GNA15"
"5583","GNAI1","GNAI1"
"5584","GNAI2","GNAI2"
"5585","GNAI3","GNAI3"
"5586","GNAL","GNAL"
"5587","GNAO1","GNAO1"
"5588","GNAQ","GNAQ"
"5589","GNAS","GNAS"
"5590","GNAT1","GNAT1"
"5591","GNAT2","GNAT2"
"5592","GNAT3","GNAT3"
"5593","GNAZ","GNAZ"
"5594","GNB1","GNB1"
"5595","RTL10","GNB1L"
"5596","GNB2","GNB2"
"5597","GNB3","GNB3"
"5598","GNB4","GNB4"
"5599","GNB5","GNB5"
"5600","GNE","GNE"
"5601","GNG11","GNG11"
"5602","GNG13","GNG13"
"5603","GNG3","GNG3"
"5604","GNG4","GNG4"
"5605","GNG5","GNG5"
"5606","GNG7","GNG7"
"5607","GNGT1","GNGT1"
"5608","GNL1","GNL1"
"5609","GNL2","GNL2"
"5610","GNL3","GNL3"
"5611","GNL3L","GNL3L"
"5612","GNMT","GNMT"
"5613","GNPAT","GNPAT"
"5614","GNPDA1","GNPDA1"
"5615","GNPDA2","GNPDA2"
"5616","GNPNAT1","GNPNAT1"
"5617","GNPTAB","GNPTAB"
"5618","GNPTG","GNPTG"
"5619","GNRH1","GNRH1"
"5620","GNRH2","GNRH2"
"5621","GNRHR","GNRHR"
"5622","GNS","GNS"
"5623","GOLGA1","GOLGA1"
"5624","GOLGA2","GOLGA2"
"5625","GOLGA3","GOLGA3"
"5626","GOLGA4","GOLGA4"
"5627","GOLGA5","GOLGA5"
"5628","GOLGA7","GOLGA7"
"5629","GOLGA7B","GOLGA7B"
"5630","GOLGB1","GOLGB1"
"5631","GOLIM4","GOLIM4"
"5632","GOLM1","GOLM1"
"5633","GOLM2","GOLM2"
"5634","GOLPH3","GOLPH3"
"5635","GOLPH3L","GOLPH3L"
"5636","GOLT1A","GOLT1A"
"5637","GOLT1B","GOLT1B"
"5638","GON4L","GON4L"
"5639","GON7","GON7"
"5640","GORAB","GORAB"
"5641","GORASP1","GORASP1"
"5642","GORASP2","GORASP2"
"5643","GOSR1","GOSR1"
"5644","GOSR2","GOSR2"
"5645","GOT1","GOT1"
"5646","GOT1L1","GOT1L1"
"5647","GOT2","GOT2"
"5648","GP1BB","GP1BB"
"5649","GP2","GP2"
"5650","GP5","GP5"
"5651","GP6","GP6"
"5652","GP9","GP9"
"5653","GPA33","GPA33"
"5654","GPAA1","GPAA1"
"5655","GPALPP1","GPALPP1"
"5656","GPAM","GPAM"
"5657","GPANK1","GPANK1"
"5658","GPAT2","GPAT2"
"5659","GPAT3","GPAT3"
"5660","GPAT4","GPAT4"
"5661","GPATCH1","GPATCH1"
"5662","GPATCH11","GPATCH11"
"5663","GPATCH2","GPATCH2"
"5664","GPATCH2L","GPATCH2L"
"5665","GPATCH3","GPATCH3"
"5666","GPATCH4","GPATCH4"
"5667","GPATCH8","GPATCH8"
"5668","GPBAR1","GPBAR1"
"5669","GPBP1","GPBP1"
"5670","CCDC17","GPBP1L1"
"5671","GPC1","GPC1"
"5672","GPC2","GPC2"
"5673","GPC3","GPC3"
"5674","GPC4","GPC4"
"5675","GPC5","GPC5"
"5676","GPC6","GPC6"
"5677","GPCPD1","GPCPD1"
"5678","GPD1","GPD1"
"5679","GPD1L","GPD1L"
"5680","GPD2","GPD2"
"5681","GPER1","GPER1"
"5682","GPHA2","GPHA2"
"5683","GPHB5","GPHB5"
"5684","GPHN","GPHN"
"5685","GPI","GPI"
"5686","GPIHBP1","GPIHBP1"
"5687","GPKOW","GPKOW"
"5688","GPLD1","GPLD1"
"5689","GPM6A","GPM6A"
"5690","GPM6B","GPM6B"
"5691","GPN1","GPN1"
"5692","GPN2","GPN2"
"5693","GPN3","GPN3"
"5694","GPNMB","GPNMB"
"5695","GPR101","GPR101"
"5696","GPR107","GPR107"
"5697","GPR119","GPR119"
"5698","GPR12","GPR12"
"5699","GPR137","GPR137"
"5700","GPR137B","GPR137B"
"5701","GPR137C","GPR137C"
"5702","GPR139","GPR139"
"5703","GPR141","GPR141"
"5704","GPR142","GPR142"
"5705","GPR143","GPR143"
"5706","GPR146","GPR146"
"5707","GPR149","GPR149"
"5708","GPR15","GPR15"
"5709","GPR150","GPR150"
"5710","GPR151","GPR151"
"5711","GPR152","GPR152"
"5712","GPR153","GPR153"
"5713","GPR155","GPR155"
"5714","GPR156","GPR156"
"5715","GPR157","GPR157"
"5716","GPR158","GPR158"
"5717","GPR160","GPR160"
"5718","GPR161","GPR161"
"5719","GPR162","GPR162"
"5720","GPR17","GPR17"
"5721","GPR171","GPR171"
"5722","GPR173","GPR173"
"5723","GPR174","GPR174"
"5724","GPR176","GPR176"
"5725","GPR179","GPR179"
"5726","GPR18","GPR18"
"5727","GPR180","GPR180"
"5728","GPR182","GPR182"
"5729","GPR183","GPR183"
"5730","GPR19","GPR19"
"5731","GPR20","GPR20"
"5732","GPR22","GPR22"
"5733","GPR25","GPR25"
"5734","GPR26","GPR26"
"5735","GPR27","GPR27"
"5736","GPR3","GPR3"
"5737","GPR31","GPR31"
"5738","GPR32","GPR32"
"5739","GPR33","GPR33"
"5740","GPR34","GPR34"
"5741","GPR35","GPR35"
"5742","GPR37","GPR37"
"5743","GPR37L1","GPR37L1"
"5744","GPR39","GPR39"
"5745","GPR4","GPR4"
"5746","GPR45","GPR45"
"5747","GPR50","GPR50"
"5748","GPR55","GPR55"
"5749","GPR6","GPR6"
"5750","GPR61","GPR61"
"5751","GPR62","GPR62"
"5752","GPR63","GPR63"
"5753","GPR65","GPR65"
"5754","GPR68","GPR68"
"5755","GPR75","GPR75"
"5756","GPR78","GPR78"
"5757","GPR82","GPR82"
"5758","GPR84","GPR84"
"5759","GPR85","GPR85"
"5760","GPR87","GPR87"
"5761","GPR88","GPR88"
"5762","GPR89A","GPR89A"
"5763","GPRASP1","GPRASP1"
"5764","GPRASP2","GPRASP2"
"5765","ARMCX5-GPRASP2","GPRASP3"
"5766","GPRC5A","GPRC5A"
"5767","GPRC5B","GPRC5B"
"5768","GPRC5C","GPRC5C"
"5769","GPRC5D","GPRC5D"
"5770","GPRC6A","GPRC6A"
"5771","GPRIN1","GPRIN1"
"5772","GPRIN2","GPRIN2"
"5773","GPRIN3","GPRIN3"
"5774","GPS1","GPS1"
"5775","GPS2","GPS2"
"5776","GPSM1","GPSM1"
"5777","GPSM2","GPSM2"
"5778","GPSM3","GPSM3"
"5779","GPT","GPT"
"5780","GPT2","GPT2"
"5781","GPX1","GPX1"
"5782","GPX2","GPX2"
"5783","GPX3","GPX3"
"5784","GPX4","GPX4"
"5785","GPX5","GPX5"
"5786","GPX6","GPX6"
"5787","GPX7","GPX7"
"5788","GPX8","GPX8"
"5789","GRAMD1A","GRAMD1A"
"5790","GRAMD1B","GRAMD1B"
"5791","GRAMD1C","GRAMD1C"
"5792","GRAMD2A","GRAMD2A"
"5793","GRAMD2B","GRAMD2B"
"5794","GRAMD4","GRAMD4"
"5795","GRAPL","GRAP"
"5796","GRAP2","GRAP2"
"5797","GRB10","GRB10"
"5798","GRB14","GRB14"
"5799","GRB2","GRB2"
"5800","GRB7","GRB7"
"5801","GREB1","GREB1"
"5802","GREB1L","GREB1L"
"5803","GREM1","GREM1"
"5804","GREM2","GREM2"
"5805","GREP1","GREP1"
"5806","GRHL1","GRHL1"
"5807","GRHL2","GRHL2"
"5808","GRHL3","GRHL3"
"5809","GRHPR","GRHPR"
"5810","GRIA1","GRIA1"
"5811","GRIA2","GRIA2"
"5812","GRIA3","GRIA3"
"5813","GRIA4","GRIA4"
"5814","GRID1","GRID1"
"5815","GRID2","GRID2"
"5816","GRID2IP","GRID2IP"
"5817","GRIFIN","GRIFIN"
"5818","GRIK1","GRIK1"
"5819","GRIK2","GRIK2"
"5820","GRIK3","GRIK3"
"5821","GRIK4","GRIK4"
"5822","GRIK5","GRIK5"
"5823","GRIN1","GRIN1"
"5824","GRIN2A","GRIN2A"
"5825","GRIN2B","GRIN2B"
"5826","GRIN2C","GRIN2C"
"5827","GRIN2D","GRIN2D"
"5828","GRIN3A","GRIN3A"
"5829","GRIN3B","GRIN3B"
"5830","GRINA","GRINA"
"5831","GRIP1","GRIP1"
"5832","GRIP2","GRIP2"
"5833","GRIPAP1","GRIPAP1"
"5834","GRK1","GRK1"
"5835","GRK2","GRK2"
"5836","GRK3","GRK3"
"5837","GRK5","GRK5"
"5838","GRK6","GRK6"
"5839","GRK7","GRK7"
"5840","GRM1","GRM1"
"5841","GRM2","GRM2"
"5842","GRM3","GRM3"
"5843","GRM4","GRM4"
"5844","GRM5","GRM5"
"5845","GRM6","GRM6"
"5846","GRM7","GRM7"
"5847","GRM8","GRM8"
"5848","GRN","GRN"
"5849","GRP","GRP"
"5850","GRPEL1","GRPEL1"
"5851","GRPEL2","GRPEL2"
"5852","GRPR","GRPR"
"5853","GRSF1","GRSF1"
"5854","GRTP1","GRTP1"
"5855","GRWD1","GRWD1"
"5856","GRXCR1","GRXCR1"
"5857","GRXCR2","GRXCR2"
"5858","GSAP","GSAP"
"5859","GSC","GSC"
"5860","GSC2","GSC2"
"5861","GSDMA","GSDMA"
"5862","GSDMC","GSDMC"
"5863","GSDMD","GSDMD"
"5864","GSDME","GSDME"
"5865","GSE1","GSE1"
"5866","GSG1L","GSG1L"
"5867","GSG1L2","GSG1L2"
"5868","GSK3B","GSK3B"
"5869","GSKIP","GSKIP"
"5870","GSN","GSN"
"5871","GSPT1","GSPT1"
"5872","GSPT2","GSPT2"
"5873","GSR","GSR"
"5874","GSS","GSS"
"5875","GSTA3","GSTA2"
"5876","GSTA4","GSTA4"
"5877","GSTCD","GSTCD"
"5878","TMEM139","GSTK1"
"5879","GSTM3","GSTM3"
"5880","GSTM2","GSTM5"
"5881","GSTO1","GSTO1"
"5882","GSTO2","GSTO2"
"5883","GSTP1","GSTP1"
"5884","GSTT2B","GSTT2B"
"5885","GSTZ1","GSTZ1"
"5886","GSX1","GSX1"
"5887","GSX2","GSX2"
"5888","GTDC1","GTDC1"
"5889","GTF2A1","GTF2A1"
"5890","GTF2A2","GTF2A2"
"5891","GTF2B","GTF2B"
"5892","GTF2E1","GTF2E1"
"5893","GTF2E2","GTF2E2"
"5894","GTF2F2","GTF2F2"
"5895","GTF2H1","GTF2H1"
"5896","GTF2H2","GTF2H2"
"5897","GTF2H3","GTF2H3"
"5898","GTF2H4","GTF2H4"
"5899","GTF2H5","GTF2H5"
"5900","GTF2I","GTF2I"
"5901","GTF2IRD1","GTF2IRD1"
"5902","GTF3A","GTF3A"
"5903","GTF3C1","GTF3C1"
"5904","GTF3C2","GTF3C2"
"5905","GTF3C3","GTF3C3"
"5906","GTF3C4","GTF3C4"
"5907","GTF3C5","GTF3C5"
"5908","GTF3C6","GTF3C6"
"5909","GTPBP1","GTPBP1"
"5910","GTPBP10","GTPBP10"
"5911","GTPBP2","GTPBP2"
"5912","GTPBP3","GTPBP3"
"5913","GTPBP4","GTPBP4"
"5914","GTPBP8","GTPBP8"
"5915","GTSE1","GTSE1"
"5916","GTSF1","GTSF1"
"5917","GTSF1L","GTSF1L"
"5918","GUCA1A","GUCA1A"
"5919","GUCA1B","GUCA1B"
"5920","GUCA1C","GUCA1C"
"5921","GUCA2A","GUCA2A"
"5922","GUCA2B","GUCA2B"
"5923","GUCD1","GUCD1"
"5924","GUCY1A1","GUCY1A1"
"5925","GUCY1A2","GUCY1A2"
"5926","GUCY1B1","GUCY1B1"
"5927","GUCY2C","GUCY2C"
"5928","GUCY2D","GUCY2D"
"5929","GUCY2F","GUCY2F"
"5930","GUF1","GUF1"
"5931","GUK1","GUK1"
"5932","GULP1","GULP1"
"5933","GVQW3","GVQW3"
"5934","GXYLT2","GXYLT2"
"5935","GYG1","GYG1"
"5936","GYG2","GYG2"
"5937","GYS1","GYS1"
"5938","GYS2","GYS2"
"5939","GZF1","GZF1"
"5940","GZMA","GZMA"
"5941","GZMB","GZMB"
"5942","GZMK","GZMK"
"5943","GZMM","GZMM"
