"","human_gene","rat_gene"
"4188","AOC1","Doxl1"
"4189","AOC1","Doxl2"
"4190","DPAGT1","Dpagt1"
"4191","DPCD","Dpcd"
"4192","DPEP1","Dpep1"
"4193","DPEP2","Dpep2"
"4194","DPEP2NB","Dpep2nb"
"4195","DPEP3","Dpep3"
"4196","DPF1","Dpf1"
"4197","DPF2","Dpf2"
"4198","DPF3","Dpf3"
"4199","DPH1","Dph1"
"4200","DPH2","Dph2"
"4201","DPH5","Dph5"
"4202","DPH6","Dph6"
"4203","DPH7","Dph7"
"4204","DPM1","Dpm1"
"4205","DPM2","Dpm2"
"4206","DPM3","Dpm3"
"4207","DPP10","Dpp10"
"4208","DPP3","Dpp3"
"4209","DPP4","Dpp4"
"4210","DPP6","Dpp6"
"4211","DPP7","Dpp7"
"4212","DPP8","Dpp8"
"4213","DPP9","Dpp9"
"4214","DPPA3","Dppa3"
"4215","DPPA3","Dppa3l1"
"4216","DPPA4","Dppa4"
"4217","DPPA5","Dppa5"
"4218","DPT","Dpt"
"4219","DPY19L1","Dpy19l1"
"4220","DPY19L2","Dpy19l2"
"4221","DPY19L3","Dpy19l3"
"4222","DPY19L4","Dpy19l4"
"4223","DPYD","Dpyd"
"4224","DPYS","Dpys"
"4225","DPYSL2","Dpysl2"
"4226","DPYSL3","Dpysl3"
"4227","DPYSL4","Dpysl4"
"4228","DPYSL5","Dpysl5"
"4229","DQX1","Dqx1"
"4230","DR1","Dr1"
"4231","DRAM1","Dram1"
"4232","DRAM2","Dram2"
"4233","DRAP1","Drap1"
"4234","DRAXIN","Draxin"
"4235","DRC1","Drc1"
"4236","DRC3","Drc3"
"4237","DRC7","Drc7"
"4238","DRD1","Drd1"
"4239","DRD2","Drd2"
"4240","DRD3","Drd3"
"4241","DRD4","Drd4"
"4242","DRD5","Drd5"
"4243","DRG1","Drg1"
"4244","DRG2","Drg2"
"4245","DRGX","Drgx"
"4246","DROSHA","Drosha"
"4247","DRP2","Drp2"
"4248","DSC1","Dsc1"
"4249","DSC2","Dsc2"
"4250","DSC3","Dsc3"
"4251","DSCAM","Dscam"
"4252","DSCAML1","Dscaml1"
"4253","DSCC1","Dscc1"
"4254","DSE","Dse"
"4255","DSEL","Dsel"
"4256","DSG1","Dsg1"
"4257","DSG2","Dsg2"
"4258","DSG3","Dsg3"
"4259","DSN1","Dsn1"
"4260","DSP","Dsp"
"4261","DSPP","Dspp"
"4262","DST","Dst"
"4263","DSTYK","Dstyk"
"4264","DTD1","Dtd1"
"4265","DTD2","Dtd2"
"4266","DTL","Dtl"
"4267","DTNA","Dtna"
"4268","DTNBP1","Dtnbp1"
"4269","DTWD1","Dtwd1"
"4270","DTWD2","Dtwd2"
"4271","DTX1","Dtx1"
"4272","DTX3","Dtx3"
"4273","DTX3L","Dtx3l"
"4274","DTX4","Dtx4"
"4275","DTYMK","Dtymk"
"4276","DUOX1","Duox1"
"4277","DUOX2","Duox2"
"4278","DUOXA1","Duoxa1"
"4279","DUOXA2","Duoxa2"
"4280","DUS1L","Dus1l"
"4281","DUS2","Dus2"
"4282","DUS3L","Dus3l"
"4283","DUS4L","Dus4l"
"4284","DUSP10","Dusp10"
"4285","DUSP11","Dusp11"
"4286","DUSP12","Dusp12"
"4287","DUSP14","Dusp14"
"4288","DUSP14","Dusp14l1"
"4289","DUSP15","Dusp15"
"4290","DUSP16","Dusp16"
"4291","DUSP18","Dusp18"
"4292","DUSP19","Dusp19"
"4293","DUSP2","Dusp2"
"4294","DUSP21","Dusp21"
"4295","DUSP22","Dusp22"
"4296","DUSP23","Dusp23"
"4297","DUSP26","Dusp26"
"4298","DUSP29","Dusp29"
"4299","DUSP4","Dusp4"
"4300","DUSP5","Dusp5"
"4301","DUSP6","Dusp6"
"4302","DUSP7","Dusp7"
"4303","DUSP8","Dusp8"
"4304","DUSP9","Dusp9"
"4305","DUT","Dut"
"4306","DUX4","Dux4"
"4307","DVL1","Dvl1"
"4308","DVL2","Dvl2"
"4309","DVL3","Dvl3"
"4310","DXO","Dxo"
"4311","DYDC1","Dydc1"
"4312","DYDC2","Dydc2"
"4313","DYM","Dym"
"4314","DYNAP","Dynap"
"4315","DYNC1H1","Dync1h1"
"4316","DYNC1I1","Dync1i1"
"4317","DYNC1I2","Dync1i2"
"4318","DYNC1LI1","Dync1li1"
"4319","DYNC1LI2","Dync1li2"
"4320","DYNC2H1","Dync2h1"
"4321","DYNC2I1","Dync2i1"
"4322","DYNC2I2","Dync2i2"
"4323","DYNC2LI1","Dync2li1"
"4324","DYNLL1","Dynll1"
"4325","DYNLRB1","Dynlrb1"
"4326","DYNLT1","Dynlt1"
"4327","DYNLT2","Dynlt2"
"4328","DYNLT2B","Dynlt2b"
"4329","DYNLT2B","Dynlt2b-ps1"
"4330","DYNLT3","Dynlt3"
"4331","DYNLT4","Dynlt4"
"4332","DYNLT5","Dynlt5"
"4333","DYRK1A","Dyrk1a"
"4334","DYRK1B","Dyrk1b"
"4335","DYRK2","Dyrk2"
"4336","DYRK3","Dyrk3"
"4337","DYRK4","Dyrk4"
"4338","DYSF","Dysf"
"4339","DYTN","Dytn"
"4340","DZANK1","Dzank1"
"4341","DZIP1","Dzip1"
"4342","DZIP1","Dzip1-ps1"
"4343","DZIP1L","Dzip1l"
"4344","DZIP3","Dzip3"
"4345","E2F1","E2f1"
"4346","E2F2","E2f2"
"4347","E2F3","E2f3"
"4348","E2F4","E2f4"
"4349","E2F5","E2f5"
"4350","E2F6","E2f6"
"4351","E2F7","E2f7"
"4352","E2F8","E2f8"
"4353","E4F1","E4f1"
"4354","EAF1","Eaf1"
"4355","EAF2","Eaf2"
"4356","EAPP","Eapp"
"4357","RNASE2","Ear1"
"4358","EARS2","Ears2"
"4359","EBAG9","Ebag9"
"4360","EBF1","Ebf1"
"4361","EBF2","Ebf2"
"4362","EBF3","Ebf3"
"4363","EBF4","Ebf4"
"4364","EBI3","Ebi3"
"4365","EBNA1BP2","Ebna1bp2"
"4366","EBP","Ebp"
"4367","EBPL","Ebpl"
"4368","ECD","Ecd"
"4369","ECE1","Ece1"
"4370","ECE2","Ece2"
"4371","ECEL1","Ecel1"
"4372","ECH1","Ech1"
"4373","ECHDC1","Echdc1"
"4374","ECHDC2","Echdc2"
"4375","ECHDC3","Echdc3"
"4376","ECHS1","Echs1"
"4377","ECI1","Eci1"
"4378","ECI2","Eci2"
"4379","ECI2","Eci3"
"4380","ECM1","Ecm1"
"4381","ECM2","Ecm2"
"4382","ECPAS","Ecpas"
"4383","ECRG4","Ecrg4"
"4384","ECSCR","Ecscr"
"4385","ECSIT","Ecsit"
"4386","ECT2","Ect2"
"4387","ECT2L","Ect2l"
"4388","EDA","Eda"
"4389","EDA2R","Eda2r"
"4390","EDAR","Edar"
"4391","EDARADD","Edaradd"
"4392","EDC3","Edc3"
"4393","EDC4","Edc4"
"4394","EDDM13","Eddm13"
"4395","EDDM3B","Eddm3b"
"4396","EDEM1","Edem1"
"4397","EDEM2","Edem2"
"4398","EDEM3","Edem3"
"4399","EDF1","Edf1"
"4400","EDIL3","Edil3"
"4401","EDN1","Edn1"
"4402","EDN2","Edn2"
"4403","EDN3","Edn3"
"4404","EDNRA","Ednra"
"4405","EDNRB","Ednrb"
"4406","EDRF1","Edrf1"
"4407","EEA1","Eea1"
"4408","EED","Eed"
"4409","KCNQ2","Eef1a2"
"4410","EEF1AKMT1","Eef1akmt1"
"4411","EEF1AKMT2","Eef1akmt2"
"4412","EEF1AKMT3","Eef1akmt3"
"4413","EEF1AKMT4","Eef1akmt4"
"4414","EEF1E1","Eef1e1"
"4415","EEF2","Eef2"
"4416","EEF2K","Eef2k"
"4417","EEF2KMT","Eef2kmt"
"4418","EEFSEC","Eefsec"
"4419","EEIG1","Eeig1"
"4420","EEIG2","Eeig2"
"4421","EEPD1","Eepd1"
"4422","EFCAB10","Efcab10"
"4423","EFCAB11","Efcab11"
"4424","EFCAB12","Efcab12"
"4425","EFCAB14","Efcab14"
"4426","EFCAB2","Efcab2"
"4427","EFCAB3","Efcab3"
"4428","EFCAB5","Efcab5"
"4429","EFCAB6","Efcab6"
"4430","EFCAB7","Efcab7"
"4431","EFCAB8","Efcab8"
"4432","EFCAB9","Efcab9"
"4433","EFCC1","Efcc1"
"4434","EFEMP1","Efemp1"
"4435","EFEMP2","Efemp2"
"4436","EFHB","Efhb"
"4437","EFHC1","Efhc1"
"4438","EFHC2","Efhc2"
"4439","EFHD1","Efhd1"
"4440","EFHD2","Efhd2"
"4441","EFL1","Efl1"
"4442","EFNA1","Efna1"
"4443","EFNA2","Efna2"
"4444","EFNA3","Efna3"
"4445","EFNA4","Efna4"
"4446","EFNA5","Efna5"
"4447","EFNB1","Efnb1"
"4448","EFNB2","Efnb2"
"4449","EFNB3","Efnb3"
"4450","EFR3A","Efr3a"
"4451","EFR3B","Efr3b"
"4452","EFS","Efs"
"4453","EFTUD2","Eftud2"
"4454","EGF","Egf"
"4455","EGFL6","Egfl6"
"4456","EGFL7","Egfl7"
"4457","EGFL8","Egfl8"
"4458","EGFLAM","Egflam"
"4459","EGFR","Egfr"
"4460","EGLN1","Egln1"
"4461","EGLN2","Egln2"
"4462","EGLN3","Egln3"
"4463","EGR1","Egr1"
"4464","EGR2","Egr2"
"4465","EGR3","Egr3"
"4466","EGR4","Egr4"
"4467","EHBP1","Ehbp1"
"4468","EHBP1L1","Ehbp1l1"
"4469","EHD1","Ehd1"
"4470","EHD2","Ehd2"
"4471","EHD3","Ehd3"
"4472","EHD4","Ehd4"
"4473","EHF","Ehf"
"4474","EHHADH","Ehhadh"
"4475","EHMT1","Ehmt1"
"4476","EHMT2","Ehmt2"
"4477","EI24","Ei24"
"4478","EID2","Eid1"
"4479","EIF1AY","Eif1a"
"4480","EIF1AD","Eif1ad"
"4481","EIF1B","Eif1b"
"4482","EIF2A","Eif2a"
"4483","EIF2AK1","Eif2ak1"
"4484","EIF2AK2","Eif2ak2"
"4485","EIF2AK3","Eif2ak3"
"4486","EIF2AK4","Eif2ak4"
"4487","EIF2B1","Eif2b1"
"4488","EIF2B2","Eif2b2"
"4489","EIF2B3","Eif2b3"
"4490","EIF2B4","Eif2b4"
"4491","EIF2B5","Eif2b5"
"4492","EIF2D","Eif2d"
"4493","EIF2S1","Eif2s1"
"4494","EIF2S2","Eif2s2"
"4495","EIF2S3B","Eif2s3y"
"4496","EIF3A","Eif3a"
"4497","EIF3B","Eif3b"
"4498","EIF3CL","Eif3c"
"4499","EIF3D","Eif3d"
"4500","EIF3F","Eif3f"
"4501","EIF3G","Eif3g"
"4502","EIF3H","Eif3h"
"4503","EIF3I","Eif3i"
"4504","EIF3J","Eif3j"
"4505","EIF3K","Eif3k"
"4506","EIF3L","Eif3l"
"4507","EIF3M","Eif3m"
"4508","EIF4A2","Eif4a2"
"4509","EIF4A3","Eif4a3"
"4510","EIF4E","Eif4e"
"4511","EIF4E3","Eif4e3"
"4512","EIF4EBP1","Eif4ebp1"
"4513","EIF4EBP2","Eif4ebp2"
"4514","ANKHD1","Eif4ebp3"
"4515","EIF4ENIF1","Eif4enif1"
"4516","EIF4G1","Eif4g1"
"4517","EIF4G2","Eif4g2"
"4518","EIF4G3","Eif4g3"
"4519","EIF4H","Eif4h"
"4520","EIF5","Eif5"
"4521","EIF5","Eif5-ps1"
"4522","EIF5A","Eif5a"
"4523","EIF5A2","Eif5a2"
"4524","EIF5B","Eif5b"
"4525","EIF6","Eif6"
"4526","EIF6","Eif6-ps1"
"4527","EIPR1","Eipr1"
"4528","ELAC1","Elac1"
"4529","ELAC2","Elac2"
"4530","ELANE","Elane"
"4531","ELAPOR1","Elapor1"
"4532","ELAPOR2","Elapor2"
"4533","ELAVL1","Elavl1"
"4534","ELAVL2","Elavl2"
"4535","ELAVL3","Elavl3"
"4536","ELAVL4","Elavl4"
"4537","ELF1","Elf1"
"4538","ELF2","Elf2"
"4539","ELF3","Elf3"
"4540","ELF4","Elf4"
"4541","ELF5","Elf5"
"4542","ELFN1","Elfn1"
"4543","ELFN2","Elfn2"
"4544","ELK1","Elk1"
"4545","ELK3","Elk3"
"4546","ELK4","Elk4"
"4547","ELL","Ell"
"4548","ELL2","Ell2"
"4549","ELL3","Ell3"
"4550","ELMO1","Elmo1"
"4551","ELMO2","Elmo2"
"4552","ELMO3","Elmo3"
"4553","ELMOD1","Elmod1"
"4554","ELMOD2","Elmod2"
"4555","ELMOD3","Elmod3"
"4556","ELN","Eln"
"4557","ELOA","Eloa"
"4558","ELOA2","Eloa-ps1"
"4559","ELOA2","Eloa-ps3"
"4560","ELOA2","Eloa2l"
"4561","ELOA2","EloaA2l1"
"4562","ELOC","Eloc"
"4563","ELOF1","Elof1"
"4564","ELOVL1","Elovl1"
"4565","ELOVL2","Elovl2"
"4566","ELOVL3","Elovl3"
"4567","ELOVL4","Elovl4"
"4568","ELOVL5","Elovl5"
"4569","ELOVL6","Elovl6"
"4570","ELOVL7","Elovl7"
"4571","ELP1","Elp1"
"4572","ELP2","Elp2"
"4573","ELP3","Elp3"
"4574","ELP4","Elp4-ps1"
"4575","ELP5","Elp5"
"4576","ELP6","Elp6"
"4577","EMB","Emb"
"4578","EMC1","Emc1"
"4579","EMC10","Emc10"
"4580","EMC2","Emc2"
"4581","EMC3","Emc3"
"4582","EMC4","Emc4"
"4583","EMC6","Emc6"
"4584","EMC7","Emc7"
"4585","EMC8","Emc8"
"4586","EMC9","Emc9"
"4587","EMCN","Emcn"
"4588","EMD","Emd"
"4589","EME1","Eme1"
"4590","EME2","Eme2"
"4591","EMG1","Emg1"
"4592","EMID1","Emid1"
"4593","EMILIN1","Emilin1"
"4594","EMILIN2","Emilin2"
"4595","EMILIN3","Emilin3"
"4596","EML1","Eml1"
"4597","EML2","Eml2"
"4598","EML4","Eml4"
"4599","EML5","Eml5"
"4600","EML6","Eml6"
"4601","EMP1","Emp1"
"4602","EMP2","Emp2"
"4603","EMP3","Emp3"
"4604","EMSY","Emsy"
"4605","EMX1","Emx1"
"4606","EMX2","Emx2"
"4607","EN1","En1"
"4608","EN2","En2"
"4609","ENAH","Enah"
"4610","ENAM","Enam"
"4611","ENC1","Enc1"
"4612","ENDOD1","Endod1"
"4613","ENDOG","Endog"
"4614","ENDOU","Endou"
"4615","ENDOV","Endov"
"4616","ENG","Eng"
"4617","ENGASE","Engase"
"4618","ENHO","Enho"
"4619","ENKD1","Enkd1"
"4620","ENKUR","Enkur"
"4621","ENO2","Eno2"
"4622","ENO3","Eno3"
"4623","ENO4","Eno4"
"4624","ENOPH1","Enoph1"
"4625","ENOX1","Enox1"
"4626","ENOX2","Enox2"
"4627","ENPEP","Enpep"
"4628","ENPP1","Enpp1"
"4629","ENPP2","Enpp2"
"4630","ENPP3","Enpp3"
"4631","ENPP4","Enpp4"
"4632","ENPP5","Enpp5"
"4633","ENPP6","Enpp6"
"4634","ENSA","Ensa"
"4635","ENTPD1","Entpd1"
"4636","ENTPD3","Entpd3"
"4637","ENTPD4","Entpd4"
"4638","ENTPD5","Entpd5"
"4639","ENTPD6","Entpd6"
"4640","ENTPD7","Entpd7"
"4641","ENTPD8","Entpd8"
"4642","ENTR1","Entr1"
"4643","ENTREP1","Entrep1"
"4644","ENTREP2","Entrep2"
"4645","ENTREP3","Entrep3"
"4646","ENY2","Eny2"
"4647","EOGT","Eogt"
"4648","EOLA1","Eola2"
"4649","EOMES","Eomes"
"4650","EP300","Ep300"
"4651","EP400","Ep400"
"4652","EPAS1","Epas1"
"4653","EPB41","Epb41"
"4654","EPB41L1","Epb41l1"
"4655","EPB41L2","Epb41l2"
"4656","EPB41L3","Epb41l3"
"4657","EPB41L4A","Epb41l4a"
"4658","EPB41L4B","Epb41l4b"
"4659","EPB41L5","Epb41l5"
"4660","EPB42","Epb42"
"4661","EPC1","Epc1"
"4662","EPC2","Epc2"
"4663","EPCAM","Epcam"
"4664","EPDR1","Epdr1"
"4665","EPG5","Epg5"
"4666","EPGN","Epgn"
"4667","EPHA1","Epha1"
"4668","EPHA10","Epha10"
"4669","EPHA2","Epha2"
"4670","EPHA3","Epha3"
"4671","EPHA4","Epha4"
"4672","EPHA5","Epha5"
"4673","EPHA6","Epha6"
"4674","EPHA7","Epha7"
"4675","EPHA8","Epha8"
"4676","EPHB1","Ephb1"
"4677","EPHB2","Ephb2"
"4678","EPHB3","Ephb3"
"4679","EPHB4","Ephb4"
"4680","EPHB6","Ephb6"
"4681","EPHX1","Ephx1"
"4682","EPHX2","Ephx2"
"4683","EPHX3","Ephx3"
"4684","EPHX4","Ephx4"
"4685","EPM2A","Epm2a"
"4686","EPM2AIP1","Epm2aip1"
"4687","EPN1","Epn1"
"4688","EPN2","Epn2"
"4689","EPN3","Epn3"
"4690","EPO","Epo"
"4691","EPOP","Epop"
"4692","EPOR","Epor"
"4693","EPPIN","Eppin"
"4694","EPPK1","Eppk1"
"4695","EPRS1","Eprs1"
"4696","EPS15","Eps15"
"4697","EPS15L1","Eps15l1"
"4698","EPS8","Eps8"
"4699","EPS8L1","Eps8l1"
"4700","EPS8L2","Eps8l2"
"4701","EPS8L3","Eps8l3"
"4702","EPSTI1","Epsti1"
"4703","EPX","Epx"
"4704","EPYC","Epyc"
"4705","EQTN","Eqtn"
"4706","ERAL1","Eral1"
"4707","ERAP1","Erap1"
"4708","ERAS","Eras"
"4709","ERBB2","Erbb2"
"4710","ERBB3","Erbb3"
"4711","ERBB4","Erbb4"
"4712","ERBIN","Erbin"
"4713","ERC1","Erc1"
"4714","ERC2","Erc2"
"4715","ERCC1","Ercc1"
"4716","ERCC2","Ercc2"
"4717","ERCC3","Ercc3"
"4718","ERCC4","Ercc4"
"4719","ERCC4","Ercc4l1"
"4720","ERCC5","Ercc5"
"4721","ERCC6","Ercc6"
"4722","ERCC6L","Ercc6l"
"4723","ERCC8","Ercc8"
"4724","EREG","Ereg"
"4725","ERF","Erf"
"4726","ERFE","Erfe"
"4727","ERFL","Erfl"
"4728","ERG","Erg"
"4729","ERG28","Erg28"
"4730","ERGIC1","Ergic1"
"4731","ERGIC2","Ergic2"
"4732","ERGIC3","Ergic3"
"4733","ERH","Erh"
"4734","ERI1","Eri1"
"4735","ERI2","Eri2"
"4736","ERI3","Eri3"
"4737","ERICH1","Erich1"
"4738","ERICH2","Erich2"
"4739","ERICH3","Erich3"
"4740","ERICH4","Erich4"
"4741","ERICH5","Erich5"
"4742","ERICH6","Erich6"
"4743","ERLEC1","Erlec1"
"4744","ERLIN1","Erlin1"
"4745","ERLIN2","Erlin2"
"4746","ERMAP","Ermap"
"4747","ERMARD","Ermard"
"4748","ERMN","Ermn"
"4749","ERMP1","Ermp1"
"4750","ERN1","Ern1"
"4751","ERN2","Ern2"
"4752","ERO1A","Ero1a"
"4753","ERO1B","Ero1b"
"4754","ERP27","Erp27"
"4755","ERP29","Erp29"
"4756","ERP44","Erp44"
"4757","ERRFI1","Errfi1"
"4758","ERVFRD-1","Ervfrd-1"
"4759","ESAM","Esam"
"4760","ESCO1","Esco1"
"4761","ESCO2","Esco2"
"4762","ESCO2","Esco2-ps2"
"4763","ESD","Esd"
"4764","ESF1","Esf1"
"4765","ESM1","Esm1"
"4766","ESPL1","Espl1"
"4767","ESPN","Espn"
"4768","ESPNL","Espnl"
"4769","ESR1","Esr1"
"4770","ESR2","Esr2"
"4771","ESRP1","Esrp1"
"4772","ESRP2","Esrp2"
"4773","ESRRA","Esrra"
"4774","ESRRB","Esrrb"
"4775","ESRRG","Esrrg"
"4776","ESS2","Ess2"
"4777","ESYT1","Esyt1"
"4778","ESYT2","Esyt2"
"4779","ESYT3","Esyt3"
"4780","ETAA1","Etaa1l1"
"4781","ETF1","Etf1"
"4782","ETFA","Etfa"
"4783","ETFB","Etfb"
"4784","ETFBKMT","Etfbkmt"
"4785","ETFDH","Etfdh"
"4786","ETFRF1","Etfrf1"
"4787","ETHE1","Ethe1"
"4788","KIAA1217","Etl4"
"4789","ETNK1","Etnk1"
"4790","ETNK2","Etnk2"
"4791","ETNPPL","Etnppl"
"4792","ETS1","Ets1"
"4793","ETS2","Ets2"
"4794","ETV1","Etv1"
"4795","ETV2","Etv2"
"4796","ETV3","Etv3"
"4797","ETV3L","Etv3l"
"4798","ETV4","Etv4"
"4799","ETV5","Etv5"
"4800","ETV6","Etv6"
"4801","EVA1A","Eva1a"
"4802","EVA1B","Eva1b"
"4803","EVA1C","Eva1c"
"4804","EVC","Evc"
"4805","EVC2","Evc2"
"4806","EVI2A","Evi2a"
"4807","EVI2B","Evi2b"
"4808","EVI5","Evi5"
"4809","EVI5L","Evi5l"
"4810","EVL","Evl"
"4811","EVPL","Evpl"
"4812","EVX1","Evx1"
"4813","EVX2","Evx2"
"4814","EWSR1","Ewsr1"
"4815","EXD1","Exd1"
"4816","EXD2","Exd2"
"4817","EXO1","Exo1"
"4818","EXO5","Exo5"
"4819","EXOC1","Exoc1"
"4820","EXOC1L","Exoc1l"
"4821","EXOC2","Exoc2"
"4822","EXOC3","Exoc3"
"4823","EXOC3L2","Exoc3l2"
"4824","EXOC3L4","Exoc3l4"
"4825","EXOC4","Exoc4"
"4826","EXOC5","Exoc5"
"4827","EXOC6","Exoc6"
"4828","EXOC6B","Exoc6b"
"4829","EXOC7","Exoc7"
"4830","EXOC8","Exoc8"
"4831","EXOG","Exog"
"4832","EXOSC1","Exosc1"
"4833","EXOSC10","Exosc10"
"4834","EXOSC2","Exosc2"
"4835","EXOSC3","Exosc3"
"4836","EXOSC4","Exosc4"
"4837","EXOSC5","Exosc5"
"4838","EXOSC6","Exosc6"
"4839","EXOSC7","Exosc7"
"4840","EXOSC8","Exosc8"
"4841","EXOSC9","Exosc9"
"4842","EXPH5","Exph5"
"4843","EXT1","Ext1"
"4844","EXT2","Ext2"
"4845","EXTL1","Extl1"
"4846","EXTL2","Extl2"
"4847","EXTL3","Extl3"
"4848","EYA1","Eya1"
"4849","EYA2","Eya2"
"4850","EYA3","Eya3"
"4851","EYA4","Eya4"
"4852","EZH1","Ezh1"
"4853","EZH2","Ezh2"
"4854","EZR","Ezr"
"4855","F10","F10"
"4856","F11","F11"
"4857","F11R","F11r"
"4858","F12","F12"
"4859","F13A1","F13a1"
"4860","F13B","F13b"
"4861","F2","F2"
"4862","F2R","F2r"
"4863","F2RL1","F2rl1"
"4864","F2RL2","F2rl2"
"4865","F2RL3","F2rl3"
"4866","F3","F3"
"4867","F5","F5"
"4868","F7","F7"
"4869","F8","F8"
"4870","F8A1","F8a1"
"4871","F9","F9"
"4872","FAM120C","FAM120C"
"4873","FAM187A","FAM187A"
"4874","FA2H","Fa2h"
"4875","FAAH","Faah"
"4876","FAAP100","Faap100"
"4877","FAAP20","Faap20"
"4878","FAAP24","Faap24"
"4879","FABP1","Fabp1"
"4880","FABP12","Fabp12"
"4881","FABP2","Fabp2"
"4882","FABP3","Fabp3"
"4883","FABP4","Fabp4"
"4884","FABP5","Fabp5"
"4885","FABP5","Fabp5-ps3"
"4886","FABP6","Fabp6"
"4887","FABP7","Fabp7"
"4888","FABP9","Fabp9"
"4889","FADD","Fadd"
"4890","FADS1","Fads1"
"4891","FADS2","Fads2"
"4892","FADS3","Fads3"
"4893","FADS6","Fads6"
"4894","FAF1","Faf1"
"4895","FAF2","Faf2"
"4896","FAH","Fah"
"4897","FAHD1","Fahd1"
"4898","FAHD2A","Fahd2a"
"4899","FAIM","Faim"
"4900","FAIM2","Faim2"
"4901","FAIM","Faiml"
"4902","FAM104A","Fam104a"
"4903","FAM104B","Fam104b"
"4904","FAM107A","Fam107a"
"4905","FAM107B","Fam107b"
"4906","FAM110A","Fam110a"
"4907","FAM110B","Fam110b"
"4908","FAM110C","Fam110c"
"4909","FAM110D","Fam110d"
"4910","FAM111A","Fam111a"
"4911","FAM114A1","Fam114a1"
"4912","FAM114A1","Fam114a1l1"
"4913","FAM114A2","Fam114a2"
"4914","FAM117A","Fam117a"
"4915","FAM117B","Fam117b"
"4916","FAM118A","Fam118a"
"4917","FAM118B","Fam118b"
"4918","FAM120B","Fam120b"
"4919","FAM124A","Fam124a"
"4920","FAM124B","Fam124b"
"4921","FAM131A","Fam131a"
"4922","FAM131B","Fam131b"
"4923","FAM131C","Fam131c"
"4924","FAM133B","Fam133b"
"4925","FAM135A","Fam135a"
"4926","FAM135B","Fam135b"
"4927","FAM136A","Fam136a"
"4928","FAM13A","Fam13a"
"4929","FAM13B","Fam13b"
"4930","FAM13C","Fam13c"
"4931","FAM149A","Fam149a"
"4932","FAM149B1","Fam149b1"
"4933","FAM151A","Fam151a"
"4934","FAM151B","Fam151b"
"4935","FAM161A","Fam161a"
"4936","FAM161B","Fam161b"
"4937","FAM162A","Fam162a"
"4938","FAM163A","Fam163a"
"4939","FAM163B","Fam163b"
"4940","CIMIP2A","Fam166a"
"4941","CIMIP2B","Fam166b"
"4942","CIMIP2C","Fam166c"
"4943","FAM167A","Fam167a"
"4944","FAM167B","Fam167b"
"4945","FAM168A","Fam168a"
"4946","FAM168B","Fam168b"
"4947","FAM169A","Fam169a"
"4948","FAM170A","Fam170a"
"4949","FAM170B","Fam170b"
"4950","FAM171A1","Fam171a1"
"4951","FAM171A2","Fam171a2"
"4952","FAM171B","Fam171b"
"4953","FAM172A","Fam172a"
"4954","FAM174A","Fam174a"
"4955","FAM174B","Fam174b"
"4956","FAM177A1","Fam177a1"
"4957","FAM178B","Fam178b"
"4958","FAM180A","Fam180a"
"4959","FAM181A","Fam181a"
"4960","FAM181B","Fam181b"
"4961","FAM184A","Fam184a"
"4962","FAM184B","Fam184b"
"4963","FAM185A","Fam185a"
"4964","FAM186B","Fam186b"
"4965","FAM187B","Fam187b"
"4966","FAM193A","Fam193a"
"4967","FAM193B","Fam193b"
"4968","FAM199X","Fam199x"
"4969","FAM204A","Fam204a"
"4970","SPATA31F1","Fam205a"
"4971","SPATA31F3","Fam205c"
"4972","FAM209A","Fam209"
"4973","FAM20A","Fam20a"
"4974","FAM20B","Fam20b"
"4975","FAM20C","Fam20c"
"4976","FAM210A","Fam210a"
"4977","FAM210B","Fam210b"
"4978","FAM216A","Fam216a"
"4979","FAM216B","Fam216b"
"4980","FAM217A","Fam217a"
"4981","FAM217B","Fam217b"
"4982","FAM219A","Fam219a"
"4983","FAM219B","Fam219b"
"4984","FAM220A","Fam220a"
"4985","FAM221A","Fam221a"
"4986","FAM221B","Fam221b"
"4987","FAM222A","Fam222a"
"4988","FAM222B","Fam222b"
"4989","FAM227A","Fam227a"
"4990","FAM227B","Fam227b"
"4991","FAM228A","Fam228a"
"4992","FAM228B","Fam228b"
"4993","FAM229A","Fam229a"
"4994","FAM229B","Fam229b"
"4995","FAM234A","Fam234a"
"4996","FAM234B","Fam234b"
"4997","FAM236C","Fam236d"
"4998","FAM237A","Fam237a"
"4999","FAM240B","Fam240b"
"5000","FAM241A","Fam241a"
"5001","FAM241B","Fam241b"
"5002","FAM241B","Fam241b-ps1"
"5003","FAM25A","Fam25a"
"5004","FAM32A","Fam32a"
"5005","FAM3A","Fam3a"
"5006","FAM3B","Fam3b"
"5007","FAM3C","Fam3c"
"5008","FAM3D","Fam3d"
"5009","FAM43A","Fam43a"
"5010","FAM43B","Fam43b"
"5011","FAM47E","Fam47e"
"5012","FAM50A","Fam50a"
"5013","FAM50B","Fam50b"
"5014","FAM53A","Fam53a"
"5015","FAM53B","Fam53b"
"5016","FAM53C","Fam53c"
"5017","FAM72A","Fam72a"
"5018","FAM76A","Fam76a"
"5019","FAM76B","Fam76b"
"5020","FAM78A","Fam78a"
"5021","FAM78B","Fam78b"
"5022","FAM81A","Fam81a"
"5023","FAM81B","Fam81b"
"5024","FAM83A","Fam83a"
"5025","FAM83B","Fam83b"
"5026","FAM83C","Fam83c"
"5027","FAM83D","Fam83d"
"5028","FAM83E","Fam83e"
